"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"000000","field6 = NONE","field1 = EDIBLE",0.45247,3808,0.43821,3688,0.96849,0.19692,1.81613,0,0.53327,4488
"000001","field9 = BROAD & field6 = NONE","field1 = EDIBLE",0.4211,3544,0.41255,3472,0.97968,0.18799,1.83713,4.28846e-26,0.53327,4488
"000002","field9 = BROAD & field13 = SMOOTH","field1 = EDIBLE",0.44202,3720,0.41635,3504,0.94194,0.18064,1.76634,0,0.53327,4488
"000003","field19 = ONE & field6 = NONE","field1 = EDIBLE",0.38118,3208,0.37548,3160,0.98504,0.1722,1.84716,2.39042e-29,0.53327,4488
"000004","field9 = BROAD & field14 = SMOOTH","field1 = EDIBLE",0.4192,3528,0.39354,3312,0.93878,0.16999,1.76041,0,0.53327,4488
"000005","field19 = ONE & field9 = BROAD & field13 = SMOOTH","field1 = EDIBLE",0.38973,3280,0.37262,3136,0.9561,0.16479,1.7929,4.67167e-18,0.53327,4488
"000006","field19 = ONE & field9 = BROAD & field6 = NONE","field1 = EDIBLE",0.34981,2944,0.34981,2944,1,0.16327,1.87522,7.0858e-58,0.53327,4488
"000007","field9 = BROAD & field13 = SMOOTH & field14 = SMOOTH","field1 = EDIBLE",0.37167,3128,0.35456,2984,0.95396,0.15636,1.7889,0,0.53327,4488
"000008","field19 = ONE & field9 = BROAD & field14 = SMOOTH","field1 = EDIBLE",0.36692,3088,0.34981,2944,0.95337,0.15414,1.78778,8.76952e-17,0.53327,4488
"000009","field11 = TAPERING & field6 = NONE","field1 = EDIBLE",0.327,2752,0.327,2752,1,0.15262,1.87522,8.41547e-70,0.53327,4488
"00000a","field19 = ONE & field9 = BROAD & field13 = SMOOTH & field14 = SMOOTH","field1 = EDIBLE",0.32795,2760,0.31939,2688,0.97391,0.14451,1.8263,1.58838e-31,0.53327,4488
"00000b","field19 = ONE & field13 = SMOOTH & field6 = NONE","field1 = EDIBLE",0.31131,2620,0.31036,2612,0.99695,0.14435,1.8695,1.15395e-53,0.53327,4488
"00000c","field19 = ONE & field14 = SMOOTH & field6 = NONE","field1 = EDIBLE",0.30561,2572,0.30466,2564,0.99689,0.14169,1.86939,3.58573e-53,0.53327,4488
"00000d","field9 = BROAD & field20 = PENDANT","field1 = EDIBLE",0.39449,3320,0.35171,2960,0.89157,0.14134,1.67189,9.24891e-212,0.53327,4488
"00000e","field9 = BROAD & field11 = TAPERING","field1 = EDIBLE",0.36122,3040,0.327,2752,0.90526,0.13437,1.69757,0,0.53327,4488
"00000f","field9 = BROAD & field16 = WHITE","field1 = EDIBLE",0.36597,3080,0.32319,2720,0.88312,0.12803,1.65604,0,0.53327,4488
"000010","field9 = BROAD & field15 = WHITE","field1 = EDIBLE",0.36597,3080,0.32319,2720,0.88312,0.12803,1.65604,0,0.53327,4488
"000011","field9 = BROAD & field5 = BRUISES","field1 = EDIBLE",0.35837,3016,0.31559,2656,0.88064,0.12448,1.65139,4.324e-134,0.53327,4488
"000012","field9 = BROAD","field1 = EDIBLE",0.69867,5880,0.4962,4176,0.7102,0.12362,1.33179,0,0.53327,4488
"000013","field13 = SMOOTH & field20 = PENDANT","field1 = EDIBLE",0.43536,3664,0.35551,2992,0.81659,0.12335,1.5313,5.80983e-28,0.53327,4488
"000014","field20 = PENDANT","field1 = EDIBLE",0.47148,3968,0.37452,3152,0.79435,0.1231,1.48959,0,0.53327,4488
"000015","field13 = SMOOTH & field5 = BRUISES","field1 = EDIBLE",0.38403,3232,0.327,2752,0.85149,0.1222,1.59672,9.36825e-113,0.53327,4488
"000016","field19 = ONE & field8 = CLOSE & field13 = SMOOTH & field20 = PENDANT","field1 = EDIBLE",0.38213,3216,0.32319,2720,0.84577,0.11942,1.58601,4.09871e-33,0.53327,4488
"000017","field19 = ONE & field9 = BROAD & field5 = BRUISES","field1 = EDIBLE",0.32319,2720,0.28897,2432,0.89412,0.11662,1.67667,2.52367e-10,0.53327,4488
"000018","field5 = BRUISES","field1 = EDIBLE",0.40114,3376,0.327,2752,0.81517,0.11308,1.52862,0,0.53327,4488
"000019","field13 = SMOOTH","field1 = EDIBLE",0.63165,5316,0.44914,3780,0.71106,0.1123,1.3334,0,0.53327,4488
"00001a","field19 = ONE & field8 = CLOSE & field20 = PENDANT & field6 = NONE","field1 = EDIBLE",0.23954,2016,0.23954,2016,1,0.1118,1.87522,3.35569e-102,0.53327,4488
"00001b","field13 = SMOOTH & field14 = SMOOTH","field1 = EDIBLE",0.50214,4226,0.37952,3194,0.7558,0.11174,1.41729,6.89328e-84,0.53327,4488
"00001c","field14 = SMOOTH & field5 = BRUISES","field1 = EDIBLE",0.36122,3040,0.30418,2560,0.84211,0.11156,1.57914,3.42457e-28,0.53327,4488
"00001d","field19 = ONE & field20 = PENDANT & field6 = NONE","field1 = EDIBLE",0.24049,2024,0.23954,2016,0.99605,0.1113,1.86781,4.78202e-49,0.53327,4488
"00001e","field19 = ONE & field8 = CLOSE & field20 = PENDANT","field1 = EDIBLE",0.39924,3360,0.32319,2720,0.80952,0.11029,1.51804,5.48718e-22,0.53327,4488
"00001f","field19 = ONE & field8 = CLOSE & field14 = SMOOTH & field20 = PENDANT","field1 = EDIBLE",0.35932,3024,0.30038,2528,0.83598,0.10877,1.56765,2.1831e-31,0.53327,4488
"000020","field5 = BRUISES & field23 = WOODS","field1 = EDIBLE",0.21673,1824,0.21673,1824,1,0.10115,1.87522,0,0.53327,4488
"000021","field11 = TAPERING & field20 = PENDANT & field23 = WOODS","field1 = EDIBLE",0.21673,1824,0.21673,1824,1,0.10115,1.87522,3.6615e-261,0.53327,4488
"000022","field11 = TAPERING & field12 = BULBOUS & field23 = WOODS","field1 = EDIBLE",0.21673,1824,0.21673,1824,1,0.10115,1.87522,0,0.53327,4488
"000023","field14 = SMOOTH","field1 = EDIBLE",0.60314,5076,0.42063,3540,0.6974,0.09899,1.30778,6.35013e-311,0.53327,4488
"000024","field9 = BROAD & field21 = BROWN","field1 = EDIBLE",0.21103,1776,0.21103,1776,1,0.09849,1.87522,5.09344e-225,0.53327,4488
"000025","field13 = SMOOTH & field6 = NONE & field23 = WOODS","field1 = EDIBLE",0.21103,1776,0.21103,1776,1,0.09849,1.87522,1.36059e-61,0.53327,4488
"000026","field13 = SMOOTH & field14 = SMOOTH & field11 = TAPERING & field5 = BRUISES","field1 = EDIBLE",0.22529,1896,0.21673,1824,0.96203,0.09659,1.80401,2.2831e-91,0.53327,4488
