OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s <=50K
  Adult.csv
  Output

File/input/Adult.csv: 132 items, 32561 transactions
Found 100 non-redundant productive itemsets in 65 seconds
Alpha for size 2 = 5.78302e-05
Alpha for size 3 = 6.67272e-07
Alpha for size 4 = 1.03453e-08
Alpha for size 5 = 2.02057e-10
Alpha for size 6 = 4.77299e-12
Alpha for size 7 = 1.32583e-13

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
<=50K & field7 = Not-in-family & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
<=50K & field5 = Never-married & field1 = Age24-31 & field6 = Other-service & field10 = Hour21-35,125, 0.000924, 1.317193,1.02555e-15,0.003839,1.000000
<=50K & field6 = Adm-clerical & field9 = Female & field1 = Age17-23 & field7 = Own-child,293, 0.002167, 1.317193,5.76128e-36,0.008998,1.000000
<=50K & field5 = Never-married & field2 = Private & field4 = EduNum9 & field1 = Age17-23,1008, 0.007455, 1.317193,1.56173e-123,0.030957,1.000000
<=50K & field3 = HS-grad & field9 = Female & field7 = Own-child & field10 = Hour21-35,133, 0.000984, 1.317193,1.12045e-16,0.004085,1.000000
<=50K & field9 = Female & field6 = Other-service & field7 = Own-child & field10 = Hour21-35,141, 0.001043, 1.317193,1.22337e-17,0.004330,1.000000
<=50K & field9 = Female & field4 = EduNum10 & field1 = Age17-23 & field7 = Own-child,641, 0.004741, 1.317193,2.65221e-78,0.019686,1.000000
<=50K & field3 = HS-grad & field9 = Female & field1 = Age17-23 & field7 = Own-child,291, 0.002152, 1.317193,1.00533e-35,0.008937,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field1 = Age17-23 & field7 = Own-child,710, 0.005251, 1.317193,9.24507e-87,0.021805,1.000000
<=50K & field2 = Private & field8 = Black & field1 = Age24-31 & field6 = Other-service,89, 0.000658, 1.317193,2.16079e-11,0.002733,1.000000
<=50K & field9 = Female & field3 = Some-college & field1 = Age17-23 & field7 = Own-child,641, 0.004741, 1.317193,2.65221e-78,0.019686,1.000000
<=50K & field3 = HS-grad & field8 = Black & field9 = Female & field10 = Hour21-35,117, 0.000865, 1.317193,9.38095e-15,0.003593,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field8 = Black & field9 = Female,265, 0.001960, 1.317193,1.39322e-32,0.008139,1.000000
<=50K & field5 = Never-married & field2 = Private & field3 = HS-grad & field1 = Age17-23,1008, 0.007455, 1.317193,1.56173e-123,0.030957,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,179, 0.001324, 1.317193,3.27413e-22,0.005497,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field1 = Age17-23 & field7 = Own-child,710, 0.005251, 1.317193,9.24507e-87,0.021805,1.000000
<=50K & field7 = Not-in-family & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
<=50K & field5 = Never-married & field9 = Female & field6 = Other-service & field1 = Age17-23,456, 0.003372, 1.317193,9.91386e-56,0.014004,1.000000
<=50K & field9 = Female & field6 = Other-service & field1 = Age17-23 & field7 = Own-child,318, 0.002352, 1.317193,5.45349e-39,0.009766,1.000000
<=50K & field5 = Never-married & field9 = Female & field6 = Other-service & field7 = Own-child,404, 0.002988, 1.317193,2.06044e-49,0.012407,1.000000
<=50K & field5 = Never-married & field8 = Black & field9 = Female & field7 = Own-child,225, 0.001664, 1.317193,9.36980e-28,0.006910,1.000000
<=50K & field4 = EduNum9 & field9 = Female & field1 = Age17-23 & field7 = Own-child,291, 0.002152, 1.317193,1.00533e-35,0.008937,1.000000
<=50K & field4 = EduNum9 & field9 = Female & field7 = Own-child & field10 = Hour21-35,133, 0.000984, 1.317193,1.12045e-16,0.004085,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,179, 0.001324, 1.317193,3.27413e-22,0.005497,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field9 = Female,265, 0.001960, 1.317193,1.39322e-32,0.008139,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field10 = Hour21-35,99, 0.000732, 1.317193,1.36192e-12,0.003040,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field8 = Black & field1 = Age24-31,91, 0.000673, 1.317193,1.24324e-11,0.002795,1.000000
<=50K & field5 = Never-married & field2 = Private & field8 = Black & field7 = Own-child,364, 0.002692, 1.317193,1.46463e-44,0.011179,1.000000
<=50K & field5 = Never-married & field8 = Black & field9 = Female & field6 = Other-service,150, 0.001109, 1.317193,1.01196e-18,0.004607,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field9 = Female & field6 = ?,82, 0.000606, 1.317193,1.49514e-10,0.002518,1.000000
<=50K & field10 = Hour1-20 & field2 = Private & field8 = Black & field9 = Female,111, 0.000821, 1.317193,4.93214e-14,0.003409,1.000000
<=50K & field6 = Adm-clerical & field7 = Not-in-family & field1 = Age24-31 & field9 = Female,220, 0.001627, 1.317193,3.75587e-27,0.006757,1.000000
<=50K & field4 = EduNum9 & field8 = Black & field9 = Female & field10 = Hour21-35,117, 0.000865, 1.317193,9.38095e-15,0.003593,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field9 = Female & field1 = Age17-23,452, 0.003343, 1.317193,3.03837e-55,0.013882,1.000000
<=50K & field7 = Not-in-family & field3 = HS-grad & field8 = Black & field9 = Female,119, 0.000880, 1.317193,5.39448e-15,0.003655,1.000000
<=50K & field7 = Not-in-family & field8 = Black & field9 = Female & field6 = Other-service,91, 0.000673, 1.317193,1.24324e-11,0.002795,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field9 = Female & field6 = ?,82, 0.000606, 1.317193,1.49514e-10,0.002518,1.000000
<=50K & field7 = Not-in-family & field4 = EduNum9 & field8 = Black & field9 = Female,119, 0.000880, 1.317193,5.39448e-15,0.003655,1.000000
<=50K & field5 = Never-married & field2 = Private & field8 = Black & field6 = Other-service,222, 0.001642, 1.317193,2.15542e-27,0.006818,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field8 = Black & field10 = Hour21-35,99, 0.000732, 1.317193,1.36192e-12,0.003040,1.000000
<=50K & field5 = Never-married & field2 = Private & field3 = HS-grad & field8 = Black,386, 0.002855, 1.317193,3.14860e-47,0.011855,1.000000
