"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"000000","field5 = Never-married","field12 = <=50K",0.32809,10683,0.31301,10192,0.95404,0.06393,1.25665,0,0.75919,24720
"000001","field9 = Female","field12 = <=50K",0.33076,10770,0.29455,9591,0.89053,0.04344,1.173,0,0.75919,24720
"000002","field7 = Own-child","field12 = <=50K",0.15565,5068,0.15359,5001,0.98678,0.03542,1.29978,0,0.75919,24720
"000003","field7 = Not-in-family","field12 = <=50K",0.25506,8305,0.22877,7449,0.89693,0.03513,1.18143,8.66647e-288,0.75919,24720
"000004","field2 = Private & field9 = Female","field12 = <=50K",0.23805,7751,0.21575,7025,0.90633,0.03503,1.19382,1.65334e-16,0.75919,24720
"000005","field1 = Age17-23","field12 = <=50K",0.14656,4772,0.14563,4742,0.99371,0.03437,1.30891,0,0.75919,24720
"000006","field5 = Never-married & field7 = Own-child","field12 = <=50K",0.13774,4485,0.1367,4451,0.99242,0.03213,1.30721,1.40541e-14,0.75919,24720
"000007","field3 = HS-grad","field12 = <=50K",0.3225,10501,0.27106,8826,0.84049,0.02622,1.10709,1.36862e-130,0.75919,24720
"000008","field4 = EduNum9","field12 = <=50K",0.3225,10501,0.27106,8826,0.84049,0.02622,1.10709,1.36862e-130,0.75919,24720
"000009","field1 = Age24-31","field12 = <=50K",0.2054,6688,0.17975,5853,0.87515,0.02382,1.15274,2.68144e-152,0.75919,24720
"00000a","field2 = Private & field3 = HS-grad","field12 = <=50K",0.23894,7780,0.20457,6661,0.85617,0.02317,1.12774,2.30615e-13,0.75919,24720
"00000b","field2 = Private & field4 = EduNum9","field12 = <=50K",0.23894,7780,0.20457,6661,0.85617,0.02317,1.12774,2.30615e-13,0.75919,24720
"00000c","field5 = Never-married & field3 = HS-grad","field12 = <=50K",0.09487,3089,0.09346,3043,0.98511,0.02143,1.29758,3.12521e-204,0.75919,24720
"00000d","field5 = Never-married & field4 = EduNum9","field12 = <=50K",0.09487,3089,0.09346,3043,0.98511,0.02143,1.29758,3.12521e-204,0.75919,24720
"00000e","field6 = Other-service","field12 = <=50K",0.10119,3295,0.09699,3158,0.95842,0.02016,1.26243,2.3235e-234,0.75919,24720
"00000f","field5 = Never-married & field3 = Some-college","field12 = <=50K",0.09008,2933,0.08845,2880,0.98193,0.02006,1.29339,1.2465e-261,0.75919,24720
"000010","field5 = Never-married & field4 = EduNum10","field12 = <=50K",0.09008,2933,0.08845,2880,0.98193,0.02006,1.29339,1.2465e-261,0.75919,24720
"000011","field9 = Female & field7 = Not-in-family","field12 = <=50K",0.11901,3875,0.11029,3591,0.92671,0.01994,1.22066,2.1658e-17,0.75919,24720
"000012","field7 = Unmarried","field12 = <=50K",0.10583,3446,0.09914,3228,0.93674,0.01879,1.23386,3.24809e-185,0.75919,24720
"000013","field5 = Divorced","field12 = <=50K",0.13645,4443,0.12223,3980,0.89579,0.01864,1.17993,4.60527e-135,0.75919,24720
