Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
<=50K & field2 = Private & field1 = Age24-31 & field9 = Female & field3 = Some-college & field7 = Own-child,109,0.000806,1.317193,8.58E-14,0.003348,1
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field4 = EduNum10 & field7 = Own-child,199,0.001472,1.317193,1.28E-24,0.006112,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field4 = EduNum9 & field1 = Age24-31 & field9 = Female,97,0.000717,1.317193,2.37E-12,0.002979,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field9 = Female,142,0.00105,1.317193,9.27E-18,0.004361,1
<=50K & field2 = Private & field1 = Age24-31 & field9 = Female & field4 = EduNum10 & field7 = Own-child,109,0.000806,1.317193,8.58E-14,0.003348,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field9 = Female,142,0.00105,1.317193,9.27E-18,0.004361,1
<=50K & field5 = Never-married & field7 = Not-in-family & field2 = Private & field4 = EduNum10 & field10 = Hour21-35,153,0.001132,1.317193,4.41E-19,0.004699,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field3 = HS-grad & field1 = Age24-31 & field9 = Female,97,0.000717,1.317193,2.37E-12,0.002979,1
<=50K & field5 = Never-married & field7 = Not-in-family & field2 = Private & field3 = Some-college & field10 = Hour21-35,153,0.001132,1.317193,4.41E-19,0.004699,1
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field3 = Some-college & field7 = Own-child,199,0.001472,1.317193,1.28E-24,0.006112,1
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field7 = Unmarried,143,0.001058,1.317193,7.03E-18,0.004392,1
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field11 = Mexico,94,0.000695,1.317193,5.43E-12,0.002887,1
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field10 = Hour21-35,99,0.000732,1.317193,1.36E-12,0.00304,1
<=50K & field6 = Adm-clerical & field9 = Female & field3 = Some-college & field1 = Age17-23,214,0.001583,1.317193,1.99E-26,0.006572,1
<=50K & field9 = Female & field6 = Other-service & field3 = Some-college & field10 = Hour21-35,142,0.00105,1.317193,9.27E-18,0.004361,1
<=50K & field2 = Private & field8 = Black & field4 = EduNum10 & field10 = Hour21-35,87,0.000643,1.317193,3.76E-11,0.002672,1
<=50K & field4 = EduNum9 & field8 = Black & field9 = Female & field10 = Hour21-35,117,0.000865,1.317193,9.38E-15,0.003593,1
<=50K & field5 = Never-married & field2 = Private & field4 = EduNum9 & field8 = Black,386,0.002855,1.317193,3.15E-47,0.011855,1
<=50K & field1 = Age24-31 & field9 = Female & field10 = Hour21-35 & field7 = Unmarried,90,0.000666,1.317193,1.64E-11,0.002764,1
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field9 = Female,265,0.00196,1.317193,1.39E-32,0.008139,1
<=50K & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35 & field7 = Unmarried,83,0.000614,1.317193,1.13E-10,0.002549,1
<=50K & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35 & field7 = Unmarried,83,0.000614,1.317193,1.13E-10,0.002549,1
<=50K & field5 = Never-married & field3 = Some-college & field10 = Hour21-35 & field6 = ?,93,0.000688,1.317193,7.15E-12,0.002856,1
<=50K & field5 = Never-married & field4 = EduNum9 & field10 = Hour21-35 & field7 = Unmarried,81,0.000599,1.317193,1.97E-10,0.002488,1
