Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
0,field5 = Married-civ-spouse,field12 = >50K,0.45994,14976,0.20552,6692,0.44685,0.09476,1.85561,0,0.24081,7841
1,field11 = United-States & field5 = Married-civ-spouse,field12 = >50K,0.41055,13368,0.18786,6117,0.45759,0.089,1.9002,9.66E-15,0.24081,7841
2,field8 = White & field5 = Married-civ-spouse,field12 = >50K,0.41184,13410,0.18749,6105,0.45526,0.08832,1.89053,6.53E-10,0.24081,7841
3,field7 = Husband,field12 = >50K,0.40518,13193,0.18175,5918,0.44857,0.08418,1.86276,0,0.24081,7841
4,field11 = United-States & field7 = Husband,field12 = >50K,0.36427,11861,0.16661,5425,0.45738,0.07889,1.89935,5.92E-10,0.24081,7841
5,field11 = United-States & field8 = White & field9 = Male,field12 = >50K,0.54218,17654,0.17628,5740,0.32514,0.04572,1.35019,1.79E-15,0.24081,7841
6,field8 = White & field9 = Male,field12 = >50K,0.58889,19175,0.187,6089,0.31755,0.04519,1.31867,3.60E-26,0.24081,7841
7,field9 = Male,field12 = >50K,0.66924,21791,0.2046,6662,0.30572,0.04344,1.26956,0,0.24081,7841
8,field11 = United-States & field9 = Male,field12 = >50K,0.59854,19489,0.18731,6099,0.31295,0.04318,1.29956,4.15E-12,0.24081,7841
9,field5 = Married-civ-spouse & field1 = Age41-50,field12 = >50K,0.12841,4181,0.07054,2297,0.54939,0.03962,2.28143,1.09E-301,0.24081,7841
00000a,field11 = United-States & field8 = White & field10 = Hour36-50 & field9 = Male,field12 = >50K,0.38159,12425,0.1304,4246,0.34173,0.03851,1.41909,1.15E-13,0.24081,7841
00000b,field8 = White & field10 = Hour36-50 & field9 = Male,field12 = >50K,0.41494,13511,0.13823,4501,0.33314,0.03831,1.3834,2.35E-19,0.24081,7841
00000c,field10 = Hour36-50 & field9 = Male,field12 = >50K,0.4736,15421,0.15193,4947,0.3208,0.03788,1.33216,2.15E-14,0.24081,7841
00000d,field11 = United-States & field10 = Hour36-50 & field9 = Male,field12 = >50K,0.42271,13764,0.13897,4525,0.32876,0.03718,1.36521,3.13E-10,0.24081,7841
00000e,field5 = Married-civ-spouse & field3 = Bachelors,field12 = >50K,0.08501,2768,0.05697,1855,0.67016,0.0365,2.78294,0,0.24081,7841
00000f,field5 = Married-civ-spouse & field4 = EduNum13,field12 = >50K,0.08501,2768,0.05697,1855,0.67016,0.0365,2.78294,0,0.24081,7841
10,field7 = Husband & field1 = Age41-50,field12 = >50K,0.1152,3751,0.06345,2066,0.55079,0.03571,2.28723,2.65E-229,0.24081,7841
11,field9 = Male & field1 = Age41-50,field12 = >50K,0.15138,4929,0.0703,2289,0.46439,0.03385,1.92847,5.42E-120,0.24081,7841
12,field5 = Married-civ-spouse & field6 = Exec-managerial,field12 = >50K,0.07506,2444,0.05117,1666,0.68167,0.03309,2.83074,1.32E-222,0.24081,7841
13,field7 = Husband & field3 = Bachelors,field12 = >50K,0.07472,2433,0.05055,1646,0.67653,0.03256,2.8094,7.77E-286,0.24081,7841
