OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s POISONOUS
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 1 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage/Lift, P-value, Antecedent Support, Strength
POISONOUS/field22 = SEVERAL/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field23 = URBAN/field6 = FOUL,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field23 = URBAN/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field9 = NARROW/field6 = FOUL,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field22 = SEVERAL/field15 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field3 = SCALY/field10 = GREEN,12,2.142566,0.000105899,0.001426,1.000000
POISONOUS/field3 = SCALY/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field3 = SCALY/field16 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field23 = GRASSES/field15 = BUFF,144,2.142566,5.33749e-49,0.017110,1.000000
POISONOUS/field3 = SCALY/field20 = LARGE,648,2.142566,1.23969e-228,0.076996,1.000000
POISONOUS/field7 = FREE/field16 = CINNAMON,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field7 = FREE/field20 = NONE,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field3 = SCALY/field6 = FOUL,936,2.142566,0.00000,0.111217,1.000000
POISONOUS/field2 = CONVEX/field6 = FOUL,984,2.142566,0.00000,0.116920,1.000000
POISONOUS/field18 = WHITE/field16 = YELLOW,16,2.142566,4.98842e-06,0.001901,1.000000
POISONOUS/field4 = WHITE/field6 = FOUL,96,2.142566,9.08264e-33,0.011407,1.000000
POISONOUS/field3 = SCALY/field21 = GREEN,36,2.142566,1.11959e-12,0.004278,1.000000
POISONOUS/field2 = FLAT/field10 = GREEN,12,2.142566,0.000105899,0.001426,1.000000
POISONOUS/field2 = FLAT/field15 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field15 = WHITE/field6 = FOUL,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field7 = FREE/field15 = CINNAMON,24,2.142566,1.09966e-08,0.002852,1.000000
POISONOUS/field4 = BROWN/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
POISONOUS/field22 = SEVERAL/field16 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field3 = SMOOTH/field6 = FOUL,576,2.142566,7.14004e-202,0.068441,1.000000
POISONOUS/field2 = CONVEX/field16 = BUFF,216,2.142566,1.29188e-73,0.025665,1.000000
POISONOUS/field23 = GRASSES/field6 = PUNGENT,128,2.142566,1.42376e-43,0.015209,1.000000
