OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -p
  -k 100
  -s <=50K
  Adult.csv
  Output

File/input/Adult.csv: 132 items, 32561 transactions
Found 100 non-redundant productive itemsets in 118 seconds
Alpha for size 2 = 5.78302e-05
Alpha for size 3 = 6.67272e-07
Alpha for size 4 = 1.03453e-08
Alpha for size 5 = 2.02057e-10

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
<=50K & field5 = Never-married & field2 = Private,7858, 0.050467, 1.264415,0.00000,0.251405,0.959932
<=50K & field7 = Own-child,5001, 0.035423, 1.299779,0.00000,0.155646,0.986780
<=50K & field7 = Not-in-family,7449, 0.035132, 1.181429,8.66647e-288,0.255060,0.896930
<=50K & field2 = Private & field9 = Female,7025, 0.035027, 1.193817,5.75705e-305,0.238046,0.906335
<=50K & field5 = Never-married & field7 = Own-child,4451, 0.032125, 1.307207,0.00000,0.137741,0.992419
<=50K & field5 = Never-married & field1 = Age17-23,4311, 0.031510, 1.312322,0.00000,0.132889,0.996302
<=50K & field5 = Never-married & field9 = Female,4601, 0.030157, 1.271324,0.00000,0.146402,0.965177
<=50K & field2 = Private & field7 = Own-child,3820, 0.027156, 1.301183,0.00000,0.118762,0.987846
<=50K & field2 = Private & field1 = Age17-23,3728, 0.027081, 1.309814,0.00000,0.115138,0.994398
<=50K & field7 = Not-in-family & field2 = Private,5439, 0.027005, 1.192842,7.63029e-222,0.184454,0.905594
<=50K & field3 = HS-grad,8826, 0.026220, 1.107089,1.36862e-130,0.322502,0.840491
<=50K & field4 = EduNum9,8826, 0.026220, 1.107089,1.36862e-130,0.322502,0.840491
<=50K & field5 = Never-married & field2 = Private & field1 = Age17-23,3374, 0.024743, 1.313688,0.00000,0.103897,0.997340
<=50K & field5 = Never-married & field2 = Private & field7 = Own-child,3406, 0.024607, 1.307595,0.00000,0.105371,0.992714
<=50K & field1 = Age24-31,5853, 0.023818, 1.152740,2.68144e-152,0.205399,0.875150
<=50K & field5 = Never-married & field2 = Private & field9 = Female,3528, 0.023504, 1.277014,1.23739e-300,0.111759,0.969497
<=50K & field2 = Private & field4 = EduNum9,6661, 0.023172, 1.127740,3.57178e-126,0.238936,0.856170
<=50K & field2 = Private & field3 = HS-grad,6661, 0.023172, 1.127740,3.57178e-126,0.238936,0.856170
<=50K & field1 = Age17-23 & field7 = Own-child,2980, 0.021876, 1.314106,0.00000,0.091736,0.997657
<=50K & field5 = Never-married & field1 = Age24-31,3338, 0.021749, 1.269281,2.21790e-264,0.106385,0.963626
<=50K & field5 = Never-married & field7 = Not-in-family,4280, 0.021721, 1.197957,8.03740e-178,0.144529,0.909477
<=50K & field5 = Never-married & field4 = EduNum9,3043, 0.021432, 1.297578,8.40413e-310,0.094868,0.985108
<=50K & field5 = Never-married & field3 = HS-grad,3043, 0.021432, 1.297578,8.40413e-310,0.094868,0.985108
<=50K & field5 = Never-married & field1 = Age17-23 & field7 = Own-child,2905, 0.021344, 1.314478,0.00000,0.089401,0.997939
<=50K & field6 = Other-service,3158, 0.020161, 1.262426,2.32350e-234,0.101195,0.958422
<=50K & field5 = Never-married & field4 = EduNum10,2880, 0.020064, 1.293391,6.76029e-281,0.090077,0.981930
<=50K & field5 = Never-married & field3 = Some-college,2880, 0.020064, 1.293391,6.76029e-281,0.090077,0.981930
<=50K & field2 = Private & field1 = Age24-31,4655, 0.020041, 1.163037,2.12055e-132,0.161911,0.882967
<=50K & field7 = Not-in-family & field9 = Female,3591, 0.019936, 1.220655,1.53787e-183,0.119007,0.926710
