Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
<=50K & field11 = Outlying-US(Guam-USVI-etc),14,0.000104,1.317193,0.0211118,0.00043,1
<=50K & field2 = Without-pay,14,0.000104,1.317193,0.0211118,0.00043,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field9 = Female,142,0.00105,1.317193,9.27E-18,0.004361,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field9 = Female,142,0.00105,1.317193,9.27E-18,0.004361,1
<=50K & field7 = Not-in-family & field2 = Private & field4 = EduNum9 & field8 = Black & field6 = Other-service,54,0.000399,1.317193,3.41E-07,0.001658,1
<=50K & field7 = Not-in-family & field2 = Private & field3 = HS-grad & field8 = Black & field6 = Other-service,54,0.000399,1.317193,3.41E-07,0.001658,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field4 = EduNum9 & field8 = Black,74,0.000547,1.317193,1.36E-09,0.002273,1
<=50K & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field8 = Black,29,0.000214,1.317193,0.000337639,0.000891,1
<=50K & field3 = HS-grad & field9 = Female & field1 = Age17-23 & field7 = Own-child,291,0.002152,1.317193,1.01E-35,0.008937,1
<=50K & field5 = Never-married & field3 = HS-grad & field1 = Age17-23 & field7 = Own-child,710,0.005251,1.317193,9.25E-87,0.021805,1
<=50K & field7 = Not-in-family & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,101,0.000747,1.317193,7.83E-13,0.003102,1
<=50K & field9 = Female & field6 = Other-service & field1 = Age17-23 & field7 = Own-child,318,0.002352,1.317193,5.45E-39,0.009766,1
<=50K & field7 = Not-in-family & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,101,0.000747,1.317193,7.83E-13,0.003102,1
<=50K & field5 = Never-married & field2 = Private & field3 = HS-grad & field1 = Age17-23,1008,0.007455,1.317193,1.56E-123,0.030957,1
<=50K & field5 = Never-married & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,179,0.001324,1.317193,3.27E-22,0.005497,1
<=50K & field5 = Never-married & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,179,0.001324,1.317193,3.27E-22,0.005497,1
<=50K & field4 = EduNum9 & field9 = Female & field1 = Age17-23 & field7 = Own-child,291,0.002152,1.317193,1.01E-35,0.008937,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field9 = Female & field1 = Age17-23,452,0.003343,1.317193,3.04E-55,0.013882,1
<=50K & field6 = Adm-clerical & field9 = Female & field1 = Age17-23 & field7 = Own-child,293,0.002167,1.317193,5.76E-36,0.008998,1
<=50K & field5 = Never-married & field4 = EduNum9 & field1 = Age17-23 & field7 = Own-child,710,0.005251,1.317193,9.25E-87,0.021805,1
<=50K & field7 = Not-in-family & field3 = HS-grad & field8 = Black & field9 = Female,119,0.00088,1.317193,5.39E-15,0.003655,1
<=50K & field8 = Black & field1 = Age24-31 & field9 = Female & field6 = Other-service,65,0.000481,1.317193,1.64E-08,0.001996,1
<=50K & field5 = Never-married & field2 = Private & field4 = EduNum9 & field1 = Age17-23,1008,0.007455,1.317193,1.56E-123,0.030957,1
<=50K & field5 = Never-married & field9 = Female & field6 = Other-service & field7 = Own-child,404,0.002988,1.317193,2.06E-49,0.012407,1
<=50K & field5 = Never-married & field6 = Adm-clerical & field3 = HS-grad & field8 = Black,74,0.000547,1.317193,1.36E-09,0.002273,1
<=50K & field10 = Hour1-20 & field2 = Private & field8 = Black & field9 = Female,111,0.000821,1.317193,4.93E-14,0.003409,1
