Index,Antecedent,Ant_Sup,Consequent,Rule_Sup,Confidence
1,field1 = Age17-23 & field6 = Handlers-cleaners & field8 = White & field9 = Male & field11 = United-States,299,field12 = < = 50K,299,0.99499
2,field3 = HS-grad & field5 = Never-married & field6 = Handlers-cleaners & field11 = United-States,298,field12 = < = 50K,298,0.99499
3,field4 = EduNum9 & field5 = Never-married & field6 = Handlers-cleaners & field11 = United-States,298,field12 = < = 50K,298,0.99499
4,field1 = Age17-23 & field6 = Other-service & field7 = Own-child & field8 = White & field9 = Female,298,field12 = < = 50K,298,0.99499
5,field1 = Age17-23 & field3 = Some-college & field9 = Female & field10 = Hour21-35,297,field12 = < = 50K,297,0.99499
6,field1 = Age17-23 & field4 = EduNum10 & field9 = Female & field10 = Hour21-35,297,field12 = < = 50K,297,0.99499
7,field6 = Other-service & field7 = Own-child & field8 = White & field10 = Hour1-20,297,field12 = < = 50K,297,0.99499
8,field1 = Age17-23 & field2 = Private & field6 = Other-service & field7 = Own-child & field9 = Female,297,field12 = < = 50K,297,0.99499
9,field1 = Age17-23 & field3 = HS-grad & field5 = Never-married & field10 = Hour21-35,296,field12 = < = 50K,296,0.99499
10,field1 = Age17-23 & field4 = EduNum9 & field5 = Never-married & field10 = Hour21-35,296,field12 = < = 50K,296,0.99499
11,field1 = Age24-31 & field3 = HS-grad & field7 = Own-child & field10 = Hour36-50 & field11 = United-States,296,field12 = < = 50K,296,0.99499
12,field1 = Age24-31 & field4 = EduNum9 & field7 = Own-child & field10 = Hour36-50 & field11 = United-States,296,field12 = < = 50K,296,0.99499
13,field1 = Age17-23 & field2 = Private & field3 = Some-college & field6 = Sales,295,field12 = < = 50K,295,0.99499
14,field1 = Age17-23 & field2 = Private & field4 = EduNum10 & field6 = Sales,295,field12 = < = 50K,295,0.99499
15,field1 = Age17-23 & field5 = Never-married & field6 = Handlers-cleaners & field8 = White & field11 = United-States,295,field12 = < = 50K,295,0.99499
16,field1 = Age17-23 & field3 = Some-college & field6 = ? & field11 = United-States,294,field12 = < = 50K,294,0.99498
17,field1 = Age17-23 & field4 = EduNum10 & field6 = ? & field11 = United-States,294,field12 = < = 50K,294,0.99498
18,field1 = Age17-23 & field2 = Private & field6 = Other-service & field8 = White & field10 = Hour1-20,294,field12 = < = 50K,294,0.99498
19,field1 = Age17-23 & field6 = Adm-clerical & field7 = Own-child & field9 = Female,293,field12 = < = 50K,293,0.99498
20,field1 = Age17-23 & field2 = Private & field3 = HS-grad & field7 = Not-in-family,292,field12 = < = 50K,292,0.99498
21,field1 = Age17-23 & field2 = Private & field4 = EduNum9 & field7 = Not-in-family,292,field12 = < = 50K,292,0.99498
22,field1 = Age17-23 & field2 = ? & field3 = Some-college & field11 = United-States,292,field12 = < = 50K,292,0.99498
23,field1 = Age17-23 & field2 = ? & field4 = EduNum10 & field11 = United-States,292,field12 = < = 50K,292,0.99498
24,field1 = Age17-23 & field3 = HS-grad & field7 = Own-child & field9 = Female,291,field12 = < = 50K,291,0.99498
25,field1 = Age17-23 & field4 = EduNum9 & field7 = Own-child & field9 = Female,291,field12 = < = 50K,291,0.99498
26,field1 = Age17-23 & field2 = Private & field7 = Own-child & field9 = Female & field10 = Hour21-35,291,field12 = < = 50K,291,0.99498
27,field3 = 11th & field10 = Hour1-20 & field11 = United-States,290,field12 = < = 50K,290,0.99498
28,field4 = EduNum7 & field10 = Hour1-20 & field11 = United-States,290,field12 = < = 50K,290,0.99498
29,field1 = Age17-23 & field6 = ? & field9 = Male,289,field12 = < = 50K,289,0.99498
30,field5 = Never-married & field6 = Sales & field10 = Hour1-20,287,field12 = < = 50K,287,0.99498
31,field6 = ? & field7 = Own-child & field9 = Male,287,field12 = < = 50K,287,0.99498
32,field1 = Age17-23 & field2 = ? & field9 = Male,284,field12 = < = 50K,284,0.99498
