OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s EDIBLE
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 8 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
EDIBLE/field19 = ONE/field9 = BROAD/field6 = NONE,2944, 0.163267, 1.875223,0.00000,0.349810,1.000000
EDIBLE/field11 = TAPERING/field6 = NONE,2752, 0.152619, 1.875223,0.00000,0.326996,1.000000
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field19 = ONE/field9 = BROAD,2688, 0.144507, 1.826304,0.00000,0.327947,0.973913
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2656, 0.133608, 1.734190,0.00000,0.341255,0.924791
EDIBLE/field16 = WHITE/field9 = BROAD,2720, 0.128033, 1.656041,0.00000,0.365970,0.883117
EDIBLE/field15 = WHITE/field9 = BROAD,2720, 0.128033, 1.656041,0.00000,0.365970,0.883117
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field19 = ONE/field6 = NONE,2290, 0.126491, 1.868695,0.00000,0.273051,0.996519
EDIBLE/field14 = SMOOTH/field19 = ONE/field20 = PENDANT/field9 = BROAD,2432, 0.125748, 1.770397,0.00000,0.306084,0.944099
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2464, 0.122961, 1.724085,0.00000,0.318441,0.919403
EDIBLE/field5 = BRUISES/field13 = SMOOTH,2752, 0.122204, 1.596724,0.00000,0.384030,0.851485
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2280, 0.121881, 1.817818,0.00000,0.279468,0.969388
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2280, 0.121881, 1.817818,0.00000,0.279468,0.969388
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2344, 0.120868, 1.766689,0.00000,0.295627,0.942122
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2344, 0.120868, 1.766689,0.00000,0.295627,0.942122
EDIBLE/field20 = PENDANT/field9 = BROAD/field6 = NONE,2256, 0.120550, 1.817226,0.00000,0.276616,0.969072
EDIBLE/field13 = SMOOTH/field19 = ONE/field20 = PENDANT,2816, 0.118150, 1.545851,0.00000,0.405894,0.824356
EDIBLE/field15 = WHITE/field6 = NONE,2232, 0.116684, 1.785622,0.00000,0.278517,0.952219
EDIBLE/field11 = TAPERING/field14 = SMOOTH/field9 = BROAD,2240, 0.115100, 1.761954,0.00000,0.283270,0.939597
EDIBLE/field11 = TAPERING/field13 = SMOOTH/field9 = BROAD,2240, 0.115100, 1.761954,0.00000,0.283270,0.939597
EDIBLE/field18 = WHITE/field20 = PENDANT/field6 = NONE,2160, 0.114719, 1.808251,0.00000,0.266160,0.964286
EDIBLE/field7 = FREE/field20 = PENDANT/field6 = NONE,2160, 0.114719, 1.808251,0.00000,0.266160,0.964286
EDIBLE/field16 = WHITE/field6 = NONE,2160, 0.114719, 1.808251,0.00000,0.266160,0.964286
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field9 = BROAD/field6 = NONE,2144, 0.114339, 1.814295,0.00000,0.263308,0.967509
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field9 = BROAD/field6 = NONE,2144, 0.114339, 1.814295,0.00000,0.263308,0.967509
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field6 = NONE,2120, 0.112501, 1.807033,0.00000,0.261407,0.963636
EDIBLE/field5 = BRUISES/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2272, 0.112313, 1.712422,0.00000,0.295627,0.913183

74 itemsets failed test for self sufficiency
EDIBLE/field6 = NONE,3688, 0.196923, 1.816130,0.00000,0.452471,0.968487
EDIBLE/field9 = BROAD/field6 = NONE,3472, 0.187986, 1.837126,0.00000,0.421103,0.979684
EDIBLE/field18 = WHITE/field6 = NONE,3496, 0.186783, 1.817012,0.00000,0.428707,0.968958
EDIBLE/field7 = FREE/field6 = NONE,3496, 0.186276, 1.812992,0.00000,0.429658,0.966814
EDIBLE/field13 = SMOOTH/field9 = BROAD,3504, 0.180636, 1.766339,0.00000,0.442015,0.941935
EDIBLE/field18 = WHITE/field9 = BROAD/field6 = NONE,3280, 0.177338, 1.834944,0.00000,0.398289,0.978520
EDIBLE/field7 = FREE/field9 = BROAD/field6 = NONE,3280, 0.177338, 1.834944,0.00000,0.398289,0.978520
EDIBLE/field19 = ONE/field6 = NONE,3160, 0.172204, 1.847165,0.00000,0.381179,0.985037
EDIBLE/field13 = SMOOTH/field18 = WHITE/field9 = BROAD,3312, 0.169989, 1.760413,0.00000,0.419202,0.938775
EDIBLE/field7 = FREE/field13 = SMOOTH/field9 = BROAD,3312, 0.169989, 1.760413,0.00000,0.419202,0.938775
EDIBLE/field14 = SMOOTH/field9 = BROAD,3312, 0.169989, 1.760413,0.00000,0.419202,0.938775
EDIBLE/field13 = SMOOTH/field19 = ONE/field9 = BROAD,3136, 0.164790, 1.792896,0.00000,0.389734,0.956097
EDIBLE/field13 = SMOOTH/field6 = NONE,2980, 0.160194, 1.826197,0.00000,0.363593,0.973856
EDIBLE/field14 = SMOOTH/field18 = WHITE/field9 = BROAD,3120, 0.159341, 1.753806,0.00000,0.396388,0.935252
EDIBLE/field7 = FREE/field14 = SMOOTH/field9 = BROAD,3120, 0.159341, 1.753806,0.00000,0.396388,0.935252
EDIBLE/field14 = SMOOTH/field6 = NONE,2932, 0.157532, 1.825416,0.00000,0.357890,0.973440
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD,2984, 0.156361, 1.788895,0.00000,0.371673,0.953964
EDIBLE/field14 = SMOOTH/field19 = ONE/field9 = BROAD,2944, 0.154142, 1.787777,0.00000,0.366920,0.953368
EDIBLE/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2800, 0.150719, 1.828212,0.00000,0.341255,0.974930
EDIBLE/field13 = SMOOTH/field9 = BROAD/field6 = NONE,2800, 0.150719, 1.828212,0.00000,0.341255,0.974930
EDIBLE/field7 = FREE/field13 = SMOOTH/field6 = NONE,2788, 0.149546, 1.822915,0.00000,0.340779,0.972106
EDIBLE/field13 = SMOOTH/field18 = WHITE/field6 = NONE,2788, 0.149546, 1.822915,0.00000,0.340779,0.972106
EDIBLE/field7 = FREE/field14 = SMOOTH/field6 = NONE,2740, 0.146884, 1.822025,0.00000,0.335076,0.971631
EDIBLE/field14 = SMOOTH/field18 = WHITE/field6 = NONE,2740, 0.146884, 1.822025,0.00000,0.335076,0.971631
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD,2792, 0.145713, 1.783250,0.00000,0.348859,0.950954
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field9 = BROAD,2792, 0.145713, 1.783250,0.00000,0.348859,0.950954
EDIBLE/field13 = SMOOTH/field19 = ONE/field6 = NONE,2612, 0.144348, 1.869497,0.00000,0.311312,0.996947
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field9 = BROAD,2848, 0.144256, 1.743027,0.00000,0.364068,0.929504
EDIBLE/field14 = SMOOTH/field19 = ONE/field6 = NONE,2564, 0.141686, 1.869390,0.00000,0.305608,0.996890
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field9 = BROAD,2800, 0.141594, 1.740923,0.00000,0.358365,0.928382
EDIBLE/field20 = PENDANT/field9 = BROAD,2960, 0.141343, 1.671885,0.00000,0.394487,0.891566
EDIBLE/field7 = FREE/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2608, 0.140071, 1.824844,0.00000,0.318441,0.973134
EDIBLE/field7 = FREE/field13 = SMOOTH/field9 = BROAD/field6 = NONE,2608, 0.140071, 1.824844,0.00000,0.318441,0.973134
EDIBLE/field13 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2608, 0.140071, 1.824844,0.00000,0.318441,0.973134
EDIBLE/field14 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2608, 0.140071, 1.824844,0.00000,0.318441,0.973134
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field6 = NONE,2586, 0.138344, 1.818952,0.00000,0.316778,0.969993
EDIBLE/field11 = TAPERING/field9 = BROAD,2752, 0.134370, 1.697570,0.00000,0.361217,0.905263
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field9 = BROAD,2656, 0.133608, 1.734190,0.00000,0.341255,0.924791
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2472, 0.132529, 1.822150,0.00000,0.302281,0.971698
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2536, 0.131516, 1.774465,0.00000,0.318441,0.946269
EDIBLE/field13 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2608, 0.130946, 1.731792,0.00000,0.335551,0.923513
EDIBLE/field7 = FREE/field13 = SMOOTH/field20 = PENDANT/field9 = BROAD,2608, 0.130946, 1.731792,0.00000,0.335551,0.923513
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2608, 0.130946, 1.731792,0.00000,0.335551,0.923513
EDIBLE/field7 = FREE/field20 = PENDANT/field9 = BROAD,2768, 0.130695, 1.659404,0.00000,0.371673,0.884910
EDIBLE/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2768, 0.130695, 1.659404,0.00000,0.371673,0.884910
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field6 = NONE,2394, 0.127696, 1.814585,0.00000,0.293964,0.967664
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field6 = NONE,2394, 0.127696, 1.814585,0.00000,0.293964,0.967664
EDIBLE/field19 = ONE/field20 = PENDANT/field9 = BROAD,2624, 0.127272, 1.689761,0.00000,0.346008,0.901099
EDIBLE/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2672, 0.125371, 1.652571,0.00000,0.360266,0.881266
EDIBLE/field20 = PENDANT/field6 = NONE,2352, 0.125367, 1.813538,0.00000,0.288973,0.967105
EDIBLE/field5 = BRUISES/field9 = BROAD,2656, 0.124484, 1.651390,0.00000,0.358365,0.880637
EDIBLE/field9 = BROAD,4176, 0.123618, 1.331791,0.00000,0.698669,0.710204
EDIBLE/field13 = SMOOTH/field20 = PENDANT,2992, 0.123348, 1.531296,0.00000,0.435361,0.816594
EDIBLE/field20 = PENDANT,3152, 0.123097, 1.489592,0.00000,0.471483,0.794355
EDIBLE/field5 = BRUISES/field14 = SMOOTH/field9 = BROAD,2464, 0.122961, 1.724085,0.00000,0.318441,0.919403
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field6 = NONE,2288, 0.122325, 1.818013,0.00000,0.280418,0.969492
EDIBLE/field8 = CLOSE/field6 = NONE,2304, 0.121184, 1.794233,0.00000,0.286122,0.956811
EDIBLE/field14 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2416, 0.120299, 1.721329,0.00000,0.312738,0.917933
EDIBLE/field7 = FREE/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2416, 0.120299, 1.721329,0.00000,0.312738,0.917933
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field6 = NONE,2240, 0.119663, 1.816825,0.00000,0.274715,0.968858
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field8 = CLOSE,2752, 0.116628, 1.554402,0.00000,0.394487,0.828916
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field6 = NONE,2192, 0.116494, 1.809194,0.00000,0.269962,0.964789
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field6 = NONE,2192, 0.116494, 1.809194,0.00000,0.269962,0.964789
EDIBLE/field8 = CLOSE/field9 = BROAD/field6 = NONE,2160, 0.115226, 1.814732,0.00000,0.265209,0.967742
EDIBLE/field7 = FREE/field9 = BROAD,3984, 0.114491, 1.319013,0.00000,0.673004,0.703390
EDIBLE/field5 = BRUISES/field20 = PENDANT/field9 = BROAD,2464, 0.113836, 1.636172,0.00000,0.335551,0.872521
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT,2728, 0.113270, 1.537142,0.00000,0.395437,0.819712
EDIBLE/field5 = BRUISES,2752, 0.113080, 1.528618,0.00000,0.401141,0.815166
EDIBLE/field18 = WHITE/field9 = BROAD,3984, 0.112971, 1.313447,0.00000,0.675856,0.700422
EDIBLE/field13 = SMOOTH/field18 = WHITE/field20 = PENDANT,2800, 0.112700, 1.512277,0.00000,0.412548,0.806452
EDIBLE/field7 = FREE/field13 = SMOOTH/field20 = PENDANT,2800, 0.112700, 1.512277,0.00000,0.412548,0.806452
EDIBLE/field14 = SMOOTH/field20 = PENDANT,2800, 0.112700, 1.512277,0.00000,0.412548,0.806452
EDIBLE/field18 = WHITE/field20 = PENDANT,2960, 0.112449, 1.469984,0.00000,0.448669,0.783898
EDIBLE/field7 = FREE/field20 = PENDANT,2960, 0.112449, 1.469984,0.00000,0.448669,0.783898
