OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s POISONOUS
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 3 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
POISONOUS/field7 = FREE/field8 = CLOSE/field5 = NO,3176, 0.192370, 2.039805,0.00000,0.396388,0.952038
POISONOUS/field19 = ONE/field8 = CLOSE/field5 = NO,3152, 0.181089, 1.936172,0.00000,0.414449,0.903670
POISONOUS/field8 = CLOSE/field13 = SILKY,2240, 0.141935, 2.142566,0.00000,0.266160,1.000000
POISONOUS/field19 = ONE/field13 = SILKY,2192, 0.138893, 2.142566,0.00000,0.260456,1.000000
POISONOUS/field8 = CLOSE/field14 = SILKY,2160, 0.136866, 2.142566,0.00000,0.256654,1.000000
POISONOUS/field19 = ONE/field14 = SILKY,2160, 0.136866, 2.142566,0.00000,0.256654,1.000000
POISONOUS/field7 = FREE/field13 = SILKY,2216, 0.132428, 2.011833,0.00000,0.280418,0.938983
POISONOUS/field5 = NO/field6 = FOUL,1872, 0.118617, 2.142566,0.00000,0.222433,1.000000
POISONOUS/field7 = FREE/field22 = SEVERAL,2848, 0.118348, 1.537810,0.00000,0.471483,0.717742
POISONOUS/field18 = WHITE/field22 = SEVERAL,2848, 0.118348, 1.537810,0.00000,0.471483,0.717742
POISONOUS/field19 = ONE/field22 = SEVERAL/field8 = CLOSE,2728, 0.115624, 1.554500,0.00000,0.446768,0.725532
POISONOUS/field8 = CLOSE/field5 = NO/field21 = WHITE,1808, 0.113674, 2.123772,0.00000,0.216730,0.991228
POISONOUS/field22 = SEVERAL/field8 = CLOSE/field20 = EVANESCENT,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS/field9 = NARROW/field8 = CLOSE/field21 = WHITE,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS/field19 = ONE/field8 = CLOSE/field21 = WHITE,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS/field22 = SEVERAL/field8 = CLOSE/field21 = WHITE,1760, 0.110633, 2.123264,0.00000,0.211027,0.990991
POISONOUS/field9 = NARROW/field22 = SEVERAL/field8 = CLOSE/field5 = NO,1808, 0.110569, 2.060510,0.00000,0.223384,0.961702
POISONOUS/field10 = BUFF,1728, 0.109493, 2.142566,0.00000,0.205323,1.000000
POISONOUS/field9 = NARROW/field12 = ?,1760, 0.108858, 2.085684,0.00000,0.214829,0.973451
POISONOUS/field19 = ONE/field5 = NO/field21 = WHITE,1768, 0.108034, 2.058727,0.00000,0.218631,0.960870
POISONOUS/field9 = NARROW/field20 = EVANESCENT,1768, 0.108034, 2.058727,0.00000,0.218631,0.960870
POISONOUS/field9 = NARROW/field18 = WHITE/field5 = NO/field21 = WHITE,1760, 0.107527, 2.058361,0.00000,0.217681,0.960699
POISONOUS/field19 = ONE/field22 = SEVERAL/field21 = WHITE,1760, 0.107527, 2.058361,0.00000,0.217681,0.960699
POISONOUS/field9 = NARROW/field22 = SEVERAL/field21 = WHITE,1760, 0.107527, 2.058361,0.00000,0.217681,0.960699
POISONOUS/field22 = SEVERAL/field5 = NO/field21 = WHITE,1760, 0.107527, 2.058361,0.00000,0.217681,0.960699
POISONOUS/field22 = SEVERAL/field12 = ?,1760, 0.104865, 2.005807,0.00000,0.223384,0.936170
POISONOUS/field20 = EVANESCENT/field12 = ?,1760, 0.100873, 1.931822,0.00000,0.231939,0.901639
POISONOUS/field12 = BULBOUS/field6 = FOUL,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS/field9 = BROAD/field6 = FOUL,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS/field6 = FOUL/field13 = SILKY,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS/field6 = FOUL/field14 = SILKY,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS/field6 = FOUL/field21 = CHOCOLATE,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS/field7 = FREE/field8 = CLOSE/field21 = WHITE,1784, 0.099731, 1.888507,0.00000,0.240494,0.881423
POISONOUS/field19 = ONE/field12 = ?,1760, 0.098211, 1.885458,0.00000,0.237643,0.880000
POISONOUS/field22 = SEVERAL/field13 = SILKY,1544, 0.097834, 2.142566,0.00000,0.183460,1.000000
POISONOUS/field20 = EVANESCENT/field21 = WHITE,1768, 0.097386, 1.864201,0.00000,0.241445,0.870079
POISONOUS/field8 = CLOSE/field3 = SCALY/field5 = NO,1576, 0.096756, 2.069047,0.00000,0.193916,0.965686
POISONOUS/field22 = SEVERAL/field14 = SILKY,1512, 0.095806, 2.142566,0.00000,0.179658,1.000000
POISONOUS/field7 = FREE/field5 = NO/field21 = WHITE,1792, 0.092696, 1.770977,0.00000,0.257605,0.826568
POISONOUS/field12 = BULBOUS/field5 = NO,1488, 0.089405, 2.022930,0.00000,0.187262,0.944162
POISONOUS/field8 = CLOSE/field12 = ?,1760, 0.087563, 1.720309,7.32348e-308,0.260456,0.802920
POISONOUS/field22 = SEVERAL/field6 = FOUL,1368, 0.086682, 2.142566,0.00000,0.162548,1.000000
POISONOUS/field18 = WHITE/field8 = CLOSE,3816, 0.085628, 1.232816,0.00000,0.788023,0.575392
POISONOUS/field12 = ?/field21 = WHITE,1760, 0.084901, 1.683445,7.11294e-284,0.266160,0.785714
POISONOUS/field7 = FREE/field12 = ?,1760, 0.082239, 1.648128,1.29669e-261,0.271863,0.769231
POISONOUS/field18 = WHITE/field12 = ?,1760, 0.082239, 1.648128,1.29669e-261,0.271863,0.769231
POISONOUS/field5 = NO/field12 = ?,1760, 0.082239, 1.648128,1.29669e-261,0.271863,0.769231
POISONOUS/field13 = SILKY/field21 = CHOCOLATE,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field5 = NO/field16 = PINK,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field14 = SILKY/field21 = CHOCOLATE,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field12 = BULBOUS/field13 = SILKY,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field12 = BULBOUS/field14 = SILKY,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field11 = ENLARGING/field6 = FOUL,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field5 = NO/field15 = PINK,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field20 = LARGE,1296, 0.082120, 2.142566,0.00000,0.153992,1.000000
POISONOUS/field5 = NO/field21 = CHOCOLATE,1296, 0.079458, 2.066046,0.00000,0.159696,0.964286
POISONOUS/field11 = ENLARGING/field13 = SILKY/field14 = SILKY,1296, 0.078127, 2.029800,0.00000,0.162548,0.947368
POISONOUS/field9 = BROAD/field13 = SILKY/field14 = SILKY,1296, 0.078127, 2.029800,0.00000,0.162548,0.947368

42 itemsets failed test for self sufficiency
POISONOUS/field8 = CLOSE/field5 = NO,3200, 0.183243, 1.930240,0.00000,0.422053,0.900901
POISONOUS/field22 = SEVERAL/field8 = CLOSE/field5 = NO,2456, 0.146305, 2.005390,0.00000,0.311787,0.935976
POISONOUS/field22 = SEVERAL/field5 = NO,2504, 0.145353, 1.955170,0.00000,0.326046,0.912536
POISONOUS/field6 = FOUL,2160, 0.136866, 2.142566,0.00000,0.256654,1.000000
POISONOUS/field13 = SILKY,2240, 0.133949, 2.013149,0.00000,0.283270,0.939597
POISONOUS/field14 = SILKY,2160, 0.128880, 2.008656,0.00000,0.273764,0.937500
POISONOUS/field19 = ONE/field5 = NO,3256, 0.126898, 1.488096,0.00000,0.557034,0.694539
POISONOUS/field9 = NARROW/field8 = CLOSE,2112, 0.125839, 2.005807,0.00000,0.268061,0.936170
POISONOUS/field9 = NARROW,2224, 0.123618, 1.878970,0.00000,0.301331,0.876972
POISONOUS/field18 = WHITE/field5 = NO,3296, 0.123221, 1.459070,0.00000,0.575095,0.680992
POISONOUS/field9 = NARROW/field18 = WHITE,2216, 0.123112, 1.878136,0.00000,0.300380,0.876582
POISONOUS/field7 = FREE/field5 = NO,3280, 0.122207, 1.456803,0.00000,0.573194,0.679934
POISONOUS/field22 = SEVERAL/field8 = CLOSE,2800, 0.119299, 1.559040,0.00000,0.457224,0.727651
POISONOUS/field9 = NARROW/field22 = SEVERAL/field8 = CLOSE,1936, 0.118679, 2.065741,0.00000,0.238593,0.964143
POISONOUS/field5 = NO,3304, 0.113080, 1.404571,0.00000,0.598859,0.655556
POISONOUS/field22 = SEVERAL,2848, 0.113024, 1.501483,0.00000,0.482890,0.700787
POISONOUS/field9 = NARROW/field22 = SEVERAL,1984, 0.112404, 1.911354,0.00000,0.264259,0.892086
POISONOUS/field9 = NARROW/field5 = NO,1960, 0.112214, 1.929885,0.00000,0.258555,0.900735
POISONOUS/field9 = NARROW/field18 = WHITE/field5 = NO,1952, 0.111707, 1.929100,0.00000,0.257605,0.900369
POISONOUS/field9 = NARROW/field22 = SEVERAL/field5 = NO,1856, 0.109617, 1.988301,0.00000,0.237643,0.928000
POISONOUS/field9 = NARROW/field8 = CLOSE/field5 = NO,1856, 0.109617, 1.988301,0.00000,0.237643,0.928000
POISONOUS/field19 = ONE/field22 = SEVERAL,2776, 0.109349, 1.495916,0.00000,0.472433,0.698189
POISONOUS/field19 = ONE/field21 = WHITE,1776, 0.108541, 2.059089,0.00000,0.219582,0.961039
POISONOUS/field9 = NARROW/field21 = WHITE,1776, 0.108541, 2.059089,0.00000,0.219582,0.961039
POISONOUS/field9 = NARROW/field18 = WHITE/field21 = WHITE,1768, 0.108034, 2.058727,0.00000,0.218631,0.960870
POISONOUS/field9 = NARROW/field5 = NO/field21 = WHITE,1768, 0.108034, 2.058727,0.00000,0.218631,0.960870
POISONOUS/field22 = SEVERAL/field20 = EVANESCENT,1760, 0.107527, 2.058361,0.00000,0.217681,0.960699
POISONOUS/field22 = SEVERAL/field21 = WHITE,1760, 0.106640, 2.040539,0.00000,0.219582,0.952381
POISONOUS/field13 = SILKY/field14 = SILKY,1728, 0.105500, 2.056864,0.00000,0.213878,0.960000
POISONOUS/field8 = CLOSE/field21 = WHITE,1808, 0.101252, 1.891484,0.00000,0.243346,0.882813
POISONOUS/field8 = CLOSE/field20 = EVANESCENT,1760, 0.100873, 1.931822,0.00000,0.231939,0.901639
POISONOUS/field21 = CHOCOLATE,1584, 0.097706, 2.079550,0.00000,0.193916,0.970588
POISONOUS/field3 = SCALY/field5 = NO,1584, 0.095266, 2.024955,0.00000,0.199144,0.945107
POISONOUS/field5 = NO/field21 = WHITE,1816, 0.094217, 1.775046,0.00000,0.260456,0.828467
POISONOUS/field18 = WHITE/field5 = NO/field21 = WHITE,1808, 0.093710, 1.773700,0.00000,0.259506,0.827839
POISONOUS/field7 = FREE/field8 = CLOSE,3792, 0.084107, 1.229511,0.00000,0.785171,0.573850
POISONOUS/field21 = WHITE,1824, 0.082301, 1.612228,0.00000,0.288023,0.752475
POISONOUS/field18 = WHITE/field21 = WHITE,1816, 0.081794, 1.610472,3.13498e-249,0.287072,0.751656
POISONOUS/field7 = FREE/field21 = WHITE,1800, 0.080780, 1.606925,5.54885e-244,0.285171,0.750000
POISONOUS/field19 = ONE/field8 = CLOSE,3696, 0.080686, 1.225081,1.32917e-301,0.768061,0.571782
POISONOUS/field11 = ENLARGING/field13 = SILKY,1376, 0.079203, 1.939586,0.00000,0.180608,0.905263
POISONOUS/field9 = BROAD/field13 = SILKY,1344, 0.077175, 1.935221,0.00000,0.176806,0.903226
