OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s EDIBLE
  Mushroom.txt
  Output

File/input/Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 7 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage/Lift, P-value, Antecedent Support, Strength
EDIBLE/field19 = ONE/field9 = BROAD/field6 = NONE,2944,0.163267,0.00000,0.349810,1.000000
EDIBLE/field11 = TAPERING/field6 = NONE,2752,0.152619,0.00000,0.326996,1.000000
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field19 = ONE/field9 = BROAD,2688,0.144507,0.00000,0.327947,0.973913
EDIBLE/field13 = SMOOTH/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2656,0.133608,0.00000,0.341255,0.924791
EDIBLE/field16 = WHITE/field9 = BROAD,2720,0.128033,0.00000,0.365970,0.883117
EDIBLE/field15 = WHITE/field9 = BROAD,2720,0.128033,0.00000,0.365970,0.883117
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field19 = ONE/field6 = NONE,2290,0.126491,0.00000,0.273051,0.996519
EDIBLE/field14 = SMOOTH/field19 = ONE/field20 = PENDANT/field9 = BROAD,2432,0.125748,0.00000,0.306084,0.944099
EDIBLE/field14 = SMOOTH/field20 = PENDANT/field8 = CLOSE/field9 = BROAD,2464,0.122961,0.00000,0.318441,0.919403
EDIBLE/field5 = BRUISES/field13 = SMOOTH,2752,0.122204,0.00000,0.384030,0.851485
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field9 = BROAD/field6 = NONE,2280,0.121881,0.00000,0.279468,0.969388
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field9 = BROAD/field6 = NONE,2280,0.121881,0.00000,0.279468,0.969388
EDIBLE/field7 = FREE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2344,0.120868,0.00000,0.295627,0.942122
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field18 = WHITE/field20 = PENDANT/field9 = BROAD,2344,0.120868,0.00000,0.295627,0.942122
EDIBLE/field20 = PENDANT/field9 = BROAD/field6 = NONE,2256,0.120550,0.00000,0.276616,0.969072
EDIBLE/field13 = SMOOTH/field19 = ONE/field20 = PENDANT,2816,0.118150,0.00000,0.405894,0.824356
EDIBLE/field15 = WHITE/field6 = NONE,2232,0.116684,0.00000,0.278517,0.952219
EDIBLE/field11 = TAPERING/field14 = SMOOTH/field9 = BROAD,2240,0.115100,0.00000,0.283270,0.939597
EDIBLE/field11 = TAPERING/field13 = SMOOTH/field9 = BROAD,2240,0.115100,0.00000,0.283270,0.939597
EDIBLE/field18 = WHITE/field20 = PENDANT/field6 = NONE,2160,0.114719,0.00000,0.266160,0.964286
EDIBLE/field7 = FREE/field20 = PENDANT/field6 = NONE,2160,0.114719,0.00000,0.266160,0.964286
EDIBLE/field16 = WHITE/field6 = NONE,2160,0.114719,0.00000,0.266160,0.964286
EDIBLE/field13 = SMOOTH/field8 = CLOSE/field9 = BROAD/field6 = NONE,2144,0.114339,0.00000,0.263308,0.967509
EDIBLE/field14 = SMOOTH/field8 = CLOSE/field9 = BROAD/field6 = NONE,2144,0.114339,0.00000,0.263308,0.967509
EDIBLE/field13 = SMOOTH/field14 = SMOOTH/field20 = PENDANT/field6 = NONE,2120,0.112501,0.00000,0.261407,0.963636
EDIBLE/field5 = BRUISES/field14 = SMOOTH/field20 = PENDANT/field9 = BROAD,2272,0.112313,0.00000,0.295627,0.913183

74 itemsets failed test for self sufficiency
EDIBLE/field6 = NONE,3688,0.196923,0.00000,0.452471,0.968487
EDIBLE/field9 = BROAD/field6 = NONE,3472,0.187986,0.00000,0.421103,0.979684
EDIBLE/field18 = WHITE/field6 = NONE,3496,0.186783,0.00000,0.428707,0.968958
EDIBLE/field7 = FREE/field6 = NONE,3496,0.186276,0.00000,0.429658,0.966814
EDIBLE/field13 = SMOOTH/field9 = BROAD,3504,0.180636,0.00000,0.442015,0.941935
EDIBLE/field18 = WHITE/field9 = BROAD/field6 = NONE,3280,0.177338,0.00000,0.398289,0.978520
EDIBLE/field7 = FREE/field9 = BROAD/field6 = NONE,3280,0.177338,0.00000,0.398289,0.978520
EDIBLE/field19 = ONE/field6 = NONE,3160,0.172204,0.00000,0.381179,0.985037
EDIBLE/field13 = SMOOTH/field18 = WHITE/field9 = BROAD,3312,0.169989,0.00000,0.419202,0.938775
EDIBLE/field7 = FREE/field13 = SMOOTH/field9 = BROAD,3312,0.169989,0.00000,0.419202,0.938775
EDIBLE/field14 = SMOOTH/field9 = BROAD,3312,0.169989,0.00000,0.419202,0.938775
EDIBLE/field13 = SMOOTH/field19 = ONE/field9 = BROAD,3136,0.164790,0.00000,0.389734,0.956097
EDIBLE/field13 = SMOOTH/field6 = NONE,2980,0.160194,0.00000,0.363593,0.973856
EDIBLE/field14 = SMOOTH/field18 = WHITE/field9 = BROAD,3120,0.159341,0.00000,0.396388,0.935252
