Age32-40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour1-20, United-States,0
Age32-40, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,Hour36-50, Cuba,0
Age32-40, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States,0
Age41-50, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,Hour1-20, Jamaica,0
Age51-60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,1
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour71-99, United-States,1
Age24-31, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, India,1
Age17-23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age32-40, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,Hour36-50, United-States,0
Age32-40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, ?,1
Age32-40, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,Hour36-50, Mexico,0
Age24-31, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,Hour36-50, United-States,0
Age32-40, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States,1
