OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -p
  -k 100
  -s 0
  Adult.csv
  Adult

File/input/Adult.csv: 116 items, 32561 transactions
Found 100 non-redundant productive itemsets in 117 seconds
Alpha for size 2 = 1.87406e-06
Alpha for size 3 = 2.46587e-08
Alpha for size 4 = 4.36438e-10
Alpha for size 5 = 9.74191e-12

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
0 & field4 = Never-married & field2 = Private,7858, 0.050467, 1.264415,0.00000,0.251405,0.959932
0 & field6 = Own-child,5001, 0.035423, 1.299779,0.00000,0.155646,0.986780
0 & field6 = Not-in-family,7449, 0.035132, 1.181429,8.66647e-288,0.255060,0.896930
0 & field1 = Age17-23,4742, 0.034371, 1.308912,0.00000,0.146556,0.993713
0 & field4 = Never-married & field6 = Own-child,4451, 0.032125, 1.307207,0.00000,0.137741,0.992419
0 & field4 = Never-married & field1 = Age17-23,4311, 0.031510, 1.312322,0.00000,0.132889,0.996302
0 & field4 = Never-married & field8 = Female,4601, 0.030157, 1.271324,0.00000,0.146402,0.965177
0 & field2 = Private & field6 = Own-child,3820, 0.027156, 1.301183,0.00000,0.118762,0.987846
0 & field2 = Private & field1 = Age17-23,3728, 0.027081, 1.309814,0.00000,0.115138,0.994398
0 & field6 = Not-in-family & field2 = Private,5439, 0.027005, 1.192842,7.63029e-222,0.184454,0.905594
0 & field3 = HS-grad,8826, 0.026220, 1.107089,1.36862e-130,0.322502,0.840491
0 & field4 = Never-married & field2 = Private & field1 = Age17-23,3374, 0.024743, 1.313688,0.00000,0.103897,0.997340
0 & field4 = Never-married & field2 = Private & field6 = Own-child,3406, 0.024607, 1.307595,0.00000,0.105371,0.992714
0 & field1 = Age24-31,5853, 0.023818, 1.152740,2.68144e-152,0.205399,0.875150
0 & field4 = Never-married & field2 = Private & field8 = Female,3528, 0.023504, 1.277014,1.23739e-300,0.111759,0.969497
0 & field2 = Private & field3 = HS-grad,6661, 0.023172, 1.127740,3.57178e-126,0.238936,0.856170
0 & field4 = Never-married & field1 = Age24-31,3338, 0.021749, 1.269281,2.21790e-264,0.106385,0.963626
0 & field4 = Never-married & field6 = Not-in-family,4280, 0.021721, 1.197957,8.03740e-178,0.144529,0.909477
0 & field4 = Never-married & field3 = HS-grad,3043, 0.021432, 1.297578,8.40413e-310,0.094868,0.985108
0 & field4 = Never-married & field1 = Age17-23 & field6 = Own-child,2905, 0.021344, 1.314478,0.00000,0.089401,0.997939
0 & field5 = Other-service,3158, 0.020161, 1.262426,2.32350e-234,0.101195,0.958422
0 & field4 = Never-married & field3 = Some-college,2880, 0.020064, 1.293391,6.76029e-281,0.090077,0.981930
0 & field2 = Private & field1 = Age24-31,4655, 0.020041, 1.163037,2.12055e-132,0.161911,0.882967
0 & field6 = Not-in-family & field8 = Female,3591, 0.019936, 1.220655,1.53787e-183,0.119007,0.926710
0 & field6 = Unmarried,3228, 0.018790, 1.233865,3.24809e-185,0.105832,0.936738
0 & field4 = Divorced,3980, 0.018639, 1.179929,4.60527e-135,0.136452,0.895791
0 & field4 = Never-married & field2 = Private & field3 = HS-grad,2539, 0.018171, 1.303841,3.26013e-272,0.078775,0.989864
0 & field3 = HS-grad & field8 = Female,3163, 0.018123, 1.229354,1.01675e-173,0.104082,0.933314
0 & field4 = Never-married & field6 = Not-in-family & field2 = Private,3305, 0.017798, 1.212624,4.36001e-155,0.110255,0.920613
0 & field4 = Never-married & field2 = Private & field1 = Age24-31,2672, 0.017546, 1.271969,1.23458e-213,0.084979,0.965667
0 & field9 = Hour21-35,3565, 0.017342, 1.188206,5.56548e-131,0.121372,0.902075
0 & field2 = Private & field5 = Other-service,2640, 0.017193, 1.269120,1.23418e-205,0.084150,0.963504
0 & field2 = Private & field1 = Age17-23 & field6 = Own-child,2270, 0.016695, 1.314876,3.76710e-274,0.069838,0.998241
0 & field4 = Never-married & field2 = Private & field1 = Age17-23 & field6 = Own-child,2206, 0.016245, 1.315404,4.82719e-268,0.067842,0.998642
0 & field8 = Female & field6 = Unmarried,2542, 0.016188, 1.261606,9.06443e-185,0.081509,0.957799
0 & field8 = Female & field1 = Age17-23,2194, 0.016016, 1.311811,9.55973e-255,0.067658,0.995915
0 & field8 = Female & field6 = Own-child,2220, 0.015835, 1.302524,1.64631e-233,0.068948,0.988864
0 & field9 = Hour1-20,2733, 0.015666, 1.229470,9.26075e-149,0.089924,0.933402
0 & field6 = Not-in-family & field3 = HS-grad,2403, 0.015114, 1.257534,6.31647e-168,0.077301,0.954708
0 & field4 = Never-married & field2 = Private & field3 = Some-college,2127, 0.014914, 1.295869,2.48996e-209,0.066398,0.983811
0 & field4 = Never-married & field8 = Female & field1 = Age17-23,2028, 0.014882, 1.313953,5.28827e-241,0.062437,0.997541
0 & field6 = Not-in-family & field2 = Private & field8 = Female,2599, 0.014838, 1.228340,1.49927e-139,0.085593,0.932544
0 & field2 = Private & field3 = HS-grad & field8 = Female,2471, 0.014801, 1.242284,1.29556e-150,0.080464,0.943130
