OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s 1
  Adult.csv
  Adult

File/input/Adult.csv: 116 items, 32561 transactions
Found 100 non-redundant productive itemsets in 200 seconds
Alpha for size 2 = 1.87406e-06
Alpha for size 3 = 2.46587e-08
Alpha for size 4 = 4.36438e-10
Alpha for size 5 = 9.74191e-12
Alpha for size 6 = 2.63295e-13
Alpha for size 7 = 8.37756e-15
Alpha for size 8 = 3.07434e-16

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
1 & field2 = Self-emp-not-inc & field6 = Husband & field5 = Prof-specialty & field9 = Hour51-70 & field3 = Prof-school,20, 0.000466, 4.152659,4.22160e-13,0.000614,1.000000
1 & field1 = Age32-40 & field5 = Exec-managerial & field6 = Husband & field3 = Masters & field9 = Hour51-70,25, 0.000583, 4.152659,3.38230e-16,0.000768,1.000000
1 & field1 = Age32-40 & field4 = Married-civ-spouse & field5 = Exec-managerial & field3 = Masters & field9 = Hour51-70,26, 0.000606, 4.152659,8.12516e-17,0.000799,1.000000
1 & field2 = Self-emp-not-inc & field4 = Married-civ-spouse & field5 = Prof-specialty & field9 = Hour51-70 & field3 = Prof-school,20, 0.000466, 4.152659,4.22160e-13,0.000614,1.000000
1 & field7 = White & field1 = Age41-50 & field3 = Prof-school & field2 = Self-emp-inc,33, 0.000769, 4.152659,3.74104e-21,0.001013,1.000000
1 & field1 = Age41-50 & field5 = Exec-managerial & field6 = Husband & field3 = Prof-school,17, 0.000396, 4.152659,3.03899e-11,0.000522,1.000000
1 & field10 = United-States & field1 = Age41-50 & field3 = Prof-school & field2 = Self-emp-inc,32, 0.000746, 4.152659,1.55836e-20,0.000983,1.000000
1 & field8 = Male & field5 = Exec-managerial & field1 = Age51-60 & field3 = Doctorate,16, 0.000373, 4.152659,1.26395e-10,0.000491,1.000000
1 & field1 = Age41-50 & field4 = Married-civ-spouse & field5 = Exec-managerial & field3 = Prof-school,19, 0.000443, 4.152659,1.75632e-12,0.000584,1.000000
1 & field1 = Age41-50 & field2 = Self-emp-not-inc & field5 = Prof-specialty & field3 = Prof-school,39, 0.000909, 4.152659,7.14583e-25,0.001198,1.000000
