OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s 1
  Adult.csv
  Adult

File/input/Adult.csv: 116 items, 32561 transactions
Found 100 non-redundant productive itemsets in 293 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
1 & field10 = United-States & field4 = Married-civ-spouse,6117, 0.088998, 1.900196,0.00000,0.410553,0.457585
1 & field7 = White & field4 = Married-civ-spouse,6105, 0.088319, 1.890528,0.00000,0.411842,0.455257
1 & field7 = White & field10 = United-States & field4 = Married-civ-spouse,5751, 0.085146, 1.930790,0.00000,0.379872,0.464953
1 & field4 = Married-civ-spouse & field6 = Husband,5914, 0.084124, 1.862775,0.00000,0.404902,0.448574
1 & field8 = Male & field4 = Married-civ-spouse,5938, 0.083855, 1.851238,0.00000,0.409078,0.445796
1 & field10 = United-States & field4 = Married-civ-spouse & field6 = Husband,5421, 0.078834, 1.899390,0.00000,0.363994,0.457391
1 & field8 = Male & field10 = United-States & field4 = Married-civ-spouse,5441, 0.078739, 1.891079,0.00000,0.366942,0.455390
1 & field7 = White & field4 = Married-civ-spouse & field6 = Husband,5424, 0.078342, 1.887857,0.00000,0.366420,0.454614
1 & field7 = White & field8 = Male & field4 = Married-civ-spouse,5444, 0.078173, 1.878132,0.00000,0.369675,0.452272
1 & field7 = White & field10 = United-States & field4 = Married-civ-spouse & field6 = Husband,5118, 0.075504, 1.924421,0.00000,0.339179,0.463419
1 & field7 = White & field8 = Male & field10 = United-States & field4 = Married-civ-spouse,5136, 0.075451, 1.916956,0.00000,0.341697,0.461621
1 & field9 = Hour36-50 & field4 = Married-civ-spouse,4925, 0.071071, 1.886354,0.00000,0.332975,0.454252
1 & field9 = Hour36-50 & field10 = United-States & field4 = Married-civ-spouse,4499, 0.066626, 1.931240,0.00000,0.297104,0.465061
1 & field7 = White & field9 = Hour36-50 & field4 = Married-civ-spouse,4469, 0.065823, 1.921540,0.00000,0.296613,0.462725
1 & field7 = White & field9 = Hour36-50 & field10 = United-States & field4 = Married-civ-spouse,4212, 0.063543, 1.965502,0.00000,0.273302,0.473312
1 & field9 = Hour36-50 & field4 = Married-civ-spouse & field6 = Husband,4402, 0.063403, 1.883178,0.00000,0.298117,0.453487
1 & field8 = Male & field9 = Hour36-50 & field4 = Married-civ-spouse,4423, 0.063323, 1.873249,0.00000,0.301127,0.451096
