OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s 1
  Adult.csv
  Adult

File/input/Adult.csv: 116 items, 32561 transactions
Found 100 non-redundant productive itemsets in 127 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
1 & field8 = Male & field9 = Hour36-50 & field1 = Age41-50 & field5 = Exec-managerial & field3 = Masters & field2 = Local-gov,13, 0.000303, 4.152659,9.08817e-09,0.000399,1.000000
1 & field9 = Hour36-50 & field10 = United-States & field1 = Age41-50 & field4 = Married-civ-spouse & field5 = Prof-specialty & field2 = Self-emp-inc,15, 0.000350, 4.152659,5.25639e-10,0.000461,1.000000
1 & field1 = Age32-40 & field3 = Bachelors & field4 = Married-civ-spouse & field5 = Exec-managerial & field9 = Hour51-70 & field2 = Self-emp-inc,3, 0.000070, 4.152659,0.0139603,0.000092,1.000000
1 & field9 = Hour36-50 & field10 = United-States & field1 = Age41-50 & field6 = Husband & field5 = Prof-specialty & field2 = Self-emp-inc,15, 0.000350, 4.152659,5.25639e-10,0.000461,1.000000
1 & field1 = Age32-40 & field3 = Bachelors & field5 = Exec-managerial & field6 = Husband & field9 = Hour51-70 & field2 = Self-emp-inc,3, 0.000070, 4.152659,0.0139603,0.000092,1.000000
1 & field7 = White & field8 = Male & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,6, 0.000140, 4.152659,0.000194720,0.000184,1.000000
1 & field1 = Age41-50 & field6 = Husband & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,3, 0.000070, 4.152659,0.0139603,0.000092,1.000000
1 & field1 = Age32-40 & field4 = Married-civ-spouse & field5 = Exec-managerial & field3 = Masters & field9 = Hour51-70,26, 0.000606, 4.152659,8.12516e-17,0.000799,1.000000
1 & field5 = Exec-managerial & field6 = Husband & field1 = Age51-60 & field9 = Hour51-70 & field2 = Federal-gov,3, 0.000070, 4.152659,0.0139603,0.000092,1.000000
1 & field7 = White & field4 = Married-civ-spouse & field1 = Age51-60 & field5 = Prof-specialty & field2 = Federal-gov,15, 0.000350, 4.152659,5.25639e-10,0.000461,1.000000
1 & field1 = Age32-40 & field4 = Married-civ-spouse & field5 = Prof-specialty & field3 = Masters & field2 = Federal-gov,5, 0.000117, 4.152659,0.000808999,0.000154,1.000000
1 & field7 = White & field1 = Age41-50 & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,4, 0.000093, 4.152659,0.00336080,0.000123,1.000000
1 & field1 = Age32-40 & field5 = Exec-managerial & field6 = Husband & field3 = Masters & field9 = Hour51-70,25, 0.000583, 4.152659,3.38230e-16,0.000768,1.000000
1 & field3 = Bachelors & field9 = Hour36-50 & field1 = Age51-60 & field5 = Prof-specialty & field6 = Wife,5, 0.000117, 4.152659,0.000808999,0.000154,1.000000
1 & field7 = White & field6 = Husband & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,4, 0.000093, 4.152659,0.00336080,0.000123,1.000000
1 & field10 = United-States & field6 = Husband & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,4, 0.000093, 4.152659,0.00336080,0.000123,1.000000
1 & field10 = United-States & field4 = Married-civ-spouse & field5 = Prof-specialty & field3 = Masters & field2 = Self-emp-inc,5, 0.000117, 4.152659,0.000808999,0.000154,1.000000
