OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s normal_ear
  Audiology.data.csv
  Audiology.data

File/input/Audiology.data.csv: 410 items, 226 transactions
Found 51 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
normal_ear & field15 = f & field2 = normal,21, 0.068369, 3.784689,1.90549e-13,0.252212,0.368421
normal_ear & field66 = a & field2 = normal,22, 0.063748, 2.897436,7.42071e-12,0.345133,0.282051
normal_ear & field7 = f & field2 = normal,22, 0.063317, 2.860759,1.02848e-11,0.349558,0.278481
normal_ear & field1 = f & field2 = normal,20, 0.061360, 3.261183,9.56480e-11,0.278761,0.317460
normal_ear & field64 = normal & field2 = normal,18, 0.057248, 3.555944,8.59887e-10,0.230089,0.346154
normal_ear & field66 = a & field6 = normal,15, 0.054311, 5.503246,4.29575e-11,0.123894,0.535714
normal_ear & field2 = normal & field6 = normal,15, 0.053450, 5.136364,1.66405e-10,0.132743,0.500000
normal_ear & field7 = f & field6 = normal,15, 0.050004, 4.055024,1.26054e-08,0.168142,0.394737
normal_ear & field6 = normal,15, 0.048712, 3.758315,4.64880e-08,0.181416,0.365854
normal_ear & field15 = f & field6 = normal,14, 0.047302, 4.229946,3.05390e-08,0.150442,0.411765
normal_ear & field1 = f & field15 = f & field64 = normal,16, 0.046676, 2.935065,7.29941e-07,0.247788,0.285714
normal_ear & field64 = normal & field66 = a,18, 0.046480, 2.401417,1.84109e-06,0.340708,0.233766
normal_ear & field64 = normal & field7 = f,18, 0.045188, 2.311364,3.70764e-06,0.353982,0.225000
normal_ear & field1 = f & field66 = a,20, 0.042838, 1.938250,7.78826e-06,0.469027,0.188679
normal_ear & field1 = f & field7 = f,20, 0.042838, 1.938250,7.78826e-06,0.469027,0.188679
normal_ear & field1 = f & field15 = f & field6 = normal,12, 0.041037, 4.402597,3.44842e-07,0.123894,0.428571
