OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s vgood
  Car.data.csv
  Car.data

File/input/Car.data.csv: 24 items, 1728 transactions
Found 61 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
vgood & field6 = high & field1 = low,39, 0.019435, 7.199999,8.39318e-28,0.083333,0.270833
vgood & field6 = high & field5 = big,40, 0.018969, 5.538461,8.65855e-24,0.111111,0.208333
vgood & field6 = high & field4 = more,35, 0.016075, 4.846153,3.59387e-18,0.111111,0.182292
vgood & field6 = high & field4 = 4,30, 0.013182, 4.153846,2.74133e-13,0.111111,0.156250
vgood & field6 = high & field2 = low,26, 0.011912, 4.800000,6.30564e-13,0.083333,0.180556
vgood & field6 = high & field1 = med,26, 0.011912, 4.800000,6.30564e-13,0.083333,0.180556
vgood & field6 = high & field2 = med,26, 0.011912, 4.800000,6.30564e-13,0.083333,0.180556
vgood & field4 = more & field1 = low,21, 0.009018, 3.876923,1.36205e-08,0.083333,0.145833
vgood & field4 = 4 & field1 = low,18, 0.007282, 3.323077,2.19286e-06,0.083333,0.125000
vgood & field5 = big & field4 = 4 & field1 = low,12, 0.005900, 6.646153,6.90951e-08,0.027778,0.250000
vgood & field5 = big & field4 = more & field1 = low,12, 0.005900, 6.646153,6.90951e-08,0.027778,0.250000
vgood & field4 = more & field2 = low & field1 = low,7, 0.003267, 5.169230,0.000270532,0.020833,0.194444
vgood & field4 = more & field2 = med & field1 = low,7, 0.003267, 5.169230,0.000270532,0.020833,0.194444
vgood & field4 = more & field2 = med & field1 = med,7, 0.003267, 5.169230,0.000270532,0.020833,0.194444
vgood & field4 = more & field2 = low & field1 = med,7, 0.003267, 5.169230,0.000270532,0.020833,0.194444
vgood & field5 = big & field4 = more & field2 = med & field1 = low,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = more & field2 = low & field1 = low,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = 4 & field2 = low & field1 = low,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = 4 & field2 = med & field1 = low,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = more & field2 = med & field1 = med,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = 4 & field2 = med & field1 = med,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = more & field2 = low & field1 = med,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333
vgood & field5 = big & field4 = 4 & field2 = low & field1 = med,4, 0.002054, 8.861538,0.000719892,0.006944,0.333333

38 itemsets failed test for self sufficiency
vgood & field6 = high,65, 0.025077, 3.000000,7.69430e-33,0.333333,0.112847
vgood & field1 = low,39, 0.013166, 2.400000,1.04660e-09,0.250000,0.090278
vgood & field5 = big & field1 = low,24, 0.010754, 4.430769,4.25547e-11,0.083333,0.166667
