OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s nowin
  Chess.data.csv
  Chess.data

File/input/Chess.data.csv: 74 items, 3196 transactions
Found 100 non-redundant productive itemsets in 4 seconds
Alpha for size 2 = 9.25583e-06
Alpha for size 3 = 1.92830e-07
Alpha for size 4 = 5.43183e-09
Alpha for size 5 = 1.93994e-10
Alpha for size 6 = 8.43451e-12
Alpha for size 7 = 4.34129e-13
Alpha for size 8 = 2.59182e-14
Alpha for size 9 = 1.76715e-15

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
nowin & field6 = f & field15 = n & field31 = f & field7 = t & field9 = t & field35 = f,70, 0.011438, 2.092993,1.51118e-23,0.021902,1.000000
nowin & field6 = f & field15 = n & field22 = f & field31 = f & field9 = t & field35 = f,51, 0.008333, 2.092993,2.80759e-17,0.015957,1.000000
nowin & field18 = t & field31 = f & field9 = t & field35 = f & field33 = t,47, 0.007680, 2.092993,5.76649e-16,0.014706,1.000000
nowin & field6 = f & field15 = n & field31 = f & field35 = f & field8 = t,65, 0.010621, 2.092993,6.83250e-22,0.020338,1.000000
nowin & field18 = t & field7 = t & field9 = t & field35 = f & field33 = t,55, 0.008987, 2.092993,1.35912e-18,0.017209,1.000000
nowin & field18 = t & field22 = f & field9 = t & field35 = f & field33 = t,46, 0.007516, 2.092993,1.22650e-15,0.014393,1.000000
nowin & field18 = t & field35 = f & field8 = t & field10 = t,59, 0.009640, 2.092993,6.54148e-20,0.018461,1.000000
nowin & field15 = n & field18 = t & field35 = f & field16 = t,35, 0.005719, 2.092993,4.82793e-12,0.010951,1.000000
nowin & field18 = t & field9 = t & field35 = f & field10 = t,59, 0.009640, 2.092993,6.54148e-20,0.018461,1.000000
nowin & field6 = f & field22 = f & field31 = f & field16 = t,44, 0.007189, 2.092993,5.54258e-15,0.013767,1.000000
nowin & field6 = f & field18 = t & field31 = f & field16 = t,35, 0.005719, 2.092993,4.82793e-12,0.010951,1.000000
