OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s nowin
  Chess.data.csv
  Chess.data

File/input/Chess.data.csv: 74 items, 3196 transactions
Found 100 non-redundant productive itemsets in 25 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
nowin & field6 = f & field15 = n & field22 = f & field24 = f & field9 = t & field35 = f,45, 0.007353, 2.092993,2.60776e-15,0.014080,1.000000
nowin & field6 = f & field15 = n & field31 = f & field7 = t & field9 = t & field35 = f,70, 0.011438, 2.092993,1.51118e-23,0.021902,1.000000
nowin & field6 = f & field11 = f & field18 = t & field9 = t & field33 = t & field10 = t,41, 0.006699, 2.092993,5.31028e-14,0.012829,1.000000
nowin & field6 = f & field15 = n & field24 = f & field7 = t & field9 = t & field33 = t,88, 0.014379, 2.092993,1.53919e-29,0.027534,1.000000
nowin & field11 = f & field18 = t & field26 = t & field9 = t & field33 = t & field10 = t,29, 0.004738, 2.092993,4.33386e-10,0.009074,1.000000
nowin & field6 = f & field18 = t & field22 = f & field24 = f & field9 = t & field33 = t,60, 0.009804, 2.092993,3.06117e-20,0.018773,1.000000
nowin & field6 = f & field11 = f & field18 = t & field22 = f & field9 = t & field33 = t,39, 0.006372, 2.092993,2.39120e-13,0.012203,1.000000
nowin & field6 = f & field15 = n & field24 = f & field7 = t & field9 = t & field35 = f,66, 0.010784, 2.092993,3.19039e-22,0.020651,1.000000
nowin & field11 = f & field18 = t & field26 = t & field7 = t & field9 = t & field33 = t,47, 0.007680, 2.092993,5.76649e-16,0.014706,1.000000
nowin & field11 = f & field18 = t & field22 = f & field26 = t & field9 = t & field33 = t,35, 0.005719, 2.092993,4.82793e-12,0.010951,1.000000
