OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s won
  Chess.data.csv
  Chess.data

File/input/Chess.data.csv: 74 items, 3196 transactions
Found 100 non-redundant productive itemsets in 37 seconds
Alpha for size 2 = 4.62792e-06
Alpha for size 3 = 9.64149e-08
Alpha for size 4 = 2.71591e-09
Alpha for size 5 = 9.69969e-11
Alpha for size 6 = 4.21726e-12
Alpha for size 7 = 2.17065e-13
Alpha for size 8 = 1.29591e-14
Alpha for size 9 = 8.83574e-16
Alpha for size 10 = 6.79672e-17

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
won & field8 = f & field13 = l & field33 = f & field35 = t & field22 = t,159, 0.023770, 1.914919,3.13824e-47,0.049750,1.000000
won & field9 = f & field33 = f & field35 = t & field31 = t & field15 = w,51, 0.007624, 1.914919,2.81407e-15,0.015957,1.000000
won & field3 = f & field8 = f & field10 = f & field15 = w & field6 = t,118, 0.017640, 1.914919,6.54695e-35,0.036921,1.000000
won & field3 = f & field8 = f & field10 = f & field32 = f & field15 = w,241, 0.036028, 1.914919,1.31435e-72,0.075407,1.000000
won & field10 = f & field27 = f & field35 = t & field31 = t & field18 = f,72, 0.010764, 1.914919,2.29248e-21,0.022528,1.000000
won & field10 = f & field27 = f & field35 = t & field11 = t & field6 = t,215, 0.032141, 1.914919,1.88630e-64,0.067272,1.000000
won & field7 = f & field32 = f & field33 = f & field31 = t & field15 = w,146, 0.021826, 1.914919,2.68329e-43,0.045682,1.000000
won & field3 = f & field8 = f & field10 = f & field11 = t & field15 = w,241, 0.036028, 1.914919,1.31435e-72,0.075407,1.000000
won & field9 = f & field33 = f & field31 = t & field15 = w & field18 = f,67, 0.010016, 1.914919,6.53651e-20,0.020964,1.000000
won & field7 = f & field33 = f & field31 = t & field15 = w & field18 = f,91, 0.013604, 1.914919,6.32013e-27,0.028473,1.000000
won & field3 = f & field9 = f & field10 = f & field35 = t & field15 = w,81, 0.012109, 1.914919,5.40571e-24,0.025344,1.000000
