OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s won
  Chess.data.csv
  Chess.data

File/input/Chess.data.csv: 74 items, 3196 transactions
Found 100 non-redundant productive itemsets in 16 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
won & field10 = f & field16 = f & field23 = f & field32 = f & field33 = f,1133, 0.152711, 1.756764,3.04151e-310,0.386421,0.917409
won & field3 = f & field10 = f & field16 = f & field25 = f & field27 = f & field32 = f & field33 = f,1146, 0.149752, 1.717134,2.97682e-290,0.399875,0.896714
won & field3 = f & field10 = f & field16 = f & field23 = f & field25 = f & field32 = f & field33 = f,1102, 0.148567, 1.757070,4.94455e-297,0.375782,0.917569
won & field3 = f & field10 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,1102, 0.148077, 1.752692,3.06633e-294,0.376721,0.915282
won & field3 = f & field10 = f & field16 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,1093, 0.147221, 1.755878,1.77758e-292,0.372966,0.916946
won & field10 = f & field16 = f & field23 = f & field27 = f & field33 = f & field35 = t,894, 0.130380, 1.873017,1.48783e-285,0.285982,0.978118
won & field8 = f & field10 = f & field16 = f & field25 = f & field27 = f & field32 = f & field33 = f,994, 0.130134, 1.719449,2.13050e-233,0.346370,0.897922
won & field3 = f & field10 = f & field16 = f & field27 = f & field33 = f & field35 = t,909, 0.129682, 1.838080,1.62067e-268,0.296308,0.959873
won & field8 = f & field10 = f & field16 = f & field23 = f & field25 = f & field32 = f & field33 = f,948, 0.127832, 1.757351,3.47954e-237,0.323217,0.917715
won & field8 = f & field10 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,950, 0.127314, 1.749205,1.38649e-233,0.325407,0.913462
won & field3 = f & field8 = f & field10 = f & field16 = f & field25 = f & field32 = f & field33 = f,972, 0.127172, 1.718653,2.26548e-225,0.338861,0.897507
won & field3 = f & field8 = f & field10 = f & field25 = f & field27 = f & field32 = f & field33 = f,974, 0.126981, 1.714275,8.21729e-224,0.340426,0.895221
won & field3 = f & field10 = f & field23 = f & field27 = f & field33 = f & field35 = t,871, 0.126942, 1.871936,4.32164e-275,0.278786,0.977553
won & field3 = f & field10 = f & field16 = f & field23 = f & field33 = f & field35 = t,871, 0.126942, 1.871936,4.32164e-275,0.278786,0.977553
won & field8 = f & field10 = f & field16 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,941, 0.126786, 1.756276,4.06153e-234,0.321026,0.917154

85 itemsets failed test for self sufficiency
won & field10 = f & field32 = f & field33 = f,1195, 0.155771, 1.714104,1.77264e-309,0.417710,0.895131
won & field10 = f & field25 = f & field32 = f & field33 = f,1193, 0.155635, 1.715089,3.07302e-309,0.416771,0.895646
won & field10 = f & field16 = f & field32 = f & field33 = f,1186, 0.155242, 1.719223,7.35655e-309,0.413329,0.897805
won & field10 = f & field16 = f & field25 = f & field32 = f & field33 = f,1184, 0.155106, 1.720231,1.22716e-308,0.412391,0.898331
won & field10 = f & field25 = f & field27 = f & field32 = f & field33 = f,1184, 0.154289, 1.713730,2.29683e-304,0.413955,0.894936
won & field10 = f & field27 = f & field32 = f & field33 = f,1185, 0.154276, 1.712588,4.66409e-304,0.414581,0.894340
won & field10 = f & field16 = f & field25 = f & field27 = f & field32 = f & field33 = f,1175, 0.153761, 1.718892,8.52880e-304,0.409574,0.897632
won & field10 = f & field16 = f & field27 = f & field32 = f & field33 = f,1176, 0.153747, 1.717731,1.78436e-303,0.410200,0.897025
won & field10 = f & field23 = f & field32 = f & field33 = f,1142, 0.153239, 1.750871,2.61392e-310,0.390801,0.914331
won & field10 = f & field23 = f & field25 = f & field32 = f & field33 = f,1140, 0.153104, 1.752013,3.49675e-310,0.389862,0.914928
won & field10 = f & field16 = f & field23 = f & field25 = f & field32 = f & field33 = f,1131, 0.152575, 1.757933,3.88713e-310,0.385482,0.918019
won & field3 = f & field10 = f & field32 = f & field33 = f,1166, 0.152089, 1.714897,2.59884e-297,0.407384,0.895545
won & field3 = f & field10 = f & field25 = f & field32 = f & field33 = f,1164, 0.151953, 1.715909,4.19391e-297,0.406446,0.896074
won & field10 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,1131, 0.151758, 1.750827,1.85291e-305,0.387046,0.914309
won & field10 = f & field23 = f & field27 = f & field32 = f & field33 = f,1132, 0.151744, 1.749547,4.67804e-305,0.387672,0.913640
won & field3 = f & field10 = f & field16 = f & field32 = f & field33 = f,1157, 0.151234, 1.717489,3.99209e-295,0.403630,0.896899
won & field10 = f & field16 = f & field23 = f & field25 = f & field27 = f & field32 = f & field33 = f,1122, 0.151230, 1.756778,1.94799e-305,0.382666,0.917416
won & field10 = f & field16 = f & field23 = f & field27 = f & field32 = f & field33 = f,1123, 0.151216, 1.755473,5.11352e-305,0.383292,0.916735
won & field3 = f & field10 = f & field16 = f & field25 = f & field32 = f & field33 = f,1155, 0.151098, 1.718517,6.26057e-295,0.402691,0.897436
won & field3 = f & field10 = f & field25 = f & field27 = f & field32 = f & field33 = f,1155, 0.150608, 1.714521,2.17576e-292,0.403630,0.895349
won & field3 = f & field10 = f & field27 = f & field32 = f & field33 = f,1156, 0.150594, 1.713349,4.54978e-292,0.404255,0.894737
won & field3 = f & field10 = f & field16 = f & field27 = f & field32 = f & field33 = f,1147, 0.149739, 1.715947,6.34060e-290,0.400501,0.896094
won & field3 = f & field10 = f & field23 = f & field32 = f & field33 = f,1113, 0.149558, 1.752718,6.35172e-299,0.380476,0.915296
won & field3 = f & field10 = f & field23 = f & field25 = f & field32 = f & field33 = f,1111, 0.149422, 1.753896,7.93459e-299,0.379537,0.915911
won & field3 = f & field10 = f & field16 = f & field23 = f & field32 = f & field33 = f,1104, 0.148702, 1.755873,4.08713e-297,0.376721,0.916943
won & field3 = f & field10 = f & field23 = f & field27 = f & field32 = f & field33 = f,1103, 0.148063, 1.751373,7.99295e-294,0.377347,0.914594
won & field3 = f & field10 = f & field16 = f & field23 = f & field27 = f & field32 = f & field33 = f,1094, 0.147207, 1.754541,4.74419e-292,0.373592,0.916248
