OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s won
  Chess.data.csv
  Chess.data

File/input/Chess.data.csv: 74 items, 3196 transactions
Found 100 non-redundant productive itemsets in 175 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
won & field5 = f & field10 = f & field13 = l & field23 = f & field33 = f & field35 = t & field24 = t,193, 0.028852, 1.914919,1.24952e-57,0.060388,1.000000
won & field3 = f & field9 = f & field24 = t & field15 = w & field18 = f & field6 = t,29, 0.004335, 1.914919,5.84412e-09,0.009074,1.000000
won & field5 = f & field7 = f & field23 = f & field33 = f & field35 = t & field22 = t,118, 0.017640, 1.914919,6.54695e-35,0.036921,1.000000
won & field5 = f & field8 = f & field23 = f & field33 = f & field35 = t & field22 = t,147, 0.021976, 1.914919,1.33988e-43,0.045995,1.000000
won & field5 = f & field7 = f & field23 = f & field35 = t & field22 = t & field11 = t,50, 0.007475, 1.914919,5.46823e-15,0.015645,1.000000
won & field5 = f & field8 = f & field23 = f & field35 = t & field22 = t & field11 = t,68, 0.010166, 1.914919,3.34659e-20,0.021277,1.000000
won & field3 = f & field8 = f & field24 = t & field15 = w & field18 = f & field6 = t,32, 0.004784, 1.914919,8.10818e-10,0.010013,1.000000
won & field3 = f & field5 = f & field24 = t & field15 = w & field18 = f & field6 = t,33, 0.004933, 1.914919,4.19504e-10,0.010325,1.000000
won & field33 = f & field24 = t & field15 = w & field18 = f & field6 = t,35, 0.005232, 1.914919,1.12196e-10,0.010951,1.000000
won & field3 = f & field9 = f & field10 = f & field15 = w & field6 = t,85, 0.012707, 1.914919,3.64432e-25,0.026596,1.000000
won & field3 = f & field5 = f & field10 = f & field35 = t & field15 = w,113, 0.016893, 1.914919,2.00559e-33,0.035357,1.000000
won & field3 = f & field5 = f & field10 = f & field32 = f & field15 = w,218, 0.032590, 1.914919,2.18655e-65,0.068210,1.000000
won & field3 = f & field9 = f & field10 = f & field35 = t & field15 = w,81, 0.012109, 1.914919,5.40571e-24,0.025344,1.000000
won & field5 = f & field33 = f & field31 = t & field15 = w & field18 = f,75, 0.011212, 1.914919,3.05977e-22,0.023467,1.000000
won & field8 = f & field32 = f & field33 = f & field31 = t & field15 = w,157, 0.023471, 1.914919,1.26820e-46,0.049124,1.000000
won & field7 = f & field33 = f & field31 = t & field15 = w & field18 = f,91, 0.013604, 1.914919,6.32013e-27,0.028473,1.000000
won & field9 = f & field33 = f & field35 = t & field31 = t & field15 = w,51, 0.007624, 1.914919,2.81407e-15,0.015957,1.000000
won & field7 = f & field32 = f & field33 = f & field31 = t & field15 = w,146, 0.021826, 1.914919,2.68329e-43,0.045682,1.000000
won & field7 = f & field33 = f & field11 = t & field31 = t & field15 = w,146, 0.021826, 1.914919,2.68329e-43,0.045682,1.000000
