OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s draw
  Connect-4.data.csv
  Connect-4.data

File/input/Connect-4.data.csv: 128 items, 67557 transactions
Found 100 non-redundant productive itemsets in 986 seconds
Alpha for size 2 = 3.07579e-06
Alpha for size 3 = 3.66165e-08
Alpha for size 4 = 5.85864e-10
Alpha for size 5 = 1.18118e-11
Alpha for size 6 = 2.88092e-13
Alpha for size 7 = 8.26494e-15

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
draw & field27 = o & field21 = o & field19 = o,12, 0.000156, 8.380462,1.95863e-10,0.000222,0.800000
draw & field42 = x,10, 0.000123, 5.819765,1.32591e-06,0.000266,0.555556
draw & field15 = o & field22 = b & field21 = o & field19 = o,30, 0.000345, 4.489533,2.74307e-13,0.001036,0.428571
draw & field8 = b & field15 = o & field21 = o & field19 = o,39, 0.000446, 4.392984,1.92187e-16,0.001377,0.419355
draw & field24 = x & field21 = o,20, 0.000228, 4.364824,4.53530e-09,0.000711,0.416667
draw & field32 = b & field15 = o & field21 = o & field19 = o,38, 0.000430, 4.234808,1.99213e-15,0.001391,0.404255
draw & field7 = x & field8 = o & field2 = x & field4 = x,31, 0.000350, 4.217440,8.45332e-13,0.001140,0.402597
draw & field14 = b & field37 = x & field4 = x & field20 = b & field19 = o,34, 0.000383, 4.190231,8.47857e-14,0.001258,0.400000
draw & field15 = o & field18 = x & field20 = b,27, 0.000298, 3.928342,1.70535e-10,0.001066,0.375000
draw & field32 = b & field15 = o & field18 = x,27, 0.000297, 3.874529,2.45966e-10,0.001081,0.369863
draw & field8 = b & field32 = b & field14 = b & field2 = x & field27 = o & field19 = b,45, 0.000492, 3.832528,4.90318e-16,0.001821,0.365854
draw & field8 = b & field32 = b & field15 = o & field22 = b & field21 = o,54, 0.000583, 3.697263,3.97794e-18,0.002265,0.352941
draw & field32 = b & field8 = o & field2 = x & field4 = o & field19 = b,44, 0.000473, 3.658138,7.36788e-15,0.001865,0.349206
draw & field14 = b & field7 = x & field8 = o & field37 = x & field2 = x & field19 = b,53, 0.000567, 3.605231,2.85337e-17,0.002280,0.344156
draw & field32 = b & field14 = b & field37 = x & field39 = x & field20 = b & field19 = o,69, 0.000737, 3.596094,6.00632e-22,0.002975,0.343284
draw & field32 = b & field7 = x & field8 = o & field4 = o & field19 = b,43, 0.000458, 3.574999,3.75158e-14,0.001865,0.341270
draw & field14 = b & field1 = x & field38 = x & field3 = x & field19 = b,45, 0.000478, 3.544369,1.38929e-14,0.001969,0.338346
draw & field7 = x & field2 = x & field3 = x & field4 = o & field19 = b,54, 0.000566, 3.428371,1.77030e-16,0.002442,0.327273
draw & field8 = b & field32 = b & field22 = b & field21 = o & field19 = o,187, 0.001956, 3.406840,6.74566e-53,0.008511,0.325217
draw & field32 = b & field37 = x & field4 = x & field19 = o,38, 0.000397, 3.402324,6.26214e-12,0.001732,0.324786
draw & field8 = b & field33 = b & field22 = b & field21 = o & field19 = o,210, 0.002184, 3.363717,3.25130e-58,0.009681,0.321101
draw & field8 = b & field14 = b & field3 = x & field4 = o & field20 = b & field19 = o,59, 0.000613, 3.359017,2.17743e-17,0.002724,0.320652
draw & field33 = b & field14 = b & field37 = x & field39 = x & field20 = b & field19 = o,71, 0.000737, 3.350297,1.54203e-20,0.003286,0.319820
draw & field32 = b & field8 = o & field2 = x & field4 = o & field20 = b,53, 0.000543, 3.246816,4.41207e-15,0.002531,0.309942
draw & field8 = b & field32 = b & field14 = b & field2 = x & field27 = o & field20 = b,54, 0.000552, 3.232464,3.02123e-15,0.002590,0.308571
draw & field8 = b & field32 = b & field14 = b & field39 = x & field20 = b & field19 = o,73, 0.000746, 3.226655,5.11991e-20,0.003508,0.308017
draw & field14 = b & field37 = x & field3 = x & field20 = b & field19 = o,51, 0.000520, 3.218400,2.12190e-14,0.002457,0.307229
draw & field8 = b & field32 = b & field3 = x & field4 = o & field20 = b & field19 = o,65, 0.000663, 3.211852,7.02058e-18,0.003138,0.306604
draw & field16 = x & field18 = x,29, 0.000294, 3.164497,1.21357e-08,0.001421,0.302083
draw & field8 = b & field32 = b & field14 = b & field3 = x & field20 = b & field19 = o,115, 0.001162, 3.153642,1.18437e-29,0.005654,0.301047
draw & field8 = b & field32 = b & field7 = x & field22 = b & field21 = o,112, 0.001128, 3.128706,1.37997e-28,0.005551,0.298667
draw & field14 = b & field7 = x & field8 = o & field37 = x & field2 = x & field20 = b,63, 0.000633, 3.113025,1.22371e-16,0.003138,0.297170
draw & field8 = b & field32 = b & field14 = b & field37 = x & field20 = b & field19 = o,211, 0.002116, 3.100066,6.51288e-52,0.010554,0.295933
draw & field32 = b & field7 = x & field8 = o & field4 = x,50, 0.000501, 3.099283,1.93406e-13,0.002502,0.295858
