OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s loss
  Connect-4.data.csv
  Connect-4.data

File/input/Connect-4.data.csv: 128 items, 67557 transactions
Found 100 non-redundant productive itemsets in 3489 seconds
Alpha for size 2 = 3.07579e-06
Alpha for size 3 = 3.66165e-08
Alpha for size 4 = 5.85864e-10
Alpha for size 5 = 1.18118e-11
Alpha for size 6 = 2.88092e-13
Alpha for size 7 = 8.26494e-15
Alpha for size 8 = 2.73221e-16
Alpha for size 9 = 1.02458e-17
Alpha for size 10 = 4.30496e-19

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
loss & field2 = b & field13 = x & field20 = o & field25 = b & field31 = b & field38 = b & field7 = x & field1 = x,30, 0.000335, 4.061136,5.39519e-19,0.000444,1.000000
loss & field2 = b & field13 = x & field20 = o & field25 = b & field31 = b & field38 = b & field7 = x & field37 = x,33, 0.000368, 4.061136,8.02107e-21,0.000488,1.000000
loss & field20 = o & field25 = b & field31 = b & field38 = b & field15 = o & field37 = x & field19 = o,33, 0.000368, 4.061136,8.02107e-21,0.000488,1.000000
loss & field13 = x & field20 = o & field25 = b & field31 = b & field15 = o & field37 = x & field19 = o,39, 0.000435, 4.061136,1.77072e-24,0.000577,1.000000
loss & field2 = b & field13 = x & field14 = o & field25 = b & field1 = x & field37 = x & field38 = x,26, 0.000290, 4.061136,1.47490e-16,0.000385,1.000000
loss & field13 = x & field25 = b & field31 = b & field1 = x & field15 = o & field37 = x & field19 = o,39, 0.000435, 4.061136,1.77072e-24,0.000577,1.000000
loss & field20 = o & field38 = b & field7 = x & field8 = o & field1 = x & field37 = x,33, 0.000368, 4.061136,8.02107e-21,0.000488,1.000000
loss & field31 = b & field38 = b & field1 = x & field37 = x & field2 = x & field21 = o,26, 0.000290, 4.061136,1.47490e-16,0.000385,1.000000
loss & field2 = b & field31 = b & field7 = x & field1 = x & field37 = x & field38 = x,40, 0.000446, 4.061136,4.35245e-25,0.000592,1.000000
loss & field2 = b & field20 = o & field1 = x & field37 = x & field38 = x & field19 = o,27, 0.000301, 4.061136,3.62747e-17,0.000400,1.000000
loss & field38 = b & field7 = x & field1 = x & field37 = x & field2 = x & field19 = o,29, 0.000324, 4.061136,2.19395e-18,0.000429,1.000000
loss & field13 = x & field20 = o & field31 = b & field37 = x & field21 = o & field19 = o,24, 0.000268, 4.061136,2.43795e-15,0.000355,1.000000
loss & field13 = x & field20 = o & field25 = b & field37 = x & field21 = o & field19 = o,30, 0.000335, 4.061136,5.39519e-19,0.000444,1.000000
loss & field13 = x & field14 = o & field1 = x & field15 = o & field2 = x & field19 = o,45, 0.000502, 4.061136,3.90262e-28,0.000666,1.000000
loss & field2 = b & field7 = x & field1 = x & field37 = x & field38 = x & field19 = o,29, 0.000324, 4.061136,2.19395e-18,0.000429,1.000000
loss & field2 = b & field25 = b & field7 = x & field1 = x & field37 = x & field38 = x,40, 0.000446, 4.061136,4.35245e-25,0.000592,1.000000
loss & field2 = b & field20 = o & field8 = o & field1 = x & field37 = x & field19 = o,38, 0.000424, 4.061136,7.20354e-24,0.000562,1.000000
loss & field2 = b & field20 = o & field7 = x & field8 = o & field1 = x & field37 = x,35, 0.000391, 4.061136,4.84860e-22,0.000518,1.000000
loss & field13 = x & field14 = o & field20 = o & field31 = b & field1 = x & field37 = x,39, 0.000435, 4.061136,1.77072e-24,0.000577,1.000000
loss & field13 = x & field20 = o & field1 = x & field37 = x & field38 = x,21, 0.000234, 4.061136,1.63782e-13,0.000311,1.000000
loss & field20 = o & field31 = b & field1 = x & field15 = o & field19 = o,66, 0.000736, 4.061136,6.12325e-41,0.000977,1.000000
loss & field13 = x & field14 = o & field20 = o & field1 = x & field15 = o,29, 0.000324, 4.061136,2.19395e-18,0.000429,1.000000
loss & field14 = o & field1 = x & field37 = x & field38 = x & field19 = o,36, 0.000402, 4.061136,1.19201e-22,0.000533,1.000000
loss & field13 = x & field20 = o & field31 = b & field1 = x & field15 = o,66, 0.000736, 4.061136,6.12325e-41,0.000977,1.000000
loss & field20 = o & field7 = x & field1 = x & field32 = o & field19 = o,54, 0.000603, 4.061136,1.27302e-33,0.000799,1.000000
loss & field20 = o & field1 = x & field37 = x & field2 = x & field21 = o,27, 0.000301, 4.061136,3.62747e-17,0.000400,1.000000
loss & field2 = b & field20 = o & field1 = x & field32 = o & field37 = x,22, 0.000245, 4.061136,4.02908e-14,0.000326,1.000000
loss & field20 = o & field22 = o & field1 = x & field37 = x & field19 = o,28, 0.000312, 4.061136,8.92123e-18,0.000414,1.000000
loss & field13 = x & field20 = o & field7 = x & field37 = x & field38 = x,21, 0.000234, 4.061136,1.63782e-13,0.000311,1.000000
loss & field20 = o & field7 = x & field32 = o & field37 = x & field19 = o,34, 0.000379, 4.061136,1.97212e-21,0.000503,1.000000
loss & field14 = o & field20 = o & field37 = x & field38 = x & field19 = o,44, 0.000491, 4.061136,1.58808e-27,0.000651,1.000000
loss & field20 = o & field1 = x & field26 = o & field2 = x & field19 = o,21, 0.000234, 4.061136,1.63782e-13,0.000311,1.000000
loss & field20 = o & field7 = x & field8 = o & field1 = x & field9 = o,25, 0.000279, 4.061136,5.99659e-16,0.000370,1.000000
loss & field14 = o & field20 = o & field1 = x & field15 = o & field19 = o,24, 0.000268, 4.061136,2.43795e-15,0.000355,1.000000
loss & field20 = o & field1 = x & field32 = o & field2 = x & field19 = o,26, 0.000290, 4.061136,1.47490e-16,0.000385,1.000000
loss & field20 = o & field1 = x & field32 = o & field37 = x & field19 = o,21, 0.000234, 4.061136,1.63782e-13,0.000311,1.000000
loss & field25 = b & field7 = x & field1 = x & field15 = o & field16 = o,42, 0.000469, 4.061136,2.62931e-26,0.000622,1.000000
loss & field14 = o & field20 = o & field31 = b & field38 = x & field19 = o,48, 0.000536, 4.061136,5.79020e-30,0.000711,1.000000
loss & field13 = x & field1 = x & field15 = o & field37 = x & field2 = x,21, 0.000234, 4.061136,1.63782e-13,0.000311,1.000000
loss & field20 = o & field38 = b & field7 = x & field15 = o & field37 = x,22, 0.000245, 4.061136,4.02908e-14,0.000326,1.000000
loss & field13 = x & field14 = o & field7 = x & field1 = x & field2 = x,23, 0.000257, 4.061136,9.91117e-15,0.000340,1.000000
loss & field2 = b & field13 = x & field7 = x & field1 = x & field21 = o,23, 0.000257, 4.061136,9.91117e-15,0.000340,1.000000
loss & field13 = x & field20 = o & field31 = b & field7 = x & field15 = o,56, 0.000625, 4.061136,7.68051e-35,0.000829,1.000000
