OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s win
  Connect-4.data.csv
  Connect-4.data

File/input/Connect-4.data.csv: 128 items, 67557 transactions
Found 100 non-redundant productive itemsets in 10567 seconds
Alpha for size 2 = 3.07579e-06
Alpha for size 3 = 3.66165e-08
Alpha for size 4 = 5.85864e-10
Alpha for size 5 = 1.18118e-11
Alpha for size 6 = 2.88092e-13
Alpha for size 7 = 8.26494e-15
Alpha for size 8 = 2.73221e-16
Alpha for size 9 = 1.02458e-17

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
win & field15 = b & field19 = x & field7 = o & field14 = x & field38 = o & field21 = b,79, 0.000400, 1.519056,4.41946e-15,0.001169,1.000000
win & field15 = b & field19 = x & field7 = o & field2 = o & field14 = x & field21 = b,87, 0.000440, 1.519056,1.55086e-16,0.001288,1.000000
win & field15 = b & field19 = x & field7 = o & field37 = o & field14 = x & field20 = b,145, 0.000733, 1.519056,4.33393e-27,0.002146,1.000000
win & field19 = x & field7 = o & field1 = o & field2 = o & field8 = x & field20 = b,91, 0.000460, 1.519056,2.90464e-17,0.001347,1.000000
win & field15 = b & field19 = x & field1 = o & field37 = o & field14 = x & field20 = b,123, 0.000622, 1.519056,4.37857e-23,0.001821,1.000000
win & field15 = b & field19 = x & field7 = o & field2 = o & field8 = x & field20 = b,203, 0.001027, 1.519056,1.18006e-37,0.003005,1.000000
win & field19 = x & field7 = o & field1 = o & field37 = o & field8 = x & field21 = b,163, 0.000824, 1.519056,2.28720e-30,0.002413,1.000000
win & field19 = x & field7 = o & field1 = o & field2 = o & field8 = x & field21 = b,129, 0.000652, 1.519056,3.54300e-24,0.001909,1.000000
win & field15 = b & field7 = o & field31 = o & field1 = o & field14 = x & field21 = b,163, 0.000824, 1.519056,2.28720e-30,0.002413,1.000000
win & field4 = b & field15 = b & field7 = o & field31 = o & field21 = b & field20 = x,447, 0.002261, 1.519056,3.17674e-82,0.006617,1.000000
win & field7 = o & field1 = o & field2 = o & field21 = b & field20 = x,120, 0.000607, 1.519056,1.53911e-22,0.001776,1.000000
win & field19 = x & field37 = o & field8 = x & field21 = b & field20 = x,133, 0.000673, 1.519056,6.62718e-25,0.001969,1.000000
win & field15 = b & field7 = o & field1 = o & field2 = o & field14 = x,143, 0.000723, 1.519056,1.00228e-26,0.002117,1.000000
win & field15 = b & field1 = o & field2 = o & field14 = x & field8 = x,81, 0.000410, 1.519056,1.91289e-15,0.001199,1.000000
win & field15 = b & field7 = o & field1 = o & field14 = x & field20 = b,584, 0.002954, 1.519056,2.44698e-107,0.008645,1.000000
win & field19 = x & field7 = o & field37 = o & field38 = o & field8 = x,151, 0.000764, 1.519056,3.50330e-28,0.002235,1.000000
win & field19 = x & field7 = o & field8 = x & field21 = b & field20 = x,281, 0.001421, 1.519056,7.01451e-52,0.004159,1.000000
win & field7 = o & field1 = o & field8 = x & field21 = b & field20 = x,134, 0.000678, 1.519056,4.35823e-25,0.001984,1.000000
win & field19 = x & field1 = o & field37 = o & field32 = x & field20 = b,78, 0.000395, 1.519056,6.71744e-15,0.001155,1.000000
win & field19 = x & field7 = o & field37 = o & field21 = b & field20 = x,447, 0.002261, 1.519056,3.17674e-82,0.006617,1.000000
win & field7 = o & field1 = o & field37 = o & field21 = b & field20 = x,135, 0.000683, 1.519056,2.86608e-25,0.001998,1.000000
win & field15 = b & field1 = o & field37 = o & field2 = o & field14 = x,136, 0.000688, 1.519056,1.88479e-25,0.002013,1.000000
win & field15 = b & field1 = o & field2 = o & field14 = x & field21 = b,618, 0.003126, 1.519056,1.40029e-113,0.009148,1.000000
win & field15 = b & field19 = x & field7 = o & field21 = b & field20 = x,1101, 0.005569, 1.519056,1.09253e-202,0.016297,1.000000
win & field15 = b & field7 = o & field37 = o & field2 = o & field14 = x,70, 0.000354, 1.519056,1.91320e-13,0.001036,1.000000
win & field15 = b & field1 = o & field2 = o & field14 = x & field20 = b,525, 0.002655, 1.519056,1.62816e-96,0.007771,1.000000
win & field15 = b & field7 = o & field1 = o & field37 = o & field14 = x,157, 0.000794, 1.519056,2.83107e-29,0.002324,1.000000
win & field15 = b & field7 = o & field1 = o & field21 = b & field20 = x,511, 0.002585, 1.519056,5.99989e-94,0.007564,1.000000
win & field19 = x & field1 = o & field8 = x & field21 = b & field20 = x,127, 0.000642, 1.519056,8.19165e-24,0.001880,1.000000
win & field19 = x & field1 = o & field37 = o & field8 = x & field20 = b,184, 0.000931, 1.519056,3.42051e-34,0.002724,1.000000
win & field15 = b & field7 = o & field37 = o & field8 = x & field32 = x,117, 0.000592, 1.519056,5.40971e-22,0.001732,1.000000
win & field7 = o & field37 = o & field38 = o & field21 = b & field20 = x,115, 0.000582, 1.519056,1.25053e-21,0.001702,1.000000
win & field15 = b & field7 = o & field1 = o & field14 = x & field32 = x,70, 0.000354, 1.519056,1.91320e-13,0.001036,1.000000
win & field7 = o & field37 = o & field38 = o & field32 = x & field20 = b,75, 0.000379, 1.519056,2.35878e-14,0.001110,1.000000
win & field15 = b & field7 = o & field37 = o & field14 = x & field38 = o,146, 0.000738, 1.519056,2.84985e-27,0.002161,1.000000
win & field7 = o & field31 = o & field8 = x & field21 = b & field20 = x,131, 0.000663, 1.519056,1.53234e-24,0.001939,1.000000
win & field19 = x & field7 = o & field14 = x & field15 = x & field21 = b,204, 0.001032, 1.519056,7.75625e-38,0.003020,1.000000
win & field19 = x & field7 = o & field14 = x & field15 = x & field20 = b,160, 0.000809, 1.519056,8.04717e-30,0.002368,1.000000
win & field15 = b & field31 = o & field1 = o & field2 = o & field14 = x,126, 0.000637, 1.519056,1.24557e-23,0.001865,1.000000
win & field19 = x & field1 = o & field38 = o & field22 = b & field20 = x,133, 0.000673, 1.519056,6.62718e-25,0.001969,1.000000
win & field19 = x & field31 = o & field1 = o & field37 = o & field20 = b,86, 0.000435, 1.519056,2.35740e-16,0.001273,1.000000
win & field15 = b & field1 = o & field37 = o & field14 = x & field38 = o,133, 0.000673, 1.519056,6.62718e-25,0.001969,1.000000
win & field7 = o & field31 = o & field1 = o & field21 = b & field20 = x,99, 0.000501, 1.519056,1.01853e-18,0.001465,1.000000
win & field7 = o & field37 = o & field38 = o & field32 = x & field21 = b,81, 0.000410, 1.519056,1.91289e-15,0.001199,1.000000
win & field19 = x & field31 = o & field1 = o & field21 = b & field20 = x,229, 0.001158, 1.519056,2.14888e-42,0.003390,1.000000
win & field19 = x & field37 = o & field38 = o & field15 = x & field21 = b,70, 0.000354, 1.519056,1.91320e-13,0.001036,1.000000
