OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s win
  Connect-4.data.csv
  Connect-4.data

File/input/Connect-4.data.csv: 128 items, 67557 transactions
Found 100 non-redundant productive itemsets in 2670 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
win & field5 = b & field40 = b & field1 = o & field23 = b,14286, 0.030746, 1.170131,0.00000,0.274524,0.770301
win & field5 = b & field40 = b & field1 = o & field22 = b,13730, 0.029532, 1.170013,7.64237e-309,0.263866,0.770223
win & field16 = b & field40 = b & field1 = o & field23 = b,13686, 0.029387, 1.169675,2.08119e-306,0.263096,0.770001
win & field5 = b & field37 = o & field23 = b,13994, 0.029133, 1.163656,3.47283e-295,0.270409,0.766039
win & field5 = b & field16 = b & field40 = b & field1 = o,13372, 0.029095, 1.172322,7.65004e-306,0.256480,0.771744
win & field5 = b & field16 = b & field1 = o & field23 = b,13610, 0.029091, 1.168769,3.63012e-301,0.261838,0.769405
win & field40 = b & field1 = o & field21 = b,13213, 0.028593, 1.171226,1.46048e-297,0.253667,0.771022
win & field5 = b & field37 = o & field21 = b,12773, 0.028531, 1.177718,3.95055e-305,0.243868,0.775296
win & field5 = b & field16 = b & field40 = b & field1 = o & field23 = b,13119, 0.028498, 1.171989,3.00297e-297,0.251699,0.771524
win & field4 = b & field37 = o & field23 = b,13397, 0.028452, 1.167506,6.55303e-291,0.258019,0.768573
win & field5 = b & field37 = o & field22 = b,13544, 0.028445, 1.165341,4.37047e-288,0.261335,0.767148
win & field5 = b & field40 = b & field37 = o,12965, 0.028362, 1.173413,3.08244e-297,0.248442,0.772462
win & field40 = b & field37 = o & field23 = b,13096, 0.028342, 1.171243,3.42661e-294,0.251417,0.771033
win & field5 = b & field1 = o & field21 = b,13140, 0.028282, 1.170149,5.46875e-292,0.252498,0.770313
win & field16 = b & field40 = b & field1 = o & field22 = b,13130, 0.028173, 1.169533,9.60671e-290,0.252439,0.769907
win & field4 = b & field40 = b & field1 = o & field23 = b,13060, 0.028121, 1.170228,6.28390e-290,0.250944,0.770365
win & field5 = b & field40 = b & field37 = o & field23 = b,12789, 0.028076, 1.174134,2.74653e-294,0.244919,0.772936
win & field5 = b & field16 = b & field1 = o & field22 = b,13054, 0.027876, 1.168588,1.34130e-284,0.251180,0.769285
win & field5 = b & field19 = x & field22 = b,12801, 0.027864, 1.172401,3.14336e-289,0.245511,0.771795
win & field4 = b & field37 = o & field21 = b,12187, 0.027818, 1.182318,2.55327e-301,0.231775,0.778324
win & field19 = x & field40 = b & field22 = b,12798, 0.027770, 1.171773,3.43281e-287,0.245585,0.771382
win & field4 = b & field37 = o & field22 = b,12947, 0.027764, 1.169415,3.82836e-284,0.248945,0.769830
win & field5 = b & field40 = b & field1 = o & field21 = b,12652, 0.027704, 1.173614,1.24393e-288,0.242403,0.772594
win & field40 = b & field37 = o & field21 = b,11887, 0.027674, 1.186635,5.86074e-305,0.225247,0.781166
win & field4 = b & field40 = b & field37 = o,12376, 0.027673, 1.177935,1.07036e-293,0.236245,0.775439
win & field40 = b & field37 = o & field22 = b,12646, 0.027655, 1.173344,1.26609e-287,0.242344,0.772416
win & field16 = b & field19 = x & field22 = b,12112, 0.027526, 1.181380,4.03551e-296,0.230531,0.777706
win & field4 = b & field1 = o & field22 = b,13004, 0.027507, 1.166724,2.08944e-277,0.250618,0.768059
win & field15 = b & field40 = b & field1 = o & field23 = b,12194, 0.027434, 1.179232,3.97524e-292,0.232515,0.776292
win & field5 = b & field40 = b & field37 = o & field21 = b,11580, 0.027408, 1.190328,4.43969e-306,0.218749,0.783597
win & field5 = b & field40 = b & field37 = o & field22 = b,12339, 0.027388, 1.176404,6.40605e-288,0.235845,0.774430
win & field4 = b & field40 = b & field37 = o & field23 = b,12200, 0.027387, 1.178761,6.91964e-291,0.232722,0.775983
win & field5 = b & field19 = x & field40 = b,14056, 0.027380, 1.151540,1.60693e-257,0.274465,0.758063
win & field5 = b & field19 = x & field40 = b & field21 = b,10681, 0.027372, 1.209380,0.00000,0.198588,0.796139
win & field5 = b & field16 = b & field40 = b & field1 = o & field22 = b,12563, 0.027283, 1.171942,6.16520e-281,0.241041,0.771493
win & field5 = b & field15 = b & field40 = b & field1 = o,11886, 0.027143, 1.182417,3.04731e-292,0.226031,0.778389
win & field5 = b & field15 = b & field1 = o & field23 = b,12114, 0.027117, 1.178171,1.60351e-286,0.231197,0.775594
win & field5 = b & field16 = b & field19 = x,13356, 0.027104, 1.158880,1.07513e-262,0.259144,0.762895
win & field5 = b & field19 = x & field40 = b & field23 = b,13451, 0.027039, 1.157143,8.37245e-260,0.261379,0.761751
win & field16 = b & field19 = x & field40 = b,13353, 0.027011, 1.158289,8.28233e-261,0.259218,0.762506
win & field16 = b & field1 = o & field21 = b,12552, 0.026965, 1.169767,4.58410e-274,0.241278,0.770061
win & field5 = b & field16 = b & field19 = x & field21 = b,10045, 0.026943, 1.221300,0.00000,0.184940,0.803986
win & field4 = b & field40 = b & field1 = o & field22 = b,12513, 0.026914, 1.170008,1.07527e-273,0.240478,0.770220
win & field15 = b & field1 = o & field22 = b,12141, 0.026893, 1.175978,8.51624e-281,0.232145,0.774150
win & field16 = b & field19 = x & field40 = b & field21 = b,10046, 0.026879, 1.220640,0.00000,0.185059,0.803551
win & field5 = b & field16 = b & field19 = x & field23 = b,12751, 0.026763, 1.165222,6.21873e-266,0.246059,0.767070
win & field4 = b & field40 = b & field37 = o & field22 = b,11750, 0.026699, 1.181343,6.67167e-285,0.223648,0.777682
win & field4 = b & field40 = b & field37 = o & field21 = b,11002, 0.026687, 1.195982,2.28415e-303,0.206848,0.787319
win & field16 = b & field37 = o,13274, 0.026670, 1.157053,4.78113e-255,0.257960,0.761692
win & field16 = b & field19 = x & field40 = b & field23 = b,12748, 0.026670, 1.164598,5.45396e-264,0.246133,0.766659
win & field4 = b & field19 = x & field21 = b,10420, 0.026657, 1.208934,6.74200e-320,0.193807,0.795845
win & field5 = b & field15 = b & field40 = b & field1 = o & field23 = b,11633, 0.026546, 1.182256,5.42614e-284,0.221250,0.778283
win & field4 = b & field19 = x,13724, 0.026539, 1.150272,1.41284e-245,0.268277,0.757228
win & field4 = b & field16 = b & field40 = b & field1 = o,12156, 0.026492, 1.172646,2.01798e-271,0.233092,0.771957
win & field4 = b & field16 = b & field1 = o & field23 = b,12394, 0.026487, 1.168737,1.26508e-266,0.238450,0.769384
win & field15 = b & field19 = x,12338, 0.026477, 1.169555,1.77294e-267,0.237207,0.769922

44 itemsets failed test for self sufficiency
win & field1 = o,15597, 0.032826, 1.165751,0.00000,0.300842,0.767418
win & field40 = b & field1 = o,15106, 0.032233, 1.168434,0.00000,0.290703,0.769184
win & field1 = o & field23 = b,15344, 0.032229, 1.165362,0.00000,0.296061,0.767162
win & field5 = b & field1 = o,15030, 0.031937, 1.167608,0.00000,0.289444,0.768641
win & field40 = b & field1 = o & field23 = b,14853, 0.031636, 1.168075,0.00000,0.285922,0.768948
win & field5 = b & field40 = b & field1 = o,14539, 0.031344, 1.170468,0.00000,0.279305,0.770523
win & field5 = b & field1 = o & field23 = b,14777, 0.031339, 1.167235,0.00000,0.284663,0.768395
win & field1 = o & field22 = b,14788, 0.031015, 1.165075,4.40000e-323,0.285403,0.766973
win & field19 = x,14943, 0.030736, 1.161384,2.69155e-314,0.289311,0.764543
win & field19 = x & field21 = b,11540, 0.030694, 1.219048,0.00000,0.212857,0.802503
win & field16 = b & field1 = o,14430, 0.030578, 1.167074,1.50087e-319,0.278017,0.768289
win & field40 = b & field1 = o & field22 = b,14297, 0.030422, 1.167883,1.99322e-318,0.275264,0.768821
win & field19 = x & field23 = b,14338, 0.030395, 1.167152,4.34794e-317,0.276226,0.768340
win & field5 = b & field1 = o & field22 = b,14221, 0.030125, 1.167009,3.99087e-313,0.274006,0.768246
win & field16 = b & field40 = b & field1 = o,13939, 0.029985, 1.170035,3.65065e-315,0.267877,0.770238
win & field16 = b & field1 = o & field23 = b,14177, 0.029980, 1.166675,1.11384e-310,0.273236,0.768026
win & field5 = b & field16 = b & field1 = o,13863, 0.029688, 1.169147,7.18747e-310,0.266619,0.769654
win & field37 = o,14477, 0.029685, 1.160801,4.80907e-299,0.280430,0.764159
win & field19 = x & field22 = b,13243, 0.029495, 1.177113,9.89301e-318,0.252972,0.774898
win & field5 = b & field37 = o,14170, 0.029419, 1.163138,2.12232e-298,0.273932,0.765698
win & field37 = o & field23 = b,14301, 0.029399, 1.161278,9.07369e-296,0.276907,0.764473
win & field4 = b & field1 = o,13804, 0.029312, 1.167477,1.61745e-302,0.265864,0.768554
win & field1 = o & field21 = b,13701, 0.029171, 1.168000,2.87266e-301,0.263762,0.768898
win & field5 = b & field19 = x,14501, 0.029105, 1.156863,2.74927e-286,0.281851,0.761567
win & field5 = b & field19 = x & field21 = b,11110, 0.029065, 1.214677,0.00000,0.205663,0.799626
win & field19 = x & field40 = b,14498, 0.029012, 1.156320,2.23223e-284,0.281925,0.761210
win & field19 = x & field40 = b & field21 = b,11111, 0.029002, 1.214087,0.00000,0.205782,0.799238
win & field37 = o & field21 = b,13080, 0.028797, 1.174723,6.98379e-305,0.250366,0.773324
win & field16 = b & field1 = o & field22 = b,13621, 0.028766, 1.166417,9.40336e-294,0.262578,0.767856
win & field5 = b & field19 = x & field23 = b,13896, 0.028764, 1.162571,7.38358e-289,0.268766,0.765325
win & field4 = b & field37 = o,13573, 0.028738, 1.166911,5.33159e-294,0.261542,0.768182
win & field16 = b & field19 = x,13798, 0.028736, 1.163730,6.08540e-290,0.266604,0.766087
win & field4 = b & field40 = b & field1 = o,13313, 0.028719, 1.170595,1.85446e-298,0.255725,0.770607
win & field4 = b & field1 = o & field23 = b,13551, 0.028714, 1.167067,7.00946e-294,0.261083,0.768284
win & field37 = o & field22 = b,13851, 0.028711, 1.162841,1.68430e-288,0.267833,0.765502
win & field19 = x & field40 = b & field23 = b,13893, 0.028671, 1.162000,6.69636e-287,0.268840,0.764949
win & field40 = b & field37 = o,13272, 0.028628, 1.170581,3.26336e-297,0.254940,0.770597
win & field15 = b & field1 = o,12928, 0.028603, 1.175739,1.51953e-303,0.247243,0.773993
win & field16 = b & field19 = x & field21 = b,10475, 0.028572, 1.225895,0.00000,0.192134,0.807011
win & field16 = b & field19 = x & field23 = b,13193, 0.028394, 1.170136,1.76026e-293,0.253519,0.770304
win & field15 = b & field40 = b & field1 = o,12447, 0.028032, 1.179446,1.57905e-300,0.237296,0.776433
win & field15 = b & field1 = o & field23 = b,12675, 0.028006, 1.175460,4.84854e-295,0.242462,0.773810
win & field5 = b & field15 = b & field1 = o,12367, 0.027715, 1.178407,7.14181e-295,0.235979,0.775750
win & field4 = b & field16 = b & field1 = o,12647, 0.027085, 1.169152,7.07716e-275,0.243232,0.769657

2884 seconds (213 input, 1733 search, 936 filter, 0 output) for 100 itemsets

