OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s win
  Connect-4.data.csv
  Connect-4.data

File/input/Connect-4.data.csv: 128 items, 67557 transactions
Found 100 non-redundant productive itemsets in 20001 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
win & field15 = b & field19 = x & field7 = o & field37 = o & field14 = x & field8 = x,50, 0.000253, 1.519056,8.26444e-10,0.000740,1.000000
win & field19 = x & field7 = o & field1 = o & field14 = x & field8 = x & field20 = b,48, 0.000243, 1.519056,1.90847e-09,0.000711,1.000000
win & field15 = b & field19 = x & field7 = o & field37 = o & field14 = x & field20 = b,145, 0.000733, 1.519056,4.33393e-27,0.002146,1.000000
win & field3 = b & field1 = o & field2 = o & field8 = x & field21 = b & field20 = x,56, 0.000283, 1.519056,6.70993e-11,0.000829,1.000000
win & field19 = x & field7 = o & field1 = o & field37 = o & field8 = x & field21 = b,163, 0.000824, 1.519056,2.28720e-30,0.002413,1.000000
win & field15 = b & field19 = x & field7 = o & field2 = o & field14 = x & field21 = b,87, 0.000440, 1.519056,1.55086e-16,0.001288,1.000000
win & field19 = x & field7 = o & field1 = o & field2 = o & field8 = x & field21 = b,129, 0.000652, 1.519056,3.54300e-24,0.001909,1.000000
win & field15 = b & field19 = x & field7 = o & field2 = o & field14 = x & field20 = b,63, 0.000319, 1.519056,3.58361e-12,0.000933,1.000000
win & field19 = x & field7 = o & field1 = o & field2 = o & field8 = x & field20 = b,91, 0.000460, 1.519056,2.90464e-17,0.001347,1.000000
win & field3 = b & field7 = o & field1 = o & field37 = o & field8 = x & field21 = b,290, 0.001467, 1.519056,1.59671e-53,0.004293,1.000000
win & field15 = b & field19 = x & field1 = o & field14 = x & field8 = x & field20 = b,46, 0.000233, 1.519056,4.40701e-09,0.000681,1.000000
win & field15 = b & field19 = x & field7 = o & field2 = o & field8 = x & field20 = b,203, 0.001027, 1.519056,1.18006e-37,0.003005,1.000000
win & field15 = b & field19 = x & field1 = o & field37 = o & field14 = x & field20 = b,123, 0.000622, 1.519056,4.37857e-23,0.001821,1.000000
win & field15 = b & field19 = x & field37 = o & field14 = x & field8 = x & field20 = b,50, 0.000253, 1.519056,8.26444e-10,0.000740,1.000000
win & field3 = b & field7 = o & field1 = o & field37 = o & field8 = x & field20 = b,247, 0.001249, 1.519056,1.12086e-45,0.003656,1.000000
win & field19 = x & field1 = o & field37 = o & field14 = x & field21 = b & field20 = x,48, 0.000243, 1.519056,1.90847e-09,0.000711,1.000000
win & field3 = b & field19 = x & field1 = o & field2 = o & field15 = x & field20 = b,49, 0.000248, 1.519056,1.25589e-09,0.000725,1.000000
win & field16 = b & field19 = x & field7 = o & field8 = x & field15 = x & field21 = b,70, 0.000354, 1.519056,1.91320e-13,0.001036,1.000000
win & field3 = b & field19 = x & field1 = o & field2 = o & field15 = x & field21 = b,66, 0.000334, 1.519056,1.02084e-12,0.000977,1.000000
win & field3 = b & field1 = o & field2 = o & field14 = x & field21 = b & field20 = x,65, 0.000329, 1.519056,1.55149e-12,0.000962,1.000000
win & field15 = b & field7 = o & field37 = o & field14 = x & field38 = o,146, 0.000738, 1.519056,2.84985e-27,0.002161,1.000000
