OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -p
  -k 100
  -s EDIBLE
  Mushroom.csv
  Mushroom

File/input/Mushroom.csv: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 17 seconds
Alpha for size 2 = 3.62161e-06
Alpha for size 3 = 4.68312e-08
Alpha for size 4 = 8.14456e-10
Alpha for size 5 = 1.78609e-11
Alpha for size 6 = 4.74183e-13
Alpha for size 7 = 1.48182e-14

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field9 = BROAD & field6 = NONE,2472, 0.132529, 1.822150,0.00000,0.302281,0.971698
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field20 = PENDANT & field9 = BROAD,2536, 0.131516, 1.774465,0.00000,0.318441,0.946269
EDIBLE & field5 = BRUISES & field14 = SMOOTH & field9 = BROAD,2464, 0.122961, 1.724085,0.00000,0.318441,0.919403
EDIBLE & field5 = BRUISES & field13 = SMOOTH,2752, 0.122204, 1.596724,0.00000,0.384030,0.851485
EDIBLE & field20 = PENDANT & field9 = BROAD & field6 = NONE,2256, 0.120550, 1.817226,0.00000,0.276616,0.969072
EDIBLE & field15 = WHITE & field6 = NONE,2232, 0.116684, 1.785622,0.00000,0.278517,0.952219
EDIBLE & field5 = BRUISES & field20 = PENDANT & field9 = BROAD,2464, 0.113836, 1.636172,0.00000,0.335551,0.872521
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field20 = PENDANT,2728, 0.113270, 1.537142,0.00000,0.395437,0.819712
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field20 = PENDANT & field6 = NONE,2120, 0.112501, 1.807033,0.00000,0.261407,0.963636
EDIBLE & field5 = BRUISES & field14 = SMOOTH & field20 = PENDANT & field9 = BROAD,2272, 0.112313, 1.712422,0.00000,0.295627,0.913183
EDIBLE & field13 = SMOOTH & field20 = PENDANT & field9 = BROAD & field6 = NONE,2096, 0.111677, 1.812946,0.00000,0.257605,0.966790
EDIBLE & field14 = SMOOTH & field20 = PENDANT & field9 = BROAD & field6 = NONE,2096, 0.111677, 1.812946,0.00000,0.257605,0.966790
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field20 = PENDANT & field9 = BROAD & field6 = NONE,2024, 0.107684, 1.810807,0.00000,0.249049,0.965649
EDIBLE & field5 = BRUISES & field9 = BROAD & field6 = NONE,1952, 0.103691, 1.808515,0.00000,0.240494,0.964427
EDIBLE & field5 = BRUISES & field14 = SMOOTH & field20 = PENDANT,2368, 0.100909, 1.559174,0.00000,0.338403,0.831461
EDIBLE & field21 = BROWN & field9 = BROAD,1776, 0.098492, 1.875223,0.00000,0.211027,1.000000
EDIBLE & field9 = BROAD & field21 = BLACK,1728, 0.095831, 1.875223,0.00000,0.205323,1.000000
EDIBLE & field5 = BRUISES & field20 = PENDANT & field6 = NONE,1760, 0.092536, 1.793691,0.00000,0.218631,0.956522
EDIBLE & field15 = WHITE & field16 = WHITE & field6 = NONE,1728, 0.090761, 1.792248,0.00000,0.214829,0.955752
EDIBLE & field15 = WHITE & field16 = WHITE & field9 = BROAD & field6 = NONE,1584, 0.083282, 1.793692,0.00000,0.196768,0.956522
EDIBLE & field21 = BROWN & field6 = NONE,1472, 0.081633, 1.875223,0.00000,0.174905,1.000000
EDIBLE & field13 = SMOOTH & field15 = WHITE & field6 = NONE,1540, 0.080335, 1.782619,0.00000,0.192490,0.950617
EDIBLE & field21 = BLACK & field6 = NONE,1424, 0.078971, 1.875223,0.00000,0.169202,1.000000
EDIBLE & field13 = SMOOTH & field16 = WHITE & field6 = NONE,1504, 0.078339, 1.780515,0.00000,0.188213,0.949495
EDIBLE & field14 = SMOOTH & field15 = WHITE & field6 = NONE,1492, 0.077673, 1.779792,0.00000,0.186787,0.949109
EDIBLE & field13 = SMOOTH & field15 = WHITE & field16 = WHITE & field9 = BROAD,1632, 0.076820, 1.656041,3.36694e-285,0.219582,0.883117
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field15 = WHITE & field9 = BROAD,1544, 0.076502, 1.715251,3.01644e-311,0.200570,0.914692
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field16 = WHITE & field9 = BROAD,1544, 0.076502, 1.715251,3.01644e-311,0.200570,0.914692
EDIBLE & field8 = CROWDED & field6 = NONE,1384, 0.075739, 1.853792,0.00000,0.166350,0.988571
EDIBLE & field8 = CROWDED & field15 = WHITE,1480, 0.075487, 1.752102,0.00000,0.188213,0.934343
EDIBLE & field13 = SMOOTH & field21 = BROWN,1616, 0.075426, 1.646935,6.45662e-275,0.218631,0.878261
EDIBLE & field8 = CROWDED & field9 = BROAD,1312, 0.072760, 1.875223,0.00000,0.155894,1.000000
EDIBLE & field8 = CROWDED & field16 = WHITE & field6 = NONE,1312, 0.072253, 1.863858,0.00000,0.156844,0.993939
EDIBLE & field8 = CROWDED & field16 = WHITE,1408, 0.071494, 1.746239,4.49937e-302,0.179658,0.931217
EDIBLE & field13 = SMOOTH & field16 = WHITE & field9 = BROAD & field6 = NONE,1360, 0.070860, 1.780938,1.68882e-317,0.170152,0.949721
EDIBLE & field14 = SMOOTH & field15 = WHITE & field9 = BROAD & field6 = NONE,1360, 0.070860, 1.780938,1.68882e-317,0.170152,0.949721
EDIBLE & field14 = SMOOTH & field16 = WHITE & field9 = BROAD & field6 = NONE,1360, 0.070860, 1.780938,1.68882e-317,0.170152,0.949721
EDIBLE & field13 = SMOOTH & field15 = WHITE & field9 = BROAD & field6 = NONE,1360, 0.070860, 1.780938,1.68882e-317,0.170152,0.949721
EDIBLE & field14 = SMOOTH & field21 = BROWN,1520, 0.070102, 1.634369,2.49120e-246,0.207224,0.871560
EDIBLE & field13 = SMOOTH & field21 = BLACK,1520, 0.070102, 1.634369,2.49120e-246,0.207224,0.871560
EDIBLE & field13 = SMOOTH & field16 = WHITE & field20 = PENDANT & field9 = BROAD,1456, 0.067059, 1.632969,7.52065e-233,0.198669,0.870813
EDIBLE & field13 = SMOOTH & field15 = WHITE & field20 = PENDANT & field9 = BROAD,1456, 0.067059, 1.632969,7.52065e-233,0.198669,0.870813
EDIBLE & field14 = SMOOTH & field15 = WHITE & field16 = WHITE & field9 = BROAD,1440, 0.066172, 1.630629,2.85564e-228,0.196768,0.869565
EDIBLE & field15 = WHITE & field20 = PENDANT & field9 = BROAD,1600, 0.065921, 1.530794,9.35046e-194,0.232890,0.816327
EDIBLE & field16 = WHITE & field20 = PENDANT & field9 = BROAD,1600, 0.065921, 1.530794,9.35046e-194,0.232890,0.816327
EDIBLE & field14 = SMOOTH & field21 = BLACK,1424, 0.064778, 1.620338,7.87609e-219,0.195817,0.864078
EDIBLE & field13 = SMOOTH & field14 = SMOOTH & field21 = BROWN,1392, 0.063003, 1.615291,6.60812e-210,0.192015,0.861386
EDIBLE & field5 = BRUISES & field21 = BROWN,1264, 0.061988, 1.702789,1.13907e-237,0.165399,0.908046
EDIBLE & field20 = PENDANT & field21 = BROWN,1360, 0.061229, 1.610040,4.18281e-201,0.188213,0.858586
