OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s POISONOUS
  Mushroom.csv
  Mushroom

File/input/Mushroom.csv: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 67 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
POISONOUS & field9 = NARROW & field8 = CLOSE & field21 = WHITE,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS & field19 = ONE & field8 = CLOSE & field21 = WHITE,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS & field22 = SEVERAL & field8 = CLOSE & field20 = EVANESCENT,1760, 0.111520, 2.142566,0.00000,0.209125,1.000000
POISONOUS & field22 = SEVERAL & field16 = BUFF,216, 0.013687, 2.142566,1.29188e-73,0.025665,1.000000
POISONOUS & field23 = PATHS & field16 = BUFF,144, 0.009124, 2.142566,5.33749e-49,0.017110,1.000000
POISONOUS & field13 = SILKY & field10 = BUFF,864, 0.054746, 2.142566,2.40719e-311,0.102662,1.000000
POISONOUS & field6 = FOUL & field10 = BUFF,576, 0.036498, 2.142566,7.14004e-202,0.068441,1.000000
POISONOUS & field22 = SEVERAL & field14 = SILKY,1512, 0.095806, 2.142566,0.00000,0.179658,1.000000
POISONOUS & field22 = SEVERAL & field13 = SILKY,1544, 0.097834, 2.142566,0.00000,0.183460,1.000000
POISONOUS & field22 = SEVERAL & field6 = FOUL,1368, 0.086682, 2.142566,0.00000,0.162548,1.000000
POISONOUS & field22 = SEVERAL & field20 = LARGE,648, 0.041060, 2.142566,1.23969e-228,0.076996,1.000000
POISONOUS & field9 = NARROW & field14 = SILKY,864, 0.054746, 2.142566,2.40719e-311,0.102662,1.000000
POISONOUS & field9 = NARROW & field13 = SILKY,896, 0.056774, 2.142566,4.90000e-324,0.106464,1.000000
POISONOUS & field9 = NARROW & field6 = FOUL,576, 0.036498, 2.142566,7.14004e-202,0.068441,1.000000
POISONOUS & field23 = PATHS & field15 = PINK,432, 0.027373, 2.142566,1.70856e-149,0.051331,1.000000
POISONOUS & field23 = PATHS & field10 = BUFF,576, 0.036498, 2.142566,7.14004e-202,0.068441,1.000000
POISONOUS & field16 = PINK & field13 = SILKY,864, 0.054746, 2.142566,2.40719e-311,0.102662,1.000000
POISONOUS & field15 = PINK & field21 = CHOCOLATE,432, 0.027373, 2.142566,1.70856e-149,0.051331,1.000000
POISONOUS & field6 = FOUL & field21 = CHOCOLATE,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS & field6 = FOUL & field14 = SILKY,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS & field19 = ONE & field14 = SILKY,2160, 0.136866, 2.142566,0.00000,0.256654,1.000000
POISONOUS & field8 = CLOSE & field14 = SILKY,2160, 0.136866, 2.142566,0.00000,0.256654,1.000000
POISONOUS & field6 = FOUL & field13 = SILKY,1584, 0.100368, 2.142566,0.00000,0.188213,1.000000
POISONOUS & field19 = ONE & field13 = SILKY,2192, 0.138893, 2.142566,0.00000,0.260456,1.000000
POISONOUS & field8 = CLOSE & field13 = SILKY,2240, 0.141935, 2.142566,0.00000,0.266160,1.000000
POISONOUS & field9 = NARROW & field16 = PINK,864, 0.054746, 2.142566,2.40719e-311,0.102662,1.000000
POISONOUS & field5 = NO & field6 = FOUL,1872, 0.118617, 2.142566,0.00000,0.222433,1.000000
POISONOUS & field23 = PATHS & field21 = CHOCOLATE,432, 0.027373, 2.142566,1.70856e-149,0.051331,1.000000
