OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s priority
  Nursery.data.csv
  Nursery.data

File/input/Nursery.data.csv: 30 items, 5222 transactions
Found 15 non-redundant productive itemsets in 1 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
priority & field2 = proper & field8 = recommended & field5 = critical,184, 0.014648, 1.711497,2.56787e-37,0.036768,0.958333
priority & field8 = recommended & field5 = critical & field2 = improper,92, 0.007324, 1.711497,5.00988e-19,0.018384,0.958333
priority & field8 = recommended & field2 = critical,225, 0.012206, 1.395242,6.24489e-16,0.055151,0.781250
priority & field8 = recommended & field2 = improper,222, 0.011631, 1.376639,1.49390e-14,0.055151,0.770833
priority & field2 = proper & field8 = recommended,444, 0.023262, 1.376639,6.00087e-29,0.110303,0.770833
priority & field2 = critical & field9 = spec_prior,189, 0.009172, 1.339432,1.17916e-10,0.048257,0.750000

9 itemsets failed test for self sufficiency
priority & field8 = recommended & field5 = critical,438, 0.022006, 1.355682,6.29388e-26,0.110494,0.759099
priority & field8 = recommended,1184, 0.040051, 1.214542,7.12702e-36,0.333397,0.680069
priority & field2 = proper & field5 = critical,376, 0.010240, 1.165802,9.84919e-07,0.110303,0.652778
priority & field5 = critical & field2 = improper,188, 0.005120, 1.165802,0.000612716,0.055151,0.652778
priority & field9 = spec_prior,474, 0.009492, 1.116783,4.73591e-05,0.145155,0.625330
priority & field2 = critical,513, 0.005594, 1.060384,0.0154508,0.165454,0.593750
priority & field2 = improper,510, 0.005020, 1.054183,0.0266699,0.165454,0.590278
priority & field2 = proper,1020, 0.010039, 1.054183,0.00103341,0.330908,0.590278
priority & field5 = critical,1014, 0.008783, 1.047376,0.00356967,0.331099,0.586466

2 seconds (0 input, 0 search, 0 filter, 0 output) for 15 itemsets

