OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s spec_prior
  Nursery.data.csv
  Nursery.data

File/input/Nursery.data.csv: 31 items, 5222 transactions
Found 100 non-redundant productive itemsets in 5 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
spec_prior & field8 = recommended & field5 = critical & field4 = more & field2 = very_crit,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = recommended & field5 = critical & field4 = 3 & field2 = very_crit,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = recommended & field7 = problematic & field5 = critical & field2 = very_crit,32, 0.005238, 6.889182,8.54606e-28,0.006128,1.000000
spec_prior & field8 = priority & field5 = critical & field3 = foster & field2 = critical,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = priority & field6 = inconv & field4 = 3 & field2 = critical,36, 0.005893, 6.889182,3.24900e-31,0.006894,1.000000
spec_prior & field8 = recommended & field5 = critical & field3 = foster & field2 = very_crit,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = priority & field6 = inconv & field4 = more & field2 = critical,36, 0.005893, 6.889182,3.24900e-31,0.006894,1.000000
spec_prior & field8 = recommended & field6 = inconv & field4 = more & field2 = very_crit,36, 0.005893, 6.889182,3.24900e-31,0.006894,1.000000
spec_prior & field8 = recommended & field7 = problematic & field4 = more & field2 = very_crit,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = recommended & field7 = problematic & field4 = 3 & field2 = very_crit,24, 0.003929, 6.889182,5.58690e-21,0.004596,1.000000
spec_prior & field8 = priority & field6 = inconv & field3 = foster & field2 = critical,36, 0.005893, 6.889182,3.24900e-31,0.006894,1.000000
