OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s very_recom
  Nursery.data.csv
  Nursery.data

File/input/Nursery.data.csv: 31 items, 5222 transactions
Found 100 non-redundant productive itemsets in 4 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
very_recom & field5 = convenient & field8 = recommended,170, 0.026771, 5.628511,8.76616e-101,0.111452,0.292096
very_recom & field6 = convenient & field8 = recommended,179, 0.025622, 3.960066,5.72170e-79,0.166794,0.205511
very_recom & field7 = nonprob & field8 = recommended,136, 0.020270, 4.510559,2.94011e-62,0.111260,0.234079
very_recom & field8 = recommended & field7 = slightly_prob,135, 0.020088, 4.485113,2.35279e-61,0.111069,0.232759
very_recom & field4 = 1 & field8 = recommended,127, 0.019898, 5.499349,1.41140e-68,0.085216,0.285393
very_recom & field2 = proper & field8 = recommended,130, 0.019170, 4.348990,7.98947e-57,0.110303,0.225694
very_recom & field3 = complete & field8 = recommended,103, 0.015302, 4.460102,3.10535e-44,0.085216,0.231461
very_recom & field8 = recommended & field2 = less_proper,75, 0.011371, 4.801339,1.65621e-33,0.057641,0.249169
very_recom & field8 = recommended & field1 = pretentious,75, 0.011371, 4.801339,1.65621e-33,0.057641,0.249169
very_recom & field8 = recommended & field4 = 2,80, 0.011027, 3.568402,3.21551e-26,0.082727,0.185185
very_recom & field8 = recommended & field3 = completed,80, 0.011027, 3.568402,3.21551e-26,0.082727,0.185185
very_recom & field8 = recommended & field2 = improper,66, 0.009777, 4.415897,5.79803e-27,0.055151,0.229167
very_recom & field5 = convenient & field6 = convenient & field7 = slightly_prob,64, 0.009364, 4.237937,4.90402e-25,0.055726,0.219931
very_recom & field5 = convenient & field6 = convenient & field7 = nonprob,64, 0.009364, 4.237937,4.90402e-25,0.055726,0.219931
very_recom & field4 = 1 & field7 = nonprob,64, 0.007833, 2.771325,6.75134e-15,0.085216,0.143820
very_recom & field4 = 1 & field7 = slightly_prob,63, 0.007652, 2.734168,2.24670e-14,0.085025,0.141892
very_recom & field2 = proper & field5 = convenient & field7 = slightly_prob,41, 0.005943, 4.114813,1.42049e-15,0.036768,0.213542
very_recom & field2 = proper & field5 = convenient & field7 = nonprob,41, 0.005943, 4.114813,1.42049e-15,0.036768,0.213542
very_recom & field3 = complete & field7 = nonprob,52, 0.005535, 2.251702,9.61698e-09,0.085216,0.116854
very_recom & field2 = proper & field6 = convenient & field7 = slightly_prob,43, 0.005372, 2.877024,1.14899e-10,0.055151,0.149306
very_recom & field2 = proper & field6 = convenient & field7 = nonprob,43, 0.005372, 2.877024,1.14899e-10,0.055151,0.149306
very_recom & field3 = complete & field7 = slightly_prob,51, 0.005354, 2.213374,2.47176e-08,0.085025,0.114865
very_recom & field2 = proper & field5 = convenient & field1 = pretentious,42, 0.005181, 2.810117,4.17516e-10,0.055151,0.145833
very_recom & field5 = convenient & field2 = improper,42, 0.005181, 2.810117,4.17516e-10,0.055151,0.145833
