OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 500
  -s <=50K
  Adult.csv
  Output

File/input/Adult.csv: 132 items, 32561 transactions
Found 500 non-redundant productive itemsets in 159 seconds
Alpha for size 2 = 0.000189394
Alpha for size 3 = 1.44576e-06
Alpha for size 4 = 1.66818e-08
Alpha for size 5 = 2.58632e-10
Alpha for size 6 = 5.05141e-12
Alpha for size 7 = 1.19325e-13

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
<=50K & field2 = Private & field1 = Age24-31 & field9 = Female & field3 = Some-college & field7 = Own-child,109, 0.000806, 1.317193,8.57559e-14,0.003348,1.000000
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field4 = EduNum10 & field7 = Own-child,199, 0.001472, 1.317193,1.27659e-24,0.006112,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field4 = EduNum9 & field1 = Age24-31 & field9 = Female,97, 0.000717, 1.317193,2.36743e-12,0.002979,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
<=50K & field2 = Private & field1 = Age24-31 & field9 = Female & field4 = EduNum10 & field7 = Own-child,109, 0.000806, 1.317193,8.57559e-14,0.003348,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
<=50K & field5 = Never-married & field7 = Not-in-family & field2 = Private & field4 = EduNum10 & field10 = Hour21-35,153, 0.001132, 1.317193,4.40848e-19,0.004699,1.000000
<=50K & field5 = Never-married & field6 = Adm-clerical & field3 = HS-grad & field1 = Age24-31 & field9 = Female,97, 0.000717, 1.317193,2.36743e-12,0.002979,1.000000
<=50K & field5 = Never-married & field7 = Not-in-family & field2 = Private & field3 = Some-college & field10 = Hour21-35,153, 0.001132, 1.317193,4.40848e-19,0.004699,1.000000
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field3 = Some-college & field7 = Own-child,199, 0.001472, 1.317193,1.27659e-24,0.006112,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field7 = Unmarried,143, 0.001058, 1.317193,7.03161e-18,0.004392,1.000000
<=50K & field5 = Never-married & field2 = Private & field1 = Age24-31 & field11 = Mexico,94, 0.000695, 1.317193,5.42545e-12,0.002887,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field10 = Hour21-35,99, 0.000732, 1.317193,1.36192e-12,0.003040,1.000000
<=50K & field6 = Adm-clerical & field9 = Female & field3 = Some-college & field1 = Age17-23,214, 0.001583, 1.317193,1.98675e-26,0.006572,1.000000
<=50K & field9 = Female & field6 = Other-service & field3 = Some-college & field10 = Hour21-35,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
<=50K & field2 = Private & field8 = Black & field4 = EduNum10 & field10 = Hour21-35,87, 0.000643, 1.317193,3.75538e-11,0.002672,1.000000
<=50K & field4 = EduNum9 & field8 = Black & field9 = Female & field10 = Hour21-35,117, 0.000865, 1.317193,9.38095e-15,0.003593,1.000000
<=50K & field5 = Never-married & field2 = Private & field4 = EduNum9 & field8 = Black,386, 0.002855, 1.317193,3.14860e-47,0.011855,1.000000
<=50K & field1 = Age24-31 & field9 = Female & field10 = Hour21-35 & field7 = Unmarried,90, 0.000666, 1.317193,1.63903e-11,0.002764,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field8 = Black & field9 = Female,265, 0.001960, 1.317193,1.39322e-32,0.008139,1.000000
<=50K & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35 & field7 = Unmarried,83, 0.000614, 1.317193,1.13419e-10,0.002549,1.000000
<=50K & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35 & field7 = Unmarried,83, 0.000614, 1.317193,1.13419e-10,0.002549,1.000000
<=50K & field5 = Never-married & field3 = Some-college & field10 = Hour21-35 & field6 = ?,93, 0.000688, 1.317193,7.15286e-12,0.002856,1.000000
<=50K & field5 = Never-married & field4 = EduNum9 & field10 = Hour21-35 & field7 = Unmarried,81, 0.000599, 1.317193,1.97095e-10,0.002488,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field10 = Hour21-35 & field7 = Unmarried,81, 0.000599, 1.317193,1.97095e-10,0.002488,1.000000
<=50K & field5 = Never-married & field8 = Black & field9 = Female & field6 = Other-service,150, 0.001109, 1.317193,1.01196e-18,0.004607,1.000000
<=50K & field4 = EduNum9 & field1 = Age24-31 & field6 = Other-service & field10 = Hour21-35,88, 0.000651, 1.317193,2.84863e-11,0.002703,1.000000
<=50K & field3 = HS-grad & field1 = Age24-31 & field6 = Other-service & field10 = Hour21-35,88, 0.000651, 1.317193,2.84863e-11,0.002703,1.000000
<=50K & field5 = Never-married & field1 = Age24-31 & field6 = Other-service & field10 = Hour21-35,125, 0.000924, 1.317193,1.02555e-15,0.003839,1.000000
<=50K & field2 = Private & field8 = Black & field3 = Some-college & field10 = Hour21-35,87, 0.000643, 1.317193,3.75538e-11,0.002672,1.000000
<=50K & field5 = Never-married & field3 = HS-grad & field1 = Age17-23 & field7 = Own-child,710, 0.005251, 1.317193,9.24507e-87,0.021805,1.000000
<=50K & field9 = Female & field6 = Other-service & field7 = Own-child & field10 = Hour21-35,141, 0.001043, 1.317193,1.22337e-17,0.004330,1.000000
<=50K & field7 = Not-in-family & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
<=50K & field7 = Not-in-family & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
<=50K & field5 = Never-married & field2 = Private & field3 = HS-grad & field8 = Black,386, 0.002855, 1.317193,3.14860e-47,0.011855,1.000000
