OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -p
  -l
  -k 100
  -s >50K
  Adult.csv
  Output

File/input/Adult.csv: 132 items, 32561 transactions
Found 100 non-redundant productive itemsets in 242 seconds
Alpha for size 2 = 5.78302e-05
Alpha for size 3 = 6.67272e-07
Alpha for size 4 = 1.03453e-08
Alpha for size 5 = 2.02057e-10
Alpha for size 6 = 4.77299e-12
Alpha for size 7 = 1.32583e-13
Alpha for size 8 = 4.24266e-15
Alpha for size 9 = 1.53967e-16

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
>50K & field1 = Age41-50 & field6 = Exec-managerial & field7 = Husband & field3 = Prof-school,17, 0.000396, 4.152659,3.03899e-11,0.000522,1.000000
>50K & field1 = Age41-50 & field5 = Married-civ-spouse & field6 = Exec-managerial & field4 = EduNum15,19, 0.000443, 4.152659,1.75632e-12,0.000584,1.000000
>50K & field1 = Age41-50 & field5 = Married-civ-spouse & field6 = Exec-managerial & field3 = Prof-school,19, 0.000443, 4.152659,1.75632e-12,0.000584,1.000000
>50K & field1 = Age41-50 & field6 = Exec-managerial & field7 = Husband & field4 = EduNum15,17, 0.000396, 4.152659,3.03899e-11,0.000522,1.000000
>50K & field8 = White & field9 = Male & field10 = Hour36-50 & field11 = United-States & field1 = Age41-50 & field5 = Married-civ-spouse & field3 = Prof-school,65, 0.001493, 3.969453,1.17726e-36,0.002088,0.955882
>50K & field8 = White & field9 = Male & field10 = Hour36-50 & field11 = United-States & field1 = Age41-50 & field5 = Married-civ-spouse & field4 = EduNum15,65, 0.001493, 3.969453,1.17726e-36,0.002088,0.955882
>50K & field8 = White & field10 = Hour36-50 & field11 = United-States & field1 = Age41-50 & field7 = Husband & field4 = EduNum15,65, 0.001493, 3.969453,1.17726e-36,0.002088,0.955882
>50K & field8 = White & field10 = Hour36-50 & field11 = United-States & field1 = Age41-50 & field7 = Husband & field3 = Prof-school,65, 0.001493, 3.969453,1.17726e-36,0.002088,0.955882
>50K & field8 = White & field9 = Male & field11 = United-States & field1 = Age41-50 & field5 = Married-civ-spouse & field4 = EduNum15,118, 0.002707, 3.951724,4.93928e-65,0.003808,0.951613
>50K & field8 = White & field9 = Male & field11 = United-States & field1 = Age41-50 & field5 = Married-civ-spouse & field3 = Prof-school,118, 0.002707, 3.951724,4.93928e-65,0.003808,0.951613
