OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -p
  -k 100
  -s Abnormal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 0 seconds
Alpha for size 2 = 1.26263e-05
Alpha for size 3 = 4.40451e-07
Alpha for size 4 = 2.09739e-08
Alpha for size 5 = 1.27889e-09
Alpha for size 6 = 9.59170e-11
Alpha for size 7 = 8.60794e-12
Alpha for size 8 = 9.06099e-13

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Abnormal & field9 = 0 & field12 = 0 & field17 = 0,44, 0.093044, 2.296774,1.08745e-14,0.348315,0.473118
Abnormal & field3 = 0 & field12 = 0 & field14 = 0 & field17 = 0,41, 0.092609, 2.519448,4.65467e-15,0.295880,0.518987
Abnormal & field13 = 0 & field14 = 0 & field22 = 0 & field17 = 0,42, 0.089411, 2.316942,9.13919e-14,0.329588,0.477273
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field22 = 0,41, 0.087980, 2.341604,1.82868e-13,0.318352,0.482353
Abnormal & field3 = 0 & field14 = 0 & field22 = 0,44, 0.087643, 2.136000,4.78375e-13,0.374532,0.440000
Abnormal & field13 = 0 & field14 = 0 & field22 = 0 & field11 = 0,38, 0.087545, 2.598207,4.56972e-14,0.265918,0.535211
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field17 = 0 & field11 = 0,35, 0.087110, 2.980861,2.93975e-15,0.213483,0.614035
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field17 = 0 & field11 = 0,35, 0.087110, 2.980861,2.93975e-15,0.213483,0.614035
Abnormal & field7 = 0 & field9 = 0 & field17 = 0,43, 0.086984, 2.174432,6.50915e-13,0.359551,0.447917
Abnormal & field8 = 0 & field14 = 0 & field22 = 0,44, 0.086872, 2.114852,7.93615e-13,0.378277,0.435644
Abnormal & field9 = 0 & field17 = 0 & field11 = 0,39, 0.086661, 2.458796,1.88245e-13,0.288390,0.506494
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field17 = 0 & field11 = 0,35, 0.086339, 2.929467,6.73034e-15,0.217228,0.603448
Abnormal & field3 = 0 & field9 = 0 & field17 = 0,44, 0.086100, 2.094118,1.30619e-12,0.382022,0.431373
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field21 = 0,38, 0.086002, 2.527024,1.69305e-13,0.273408,0.520548
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field21 = 0,38, 0.086002, 2.527024,1.69305e-13,0.273408,0.520548
Abnormal & field9 = 0 & field14 = 0 & field22 = 0 & field17 = 0,41, 0.085665, 2.261777,9.79990e-13,0.329588,0.465909
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field17 = 0 & field11 = 0,35, 0.085567, 2.879815,1.50143e-14,0.220974,0.593220
Abnormal & field14 = 0 & field18 = 0,48, 0.084880, 1.894457,1.64746e-12,0.460674,0.390244
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0,35, 0.084796, 2.831818,3.26847e-14,0.224719,0.583333
Abnormal & field8 = 0 & field14 = 0 & field21 = 0 & field11 = 0,34, 0.084136, 2.947403,1.82351e-14,0.209738,0.607143
Abnormal & field3 = 0 & field9 = 0 & field12 = 0 & field22 = 0,41, 0.084122, 2.211515,2.85047e-12,0.337079,0.455556
