OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s Abnormal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 0 seconds
Alpha for size 2 = 1.26263e-05
Alpha for size 3 = 4.40451e-07
Alpha for size 4 = 2.09739e-08
Alpha for size 5 = 1.27889e-09
Alpha for size 6 = 9.59170e-11
Alpha for size 7 = 8.60794e-12
Alpha for size 8 = 9.06099e-13

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,30, 0.078413, 3.309917,1.73888e-14,0.164794,0.681818
Abnormal & field8 = 0 & field9 = 0 & field14 = 0 & field23 = 0 & field21 = 0 & field11 = 0,27, 0.070263, 3.276818,1.21361e-12,0.149813,0.675000
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,30, 0.077642, 3.236364,4.65302e-14,0.168539,0.666667
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,30, 0.077642, 3.236364,4.65302e-14,0.168539,0.666667
Abnormal & field13 = 0 & field14 = 0 & field23 = 0 & field21 = 0 & field11 = 0,30, 0.077642, 3.236364,4.65302e-14,0.168539,0.666667
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,30, 0.076870, 3.166008,1.19261e-13,0.172285,0.652174
Abnormal & field14 = 0 & field22 = 0 & field23 = 0 & field21 = 0 & field11 = 0,30, 0.076870, 3.166008,1.19261e-13,0.172285,0.652174
Abnormal & field9 = 0 & field13 = 0 & field23 = 0 & field21 = 0 & field11 = 0,29, 0.073896, 3.128485,6.67536e-13,0.168539,0.644444
Abnormal & field3 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,29, 0.073125, 3.060474,1.60283e-12,0.172285,0.630435
Abnormal & field9 = 0 & field22 = 0 & field23 = 0 & field21 = 0 & field11 = 0,29, 0.073125, 3.060474,1.60283e-12,0.172285,0.630435
Abnormal & field12 = 0 & field13 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,32, 0.079732, 2.987413,1.20456e-13,0.194757,0.615385
Abnormal & field3 = 0 & field12 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,32, 0.079732, 2.987413,1.20456e-13,0.194757,0.615385
Abnormal & field4 = 0 & field8 = 0 & field14 = 0 & field23 = 0 & field11 = 0,29, 0.071582, 2.932955,8.31225e-12,0.179775,0.604167
Abnormal & field7 = 0 & field9 = 0 & field22 = 0 & field23 = 0 & field11 = 0,30, 0.073784, 2.912727,3.56257e-12,0.187266,0.600000
Abnormal & field7 = 0 & field9 = 0 & field14 = 0 & field23 = 0 & field11 = 0,28, 0.068608, 2.892070,4.11968e-11,0.176030,0.595745
Abnormal & field8 = 0 & field9 = 0 & field12 = 0 & field23 = 0 & field11 = 0,30, 0.073013, 2.855615,7.69334e-12,0.191011,0.588235
Abnormal & field9 = 0 & field12 = 0 & field22 = 0 & field23 = 0 & field11 = 0,30, 0.073013, 2.855615,7.69334e-12,0.191011,0.588235
Abnormal & field4 = 0 & field8 = 0 & field14 = 0 & field21 = 0 & field11 = 0,31, 0.075215, 2.839451,3.19044e-12,0.198502,0.584906
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field21 = 0,31, 0.075215, 2.839451,3.19044e-12,0.198502,0.584906
Abnormal & field9 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field11 = 0,28, 0.067837, 2.831818,8.72352e-11,0.179775,0.583333
Abnormal & field4 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field11 = 0,28, 0.067837, 2.831818,8.72352e-11,0.179775,0.583333
Abnormal & field9 = 0 & field12 = 0 & field13 = 0 & field23 = 0 & field11 = 0,29, 0.070039, 2.815636,3.80385e-11,0.187266,0.580000
Abnormal & field9 = 0 & field13 = 0 & field14 = 0 & field21 = 0 & field11 = 0,31, 0.074443, 2.786869,6.68208e-12,0.202247,0.574074
Abnormal & field9 = 0 & field14 = 0 & field22 = 0 & field21 = 0 & field11 = 0,31, 0.074443, 2.786869,6.68208e-12,0.202247,0.574074
Abnormal & field8 = 0 & field9 = 0 & field12 = 0 & field14 = 0 & field11 = 0,32, 0.076646, 2.774026,2.68533e-12,0.209738,0.571429
Abnormal & field3 = 0 & field9 = 0 & field14 = 0 & field23 = 0 & field11 = 0,28, 0.067065, 2.774026,1.79492e-10,0.183521,0.571429
Abnormal & field3 = 0 & field9 = 0 & field12 = 0 & field23 = 0 & field11 = 0,29, 0.069267, 2.760428,7.80391e-11,0.191011,0.568627
Abnormal & field4 = 0 & field8 = 0 & field12 = 0 & field14 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field9 = 0 & field12 = 0 & field14 = 0 & field22 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field7 = 0 & field9 = 0 & field14 = 0 & field22 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field9 = 0 & field12 = 0 & field13 = 0 & field14 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field23 = 0 & field21 = 0,31, 0.072900, 2.687338,2.72530e-11,0.209738,0.553571
Abnormal & field4 = 0 & field14 = 0 & field22 = 0 & field21 = 0 & field11 = 0,31, 0.072900, 2.687338,2.72530e-11,0.209738,0.553571
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field21 = 0,32, 0.075103, 2.678370,1.09350e-11,0.217228,0.551724
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field21 = 0,32, 0.075103, 2.678370,1.09350e-11,0.217228,0.551724

65 itemsets failed test for self sufficiency
Abnormal & field8 = 0 & field14 = 0 & field23 = 0 & field21 = 0 & field11 = 0,30, 0.079185, 3.386892,6.19989e-15,0.161049,0.697674
Abnormal & field8 = 0 & field9 = 0 & field23 = 0 & field21 = 0 & field11 = 0,29, 0.074668, 3.199587,2.67332e-13,0.164794,0.659091
Abnormal & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,31, 0.079073, 3.135227,5.14290e-14,0.179775,0.645833
Abnormal & field8 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,32, 0.081275, 3.106909,2.14277e-14,0.187266,0.640000
Abnormal & field7 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,31, 0.078301, 3.071243,1.25210e-13,0.183521,0.632653
Abnormal & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,32, 0.080503, 3.045990,5.16334e-14,0.191011,0.627451
Abnormal & field9 = 0 & field14 = 0 & field23 = 0 & field21 = 0 & field11 = 0,28, 0.070151, 3.020606,8.35772e-12,0.168539,0.622222
Abnormal & field13 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,32, 0.079732, 2.987413,1.20456e-13,0.194757,0.615385
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field17 = 0 & field11 = 0,35, 0.087110, 2.980861,2.93975e-15,0.213483,0.614035
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field17 = 0 & field11 = 0,35, 0.087110, 2.980861,2.93975e-15,0.213483,0.614035
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field3 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field23 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field14 = 0 & field23 = 0 & field21 = 0 & field11 = 0,31, 0.076758, 2.950802,6.71040e-13,0.191011,0.607843
Abnormal & field8 = 0 & field14 = 0 & field21 = 0 & field11 = 0,34, 0.084136, 2.947403,1.82351e-14,0.209738,0.607143
Abnormal & field8 = 0 & field9 = 0 & field14 = 0 & field23 = 0 & field11 = 0,29, 0.071582, 2.932955,8.31225e-12,0.179775,0.604167
Abnormal & field7 = 0 & field14 = 0 & field22 = 0 & field17 = 0 & field11 = 0,35, 0.086339, 2.929467,6.73034e-15,0.217228,0.603448
Abnormal & field12 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,33, 0.081163, 2.912727,1.07301e-13,0.205993,0.600000
Abnormal & field14 = 0 & field23 = 0 & field17 = 0 & field11 = 0,33, 0.081163, 2.912727,1.07301e-13,0.205993,0.600000
Abnormal & field8 = 0 & field9 = 0 & field14 = 0 & field21 = 0 & field11 = 0,31, 0.075986, 2.894056,1.48381e-12,0.194757,0.596154
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field17 = 0 & field11 = 0,35, 0.085567, 2.879815,1.50143e-14,0.220974,0.593220
Abnormal & field8 = 0 & field14 = 0 & field23 = 0 & field11 = 0,33, 0.080391, 2.860714,2.35091e-13,0.209738,0.589286
Abnormal & field9 = 0 & field23 = 0 & field21 = 0 & field11 = 0,30, 0.073013, 2.855615,7.69334e-12,0.191011,0.588235
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0,35, 0.084796, 2.831818,3.26847e-14,0.224719,0.583333
Abnormal & field8 = 0 & field9 = 0 & field23 = 0 & field11 = 0,32, 0.077417, 2.824463,1.28519e-12,0.205993,0.581818
Abnormal & field12 = 0 & field14 = 0 & field17 = 0 & field11 = 0,36, 0.086998, 2.818768,1.15527e-14,0.232210,0.580645
Abnormal & field7 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,33, 0.079620, 2.810526,5.02178e-13,0.213483,0.578947
Abnormal & field12 = 0 & field13 = 0 & field23 = 0 & field17 = 0 & field11 = 0,33, 0.079620, 2.810526,5.02178e-13,0.213483,0.578947
Abnormal & field13 = 0 & field14 = 0 & field23 = 0 & field11 = 0,33, 0.079620, 2.810526,5.02178e-13,0.213483,0.578947
Abnormal & field8 = 0 & field12 = 0 & field23 = 0 & field17 = 0 & field11 = 0,34, 0.081822, 2.797535,1.90035e-13,0.220974,0.576271
Abnormal & field13 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,34, 0.081822, 2.797535,1.90035e-13,0.220974,0.576271
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0,34, 0.081822, 2.797535,1.90035e-13,0.220974,0.576271
Abnormal & field13 = 0 & field14 = 0 & field21 = 0 & field11 = 0,34, 0.081822, 2.797535,1.90035e-13,0.220974,0.576271
Abnormal & field9 = 0 & field13 = 0 & field23 = 0 & field11 = 0,31, 0.074443, 2.786869,6.68208e-12,0.202247,0.574074
Abnormal & field8 = 0 & field14 = 0 & field17 = 0 & field11 = 0,37, 0.088429, 2.763357,8.33853e-15,0.243446,0.569231
Abnormal & field12 = 0 & field13 = 0 & field22 = 0 & field23 = 0 & field11 = 0,34, 0.081050, 2.750909,3.95802e-13,0.224719,0.566667
Abnormal & field3 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field11 = 0,34, 0.081050, 2.750909,3.95802e-13,0.224719,0.566667
Abnormal & field3 = 0 & field12 = 0 & field14 = 0 & field17 = 0 & field11 = 0,34, 0.081050, 2.750909,3.95802e-13,0.224719,0.566667
Abnormal & field14 = 0 & field22 = 0 & field21 = 0 & field11 = 0,34, 0.081050, 2.750909,3.95802e-13,0.224719,0.566667
Abnormal & field8 = 0 & field23 = 0 & field21 = 0 & field11 = 0,34, 0.081050, 2.750909,3.95802e-13,0.224719,0.566667
Abnormal & field3 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field11 = 0,30, 0.071470, 2.747856,3.30788e-11,0.198502,0.566038
Abnormal & field7 = 0 & field9 = 0 & field23 = 0 & field11 = 0,31, 0.073672, 2.736198,1.36531e-11,0.205993,0.563636
Abnormal & field7 = 0 & field14 = 0 & field17 = 0 & field11 = 0,36, 0.085455, 2.730682,5.10388e-14,0.239700,0.562500
Abnormal & field8 = 0 & field12 = 0 & field14 = 0 & field11 = 0,36, 0.085455, 2.730682,5.10388e-14,0.239700,0.562500
Abnormal & field12 = 0 & field14 = 0 & field23 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field7 = 0 & field14 = 0 & field23 = 0 & field11 = 0,32, 0.075874, 2.725359,5.47976e-12,0.213483,0.561404
Abnormal & field14 = 0 & field22 = 0 & field17 = 0 & field11 = 0,37, 0.087657, 2.721488,1.73407e-14,0.247191,0.560606
Abnormal & field3 = 0 & field12 = 0 & field23 = 0 & field17 = 0 & field11 = 0,33, 0.078077, 2.715254,2.13546e-12,0.220974,0.559322
Abnormal & field22 = 0 & field23 = 0 & field21 = 0 & field11 = 0,33, 0.078077, 2.715254,2.13546e-12,0.220974,0.559322
