OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s Abnormal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 13 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field16 = 0 & field17 = 0,41, 0.097238, 2.726526,7.18804e-17,0.273408,0.561644
Abnormal & field9 = 0 & field12 = 0 & field17 = 0,44, 0.093044, 2.296774,1.08745e-14,0.348315,0.473118
Abnormal & field7 = 0 & field12 = 0 & field14 = 0 & field22 = 0 & field16 = 0 & field17 = 0,39, 0.092062, 2.704675,1.76915e-15,0.262172,0.557143
Abnormal & field7 = 0 & field12 = 0 & field14 = 0 & field17 = 0,41, 0.091837, 2.487955,8.85887e-15,0.299625,0.512500
Abnormal & field12 = 0 & field14 = 0 & field22 = 0 & field17 = 0 & field5 = 0,38, 0.091403, 2.795041,1.28276e-15,0.247191,0.575758
Abnormal & field12 = 0 & field14 = 0 & field15 = 0 & field17 = 0,39, 0.091290, 2.666581,3.61636e-15,0.265918,0.549296
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field17 = 0,40, 0.091178, 2.555024,8.41380e-15,0.284644,0.526316
Abnormal & field7 = 0 & field14 = 0 & field15 = 0 & field17 = 0,39, 0.089747, 2.593524,1.43612e-14,0.273408,0.534247
Abnormal & field13 = 0 & field14 = 0 & field22 = 0 & field17 = 0,42, 0.089411, 2.316942,9.13919e-14,0.329588,0.477273
Abnormal & field3 = 0 & field8 = 0 & field12 = 0 & field14 = 0 & field16 = 0 & field17 = 0,38, 0.089088, 2.673518,1.15547e-14,0.258427,0.550725
Abnormal & field3 = 0 & field7 = 0 & field12 = 0 & field14 = 0 & field16 = 0 & field17 = 0,39, 0.088976, 2.558477,2.79388e-14,0.277154,0.527027
Abnormal & field3 = 0 & field12 = 0 & field22 = 0 & field16 = 0 & field17 = 0,43, 0.088527, 2.220696,2.26128e-13,0.352060,0.457447
Abnormal & field12 = 0 & field14 = 0 & field10 = 0 & field17 = 0,37, 0.088429, 2.763357,8.33853e-15,0.243446,0.569231
Abnormal & field12 = 0 & field13 = 0 & field14 = 0 & field22 = 0,41, 0.087980, 2.341604,1.82868e-13,0.318352,0.482353
Abnormal & field7 = 0 & field14 = 0 & field16 = 0,43, 0.087755, 2.197321,3.85379e-13,0.355805,0.452632
Abnormal & field3 = 0 & field14 = 0 & field22 = 0,44, 0.087643, 2.136000,4.78375e-13,0.374532,0.440000
Abnormal & field3 = 0 & field12 = 0 & field13 = 0 & field14 = 0 & field16 = 0 & field17 = 0,38, 0.087545, 2.598207,4.56972e-14,0.265918,0.535211
Abnormal & field13 = 0 & field14 = 0 & field22 = 0 & field11 = 0,38, 0.087545, 2.598207,4.56972e-14,0.265918,0.535211
