OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s Abnormal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 16 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Abnormal & field7 = 0 & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,24, 0.065971, 3.758358,2.71037e-13,0.116105,0.774194
Abnormal & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,26, 0.071147, 3.712300,2.74868e-14,0.127341,0.764706
Abnormal & field3 = 0 & field7 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,25, 0.068173, 3.677686,1.64476e-13,0.123596,0.757576
Abnormal & field7 = 0 & field12 = 0 & field13 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,24, 0.065199, 3.640909,9.47845e-13,0.119850,0.750000
Abnormal & field7 = 0 & field8 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,24, 0.065199, 3.640909,9.47845e-13,0.119850,0.750000
Abnormal & field3 = 0 & field12 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,24, 0.065199, 3.640909,9.47845e-13,0.119850,0.750000
Abnormal & field8 = 0 & field14 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0 & field5 = 0,27, 0.073349, 3.640909,1.56339e-14,0.134831,0.750000
Abnormal & field7 = 0 & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field17 = 0 & field21 = 0 & field11 = 0,26, 0.070376, 3.606234,9.41196e-14,0.131086,0.742857
Abnormal & field9 = 0 & field12 = 0 & field14 = 0 & field22 = 0 & field23 = 0 & field20 = 0 & field21 = 0 & field2 = 0 & field5 = 0,22, 0.059252, 3.560000,2.81559e-11,0.112360,0.733333
Abnormal & field9 = 0 & field12 = 0 & field13 = 0 & field14 = 0 & field23 = 0 & field20 = 0 & field21 = 0 & field2 = 0 & field5 = 0,22, 0.059252, 3.560000,2.81559e-11,0.112360,0.733333
