OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s Normal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Normal & field14 = 1 & field9 = 1,95, 0.064372, 1.220880,3.81748e-09,0.367041,0.969388
Normal & field22 = 1,92, 0.056110, 1.194515,4.60077e-07,0.363296,0.948454
Normal & field23 = 1 & field9 = 1,62, 0.047833, 1.259434,6.58055e-08,0.232210,1.000000
Normal & field14 = 1 & field4 = 1 & field9 = 1,69, 0.044313, 1.206958,9.81828e-06,0.269663,0.958333
Normal & field14 = 1 & field22 = 1 & field9 = 1,65, 0.044200, 1.221839,4.50249e-06,0.250936,0.970149
Normal & field14 = 1 & field23 = 1 & field22 = 1,61, 0.044088, 1.239120,1.55188e-06,0.232210,0.983871
Normal & field14 = 1 & field23 = 1 & field4 = 1,60, 0.043317, 1.238788,2.07131e-06,0.228464,0.983607
Normal & field17 = 1 & field21 = 1,54, 0.041661, 1.259434,7.52456e-07,0.202247,1.000000
Normal & field17 = 1 & field23 = 1,47, 0.036261, 1.259434,5.82367e-06,0.176030,1.000000
Normal & field14 = 1 & field4 = 1 & field22 = 1 & field9 = 1,53, 0.034942, 1.213636,0.000109236,0.205993,0.963636
Normal & field13 = 1 & field9 = 1,45, 0.034718, 1.259434,1.03066e-05,0.168539,1.000000
Normal & field14 = 1 & field23 = 1 & field4 = 1 & field22 = 1,48, 0.034059, 1.233731,5.70201e-05,0.183521,0.979592
Normal & field6 = 1 & field11 = 1 & field14 = 1,44, 0.033946, 1.259434,1.36808e-05,0.164794,1.000000
Normal & field2 = 1 & field6 = 1 & field21 = 1,47, 0.033287, 1.233196,7.42518e-05,0.179775,0.979167
Normal & field2 = 1 & field6 = 1 & field11 = 1,70, 0.033189, 1.144940,0.00167068,0.288390,0.909091
Normal & field8 = 1 & field13 = 1,58, 0.032852, 1.178180,0.000684835,0.232210,0.935484
Normal & field2 = 1 & field6 = 1 & field14 = 1,46, 0.032516, 1.232638,9.65115e-05,0.176030,0.978723
Normal & field5 = 1 & field17 = 1,41, 0.031632, 1.259434,3.17191e-05,0.153558,1.000000
Normal & field6 = 1 & field14 = 1 & field22 = 1,40, 0.030860, 1.259434,4.18618e-05,0.149813,1.000000
Normal & field14 = 1 & field3 = 1,40, 0.030860, 1.259434,4.18618e-05,0.149813,1.000000
Normal & field2 = 1 & field5 = 1,40, 0.030860, 1.259434,4.18618e-05,0.149813,1.000000
Normal & field5 = 1 & field14 = 1,47, 0.030313, 1.208029,0.000479196,0.183521,0.959184
Normal & field2 = 1 & field11 = 1 & field14 = 1,43, 0.030201, 1.230811,0.000209584,0.164794,0.977273
Normal & field21 = 1 & field14 = 1 & field9 = 1,39, 0.030089, 1.259434,5.51704e-05,0.146067,1.000000
Normal & field21 = 1 & field22 = 1,39, 0.030089, 1.259434,5.51704e-05,0.146067,1.000000
Normal & field23 = 1 & field13 = 1,46, 0.029542, 1.206958,0.000608486,0.179775,0.958333
Normal & field3 = 1 & field13 = 1,46, 0.029542, 1.206958,0.000608486,0.179775,0.958333
Normal & field15 = 1 & field14 = 1 & field9 = 1,42, 0.029430, 1.230145,0.000270398,0.161049,0.976744
Normal & field2 = 1 & field11 = 1 & field21 = 1,42, 0.029430, 1.230145,0.000270398,0.161049,0.976744
Normal & field18 = 1,38, 0.029317, 1.259434,7.26094e-05,0.142322,1.000000
Normal & field21 = 1 & field14 = 1 & field4 = 1,38, 0.029317, 1.259434,7.26094e-05,0.142322,1.000000
Normal & field16 = 1,45, 0.028770, 1.205841,0.000770969,0.176030,0.957447
Normal & field3 = 1 & field8 = 1,45, 0.028770, 1.205841,0.000770969,0.176030,0.957447
Normal & field7 = 1 & field12 = 1,45, 0.028770, 1.205841,0.000770969,0.176030,0.957447
Normal & field14 = 1 & field8 = 1 & field13 = 1,41, 0.028658, 1.229447,0.000348208,0.157303,0.976190
Normal & field5 = 1 & field10 = 1 & field15 = 1,41, 0.028658, 1.229447,0.000348208,0.157303,0.976190
Normal & field17 = 1 & field14 = 1 & field4 = 1,41, 0.028658, 1.229447,0.000348208,0.157303,0.976190
Normal & field17 = 1 & field14 = 1 & field22 = 1,37, 0.028546, 1.259434,9.54294e-05,0.138577,1.000000
Normal & field14 = 1 & field8 = 1 & field9 = 1,37, 0.028546, 1.259434,9.54294e-05,0.138577,1.000000
Normal & field2 = 1 & field22 = 1,44, 0.027999, 1.204676,0.000974689,0.172285,0.956522
Normal & field17 = 1 & field14 = 1 & field9 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field14 = 1 & field4 = 1 & field13 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field14 = 1 & field13 = 1 & field22 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field6 = 1 & field14 = 1 & field9 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field6 = 1 & field14 = 1 & field4 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field10 = 1 & field15 = 1 & field14 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field21 = 1 & field23 = 1,40, 0.027886, 1.228716,0.000447571,0.153558,0.975610
Normal & field2 = 1 & field21 = 1 & field14 = 1,36, 0.027774, 1.259434,0.000125251,0.134831,1.000000

52 itemsets failed test for self sufficiency
Normal & field14 = 1,125, 0.075622, 1.192646,2.35602e-10,0.494382,0.946970
Normal & field14 = 1 & field23 = 1,80, 0.058747, 1.243885,4.35016e-09,0.303371,0.987654
Normal & field9 = 1,106, 0.057989, 1.171053,7.78901e-07,0.426966,0.929825
Normal & field23 = 1,102, 0.054903, 1.167839,2.48232e-06,0.411985,0.927273
Normal & field14 = 1 & field22 = 1,78, 0.051256, 1.212788,7.87632e-07,0.303371,0.962963
Normal & field14 = 1 & field4 = 1,85, 0.050709, 1.189465,3.42911e-06,0.337079,0.944444
