OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s Normal
  Spect.data.csv
  Spect.data

File/input/Spect.data.csv: 45 items, 267 transactions
Found 100 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
Normal & field2 = 1 & field3 = 1 & field8 = 1 & field13 = 1,23, 0.017745, 1.259434,0.00381857,0.086142,1.000000
Normal & field11 = 1 & field3 = 1 & field8 = 1 & field13 = 1,20, 0.015430, 1.259434,0.00815851,0.074906,1.000000
Normal & field15 = 1 & field21 = 1 & field9 = 1,24, 0.018516, 1.259434,0.00295783,0.089888,1.000000
Normal & field15 = 1 & field21 = 1 & field23 = 1,21, 0.016202, 1.259434,0.00634183,0.078652,1.000000
Normal & field11 = 1 & field21 = 1 & field13 = 1,20, 0.015430, 1.259434,0.00815851,0.074906,1.000000
Normal & field21 = 1 & field23 = 1 & field13 = 1,20, 0.015430, 1.259434,0.00815851,0.074906,1.000000
Normal & field2 = 1 & field21 = 1 & field9 = 1,31, 0.023917, 1.259434,0.000478216,0.116105,1.000000
Normal & field11 = 1 & field13 = 1 & field22 = 1,20, 0.015430, 1.259434,0.00815851,0.074906,1.000000
Normal & field17 = 1 & field14 = 1 & field8 = 1,22, 0.016973, 1.259434,0.00492394,0.082397,1.000000
Normal & field14 = 1 & field8 = 1 & field9 = 1,37, 0.028546, 1.259434,9.54294e-05,0.138577,1.000000
Normal & field11 = 1 & field23 = 1 & field4 = 1,21, 0.016202, 1.259434,0.00634183,0.078652,1.000000
Normal & field2 = 1 & field14 = 1 & field23 = 1,35, 0.027003, 1.259434,0.000164171,0.131086,1.000000
Normal & field21 = 1 & field14 = 1 & field23 = 1,34, 0.026231, 1.259434,0.000214898,0.127341,1.000000
Normal & field11 = 1 & field21 = 1 & field4 = 1,28, 0.021602, 1.259434,0.00105198,0.104869,1.000000
Normal & field2 = 1 & field14 = 1 & field8 = 1,25, 0.019288, 1.259434,0.00228836,0.093633,1.000000
Normal & field11 = 1 & field14 = 1 & field8 = 1,24, 0.018516, 1.259434,0.00295783,0.089888,1.000000
Normal & field11 = 1 & field21 = 1 & field23 = 1,18, 0.013887, 1.259434,0.0134556,0.067416,1.000000
Normal & field11 = 1 & field21 = 1 & field9 = 1,25, 0.019288, 1.259434,0.00228836,0.093633,1.000000
Normal & field11 = 1 & field21 = 1 & field14 = 1,30, 0.023145, 1.259434,0.000622732,0.112360,1.000000
Normal & field17 = 1 & field14 = 1 & field13 = 1,24, 0.018516, 1.259434,0.00295783,0.089888,1.000000
Normal & field11 = 1 & field17 = 1 & field14 = 1,22, 0.016973, 1.259434,0.00492394,0.082397,1.000000
Normal & field2 = 1 & field21 = 1 & field14 = 1,36, 0.027774, 1.259434,0.000125251,0.134831,1.000000
Normal & field11 = 1 & field23 = 1 & field22 = 1,24, 0.018516, 1.259434,0.00295783,0.089888,1.000000
Normal & field11 = 1 & field14 = 1 & field23 = 1,27, 0.020831, 1.259434,0.00136473,0.101124,1.000000
Normal & field2 = 1 & field21 = 1 & field4 = 1,34, 0.026231, 1.259434,0.000214898,0.127341,1.000000
Normal & field2 = 1 & field21 = 1 & field23 = 1,26, 0.020059, 1.259434,0.00176828,0.097378,1.000000
Normal & field17 = 1 & field14 = 1 & field22 = 1,37, 0.028546, 1.259434,9.54294e-05,0.138577,1.000000
Normal & field17 = 1 & field8 = 1 & field13 = 1,25, 0.019288, 1.259434,0.00228836,0.093633,1.000000
Normal & field2 = 1 & field14 = 1 & field13 = 1,27, 0.020831, 1.259434,0.00136473,0.101124,1.000000
Normal & field21 = 1 & field23 = 1 & field4 = 1,28, 0.021602, 1.259434,0.00105198,0.104869,1.000000
Normal & field11 = 1 & field4 = 1 & field13 = 1,20, 0.015430, 1.259434,0.00815851,0.074906,1.000000
Normal & field21 = 1 & field14 = 1 & field4 = 1,38, 0.029317, 1.259434,7.26094e-05,0.142322,1.000000
Normal & field6 = 1 & field21 = 1 & field9 = 1,27, 0.020831, 1.259434,0.00136473,0.101124,1.000000
Normal & field17 = 1 & field4 = 1 & field13 = 1,24, 0.018516, 1.259434,0.00295783,0.089888,1.000000
Normal & field21 = 1 & field4 = 1 & field13 = 1,23, 0.017745, 1.259434,0.00381857,0.086142,1.000000
Normal & field5 = 1 & field8 = 1 & field9 = 1,19, 0.014659, 1.259434,0.0104835,0.071161,1.000000
Normal & field6 = 1 & field14 = 1 & field8 = 1,23, 0.017745, 1.259434,0.00381857,0.086142,1.000000
Normal & field6 = 1 & field3 = 1 & field13 = 1,27, 0.020831, 1.259434,0.00136473,0.101124,1.000000
Normal & field5 = 1 & field21 = 1 & field14 = 1,27, 0.020831, 1.259434,0.00136473,0.101124,1.000000
