OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s negative
  TicTacToe.data.csv
  TicTacToe.data

File/input/TicTacToe.data.csv: 28 items, 958 transactions
Found 100 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
negative & field5 = o & field9 = o & field1 = o,50, 0.034105, 2.885542,7.33121e-25,0.052192,1.000000
negative & field5 = o & field7 = o & field3 = o,50, 0.034105, 2.885542,7.33121e-25,0.052192,1.000000
negative & field2 = x & field4 = x & field5 = o & field1 = o,22, 0.014283, 2.645080,6.04750e-09,0.025052,0.916667
negative & field5 = o & field9 = o & field8 = x & field6 = x,22, 0.014283, 2.645080,6.04750e-09,0.025052,0.916667
negative & field2 = x & field5 = o & field6 = x & field3 = o,22, 0.014283, 2.645080,6.04750e-09,0.025052,0.916667
negative & field4 = x & field5 = o & field7 = o & field8 = x,22, 0.014283, 2.645080,6.04750e-09,0.025052,0.916667
negative & field5 = o & field9 = o & field7 = o & field6 = x,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field5 = o & field6 = x & field3 = o & field1 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field4 = x & field5 = o & field9 = o & field7 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field2 = x & field5 = o & field9 = o & field3 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field4 = x & field5 = o & field3 = o & field1 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field5 = o & field9 = o & field8 = x & field3 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
negative & field2 = x & field5 = o & field7 = o & field1 = o,12, 0.007462, 2.473322,0.000113296,0.014614,0.857143
