OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s positive
  TicTacToe.data.csv
  TicTacToe.data

File/input/TicTacToe.data.csv: 28 items, 958 transactions
Found 100 non-redundant productive itemsets in 0 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
positive & field3 = x & field7 = x & field5 = x,90, 0.032557, 1.530352,2.10109e-18,0.093946,1.000000
positive & field1 = x & field9 = x & field5 = x,90, 0.032557, 1.530352,2.10109e-18,0.093946,1.000000
positive & field3 = x & field8 = o & field9 = x & field4 = o & field5 = x,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field1 = x & field3 = x & field6 = o & field8 = o & field5 = x,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field3 = x & field9 = x & field4 = o & field5 = x & field2 = o,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field1 = x & field6 = o & field7 = x & field5 = x & field2 = o,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field1 = x & field3 = x & field8 = o & field4 = o & field5 = x,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field7 = x & field9 = x & field4 = o & field5 = x & field2 = o,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field1 = x & field6 = o & field7 = x & field8 = o & field5 = x,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field6 = o & field7 = x & field9 = x & field5 = x & field2 = o,14, 0.004382, 1.428328,0.0145672,0.015658,0.933333
positive & field1 = x & field3 = x & field4 = o & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field7 = x & field9 = x & field4 = o & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field1 = x & field3 = x & field6 = o & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field1 = x & field7 = x & field5 = x & field2 = o,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field1 = x & field7 = x & field8 = o & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field3 = x & field8 = o & field9 = x & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field3 = x & field9 = x & field5 = x & field2 = o,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field6 = o & field7 = x & field9 = x & field5 = x,26, 0.008041, 1.421041,0.000713839,0.029228,0.928571
positive & field3 = x & field5 = x & field2 = o,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
positive & field1 = x & field4 = o & field5 = x,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
positive & field3 = x & field6 = o & field5 = x,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
positive & field7 = x & field4 = o & field5 = x,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
positive & field7 = x & field8 = o & field5 = x,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
positive & field8 = o & field9 = x & field5 = x,68, 0.019824, 1.387519,1.63750e-07,0.078288,0.906667
