OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s EI
  splice.data.csv
  splice.data

File/input/splice.data.csv: 289 items, 3190 transactions
Found 100 non-redundant productive itemsets in 2 seconds
Alpha for size 2 = 6.00730e-07
Alpha for size 3 = 3.13971e-09
Alpha for size 4 = 2.19560e-11
Alpha for size 5 = 1.92596e-13
Alpha for size 6 = 2.03447e-15
Alpha for size 7 = 2.51613e-17
Alpha for size 8 = 3.56898e-19

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
EI & field31 = G & field33 = T & field36 = G & field37 = T & field35 = A & field42 = G,58, 0.013810, 4.159061,2.31421e-37,0.018182,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field35 = A & field10 = G,38, 0.009048, 4.159061,1.47760e-24,0.011912,1.000000
EI & field31 = G & field33 = T & field37 = T & field34 = G & field35 = A & field38 = G,57, 0.013572, 4.159061,1.02119e-36,0.017868,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field34 = G & field38 = G,70, 0.016667, 4.159061,3.89772e-45,0.021944,1.000000
EI & field30 = A & field31 = G & field33 = T & field36 = G & field37 = T & field34 = G,54, 0.012858, 4.159061,8.71722e-35,0.016928,1.000000
EI & field30 = A & field33 = T & field36 = G & field35 = A & field7 = G & field10 = G,28, 0.006667, 4.159061,3.18496e-18,0.008777,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field34 = G & field10 = G,38, 0.009048, 4.159061,1.47760e-24,0.011912,1.000000
EI & field30 = A & field31 = G & field33 = T & field36 = G & field37 = T & field20 = A,30, 0.007143, 4.159061,1.73787e-19,0.009404,1.000000
EI & field33 = T & field37 = T & field35 = A & field10 = G & field38 = G & field42 = G,29, 0.006905, 4.159061,7.44365e-19,0.009091,1.000000
EI & field33 = T & field37 = T & field34 = G & field35 = A & field10 = G & field42 = G,31, 0.007381, 4.159061,4.05320e-20,0.009718,1.000000
EI & field30 = A & field31 = G & field36 = G & field22 = G & field29 = A & field35 = A,27, 0.006429, 4.159061,1.36135e-17,0.008464,1.000000
EI & field30 = A & field31 = G & field36 = G & field29 = A & field35 = A & field34 = A,34, 0.008096, 4.159061,5.11003e-22,0.010658,1.000000
EI & field31 = G & field37 = T & field34 = G & field25 = G & field42 = G,29, 0.006905, 4.159061,7.44365e-19,0.009091,1.000000
EI & field33 = T & field36 = G & field37 = T & field7 = G & field42 = G,50, 0.011905, 4.159061,3.22723e-32,0.015674,1.000000
EI & field31 = G & field33 = T & field20 = A & field35 = A & field34 = A,53, 0.012620, 4.159061,3.82996e-34,0.016614,1.000000
EI & field31 = G & field36 = G & field37 = T & field25 = G & field42 = G,33, 0.007858, 4.159061,2.19787e-21,0.010345,1.000000
EI & field31 = G & field33 = T & field36 = G & field7 = G & field10 = G,61, 0.014525, 4.159061,2.67579e-39,0.019122,1.000000
EI & field31 = G & field36 = G & field37 = T & field20 = A & field35 = A,40, 0.009524, 4.159061,7.89552e-26,0.012539,1.000000
EI & field37 = T & field34 = G & field10 = G & field38 = G & field42 = G,28, 0.006667, 4.159061,3.18496e-18,0.008777,1.000000
EI & field36 = G & field37 = T & field35 = A & field7 = G & field42 = G,36, 0.008572, 4.159061,2.75361e-23,0.011285,1.000000
EI & field31 = G & field37 = T & field34 = G & field38 = G & field42 = G,34, 0.008096, 4.159061,5.11003e-22,0.010658,1.000000
EI & field31 = G & field37 = T & field34 = G & field10 = G & field25 = G,24, 0.005715, 4.159061,1.05653e-15,0.007524,1.000000
EI & field31 = G & field37 = T & field34 = G & field35 = A & field7 = G,33, 0.007858, 4.159061,2.19787e-21,0.010345,1.000000
EI & field36 = G & field37 = T & field34 = G & field35 = A & field25 = G,58, 0.013810, 4.159061,2.31421e-37,0.018182,1.000000
EI & field33 = T & field36 = G & field37 = T & field10 = G & field38 = G,52, 0.012382, 4.159061,1.68090e-33,0.016301,1.000000
EI & field36 = G & field37 = T & field34 = G & field35 = A & field42 = G,70, 0.016667, 4.159061,3.89772e-45,0.021944,1.000000
EI & field31 = G & field36 = G & field34 = G & field35 = A & field25 = G,87, 0.020715, 4.159061,2.87533e-56,0.027273,1.000000
EI & field36 = G & field37 = T & field34 = G & field7 = G & field42 = G,26, 0.006191, 4.159061,5.81285e-17,0.008150,1.000000
EI & field36 = G & field29 = A & field35 = A & field38 = G & field42 = G,26, 0.006191, 4.159061,5.81285e-17,0.008150,1.000000
EI & field33 = T & field37 = T & field34 = G & field38 = G & field42 = G,49, 0.011667, 4.159061,1.41180e-31,0.015361,1.000000
EI & field33 = T & field36 = G & field37 = T & field38 = G & field42 = G,68, 0.016191, 4.159061,7.78404e-44,0.021317,1.000000
EI & field36 = G & field34 = G & field35 = A & field25 = G & field38 = G,57, 0.013572, 4.159061,1.02119e-36,0.017868,1.000000
EI & field33 = T & field36 = G & field34 = G & field10 = G & field38 = G,53, 0.012620, 4.159061,3.82996e-34,0.016614,1.000000
EI & field36 = G & field22 = G & field34 = G & field35 = A & field7 = G,40, 0.009524, 4.159061,7.89552e-26,0.012539,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field7 = G,79, 0.018810, 4.159061,5.18809e-51,0.024765,1.000000
EI & field36 = G & field35 = A & field7 = G & field34 = A & field38 = G,37, 0.008810, 4.159061,6.38201e-24,0.011599,1.000000
EI & field31 = G & field37 = T & field34 = G & field35 = A & field25 = G,43, 0.010239, 4.159061,9.67547e-28,0.013480,1.000000
EI & field37 = T & field35 = A & field10 = G & field25 = G & field42 = G,24, 0.005715, 4.159061,1.05653e-15,0.007524,1.000000
EI & field31 = G & field36 = G & field34 = G & field10 = G & field25 = G,45, 0.010715, 4.159061,5.11556e-29,0.014107,1.000000
EI & field30 = A & field36 = G & field37 = T & field29 = A & field35 = A,29, 0.006905, 4.159061,7.44365e-19,0.009091,1.000000
EI & field31 = G & field33 = T & field35 = A & field34 = A & field42 = G,50, 0.011905, 4.159061,3.22723e-32,0.015674,1.000000
EI & field31 = G & field36 = G & field37 = T & field29 = A & field34 = A,26, 0.006191, 4.159061,5.81285e-17,0.008150,1.000000
EI & field31 = G & field33 = T & field36 = G & field20 = A & field34 = A,74, 0.017620, 4.159061,9.64305e-48,0.023197,1.000000
EI & field37 = T & field34 = G & field35 = A & field25 = G & field42 = G,30, 0.007143, 4.159061,1.73787e-19,0.009404,1.000000
EI & field36 = G & field29 = A & field34 = G & field35 = A & field25 = G,28, 0.006667, 4.159061,3.18496e-18,0.008777,1.000000
EI & field30 = A & field36 = G & field37 = T & field20 = A & field35 = A,24, 0.005715, 4.159061,1.05653e-15,0.007524,1.000000
EI & field36 = G & field35 = A & field7 = G & field10 = G & field34 = A,31, 0.007381, 4.159061,4.05320e-20,0.009718,1.000000
EI & field31 = G & field33 = T & field36 = G & field7 = G & field25 = G,68, 0.016191, 4.159061,7.78404e-44,0.021317,1.000000
EI & field33 = T & field36 = G & field37 = T & field20 = A & field35 = A,59, 0.014048, 4.159061,5.23874e-38,0.018495,1.000000
EI & field31 = G & field33 = T & field37 = T & field20 = A & field34 = G,40, 0.009524, 4.159061,7.89552e-26,0.012539,1.000000
EI & field30 = A & field31 = G & field36 = G & field20 = A & field7 = G,36, 0.008572, 4.159061,2.75361e-23,0.011285,1.000000
EI & field36 = G & field34 = G & field35 = A & field7 = G & field25 = G,29, 0.006905, 4.159061,7.44365e-19,0.009091,1.000000
EI & field33 = T & field36 = G & field37 = T & field20 = A & field34 = G,42, 0.010000, 4.159061,4.20116e-27,0.013166,1.000000
EI & field33 = T & field37 = T & field20 = A & field34 = G & field35 = A,41, 0.009762, 4.159061,1.82224e-26,0.012853,1.000000
EI & field31 = G & field36 = G & field37 = T & field20 = A & field34 = A,25, 0.005953, 4.159061,2.47947e-16,0.007837,1.000000
EI & field36 = G & field34 = G & field10 = G & field25 = G & field38 = G,28, 0.006667, 4.159061,3.18496e-18,0.008777,1.000000
