OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s EI
  splice.data.csv
  splice.data

File/input/splice.data.csv: 289 items, 3190 transactions
Found 100 non-redundant productive itemsets in 1 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
EI & field32 = G & field33 = T,759, 0.165196, 3.271220,0.00000,0.302508,0.786528
EI & field32 = G & field36 = G,656, 0.143159, 3.291127,0.00000,0.259875,0.791315
EI & field32 = G & field35 = A,553, 0.116674, 3.058459,1.49141e-262,0.235737,0.735372
EI & field31 = G & field32 = G,625, 0.110301, 2.288216,1.96183e-202,0.356113,0.550176
EI & field31 = G & field33 = T & field36 = G & field35 = A,363, 0.085076, 3.962570,7.01522e-232,0.119436,0.952756
EI & field30 = A & field33 = T & field36 = G,357, 0.079653, 3.469123,9.73882e-179,0.134169,0.834112
EI & field32 = G & field34 = A,377, 0.073712, 2.657570,2.63869e-121,0.184953,0.638983
EI & field33 = T & field36 = G & field34 = G,327, 0.072811, 3.451810,1.78648e-159,0.123511,0.829949
EI & field30 = A & field31 = G & field33 = T,386, 0.071559, 2.447252,2.43621e-107,0.205643,0.588415
EI & field33 = T & field36 = G & field37 = T,309, 0.071314, 3.791003,3.55946e-176,0.106270,0.911504
EI & field30 = A & field32 = G,448, 0.070342, 2.003505,5.08174e-87,0.291536,0.481720
EI & field33 = T & field36 = G & field34 = A,297, 0.069210, 3.896660,1.80057e-177,0.099373,0.936908
EI & field32 = G & field34 = G,356, 0.068335, 2.579487,1.21789e-106,0.179937,0.620209
EI & field30 = A & field31 = G & field33 = T & field36 = G,300, 0.067663, 3.564910,2.13880e-152,0.109718,0.857143
EI & field32 = G & field37 = T,347, 0.067549, 2.638381,1.29399e-107,0.171473,0.634369
EI & field32 = G & field36 = G & field34 = A,299, 0.067350, 3.553026,6.38492e-151,0.109718,0.854286
EI & field31 = G & field33 = T & field34 = A,294, 0.066989, 3.660970,4.58605e-156,0.104702,0.880240
EI & field30 = A & field33 = T & field35 = A,291, 0.062958, 3.227432,7.01777e-124,0.117555,0.776000
EI & field33 = T & field36 = G & field34 = G & field35 = A,269, 0.062393, 3.844630,1.71217e-154,0.091223,0.924399
EI & field31 = G & field33 = T & field36 = G & field34 = G,270, 0.061802, 3.706094,8.58994e-145,0.094984,0.891089
EI & field33 = T & field36 = G & field38 = G,267, 0.061087, 3.701565,1.17859e-142,0.094044,0.890000
EI & field31 = G & field33 = T & field34 = G,294, 0.060431, 2.904428,2.10848e-104,0.131975,0.698337
EI & field31 = G & field36 = G & field34 = G,272, 0.058961, 3.241446,2.11421e-115,0.109404,0.779370
EI & field33 = T & field35 = A & field34 = A,250, 0.058924, 4.030098,4.46879e-157,0.080878,0.968992
EI & field33 = T & field37 = T & field35 = A,255, 0.058531, 3.734368,1.09498e-137,0.089028,0.897887
EI & field33 = T & field38 = G,298, 0.056334, 2.519106,1.20913e-81,0.154232,0.605691
EI & field30 = A & field33 = T & field36 = G & field35 = A,240, 0.055563, 3.824424,1.20206e-134,0.081818,0.919540
EI & field33 = T & field36 = G & field37 = T & field35 = A,232, 0.055015, 4.105967,1.66562e-151,0.073668,0.987234
EI & field36 = G & field37 = T & field35 = A,234, 0.053757, 3.743155,1.10199e-125,0.081505,0.900000
EI & field30 = A & field31 = G & field33 = T & field35 = A,240, 0.052548, 3.316195,3.91396e-104,0.094357,0.797342
EI & field32 = G & field38 = G,300, 0.051986, 2.236054,1.53253e-64,0.174922,0.537634
EI & field31 = G & field33 = T & field37 = T,243, 0.051906, 3.138670,6.13304e-96,0.100940,0.754658
EI & field31 = G & field33 = T & field34 = G & field35 = A,229, 0.051436, 3.527500,3.68398e-110,0.084639,0.848148
EI & field30 = A & field33 = T & field34 = A,228, 0.051424, 3.564909,1.03411e-111,0.083386,0.857143
EI & field31 = G & field33 = T & field36 = G & field34 = A,217, 0.050765, 3.941119,4.56258e-128,0.071787,0.947598
EI & field31 = G & field33 = T & field36 = G & field34 = G & field35 = A,215, 0.050138, 3.904795,2.25001e-124,0.071787,0.938865
EI & field31 = G & field33 = T & field36 = G & field38 = G,215, 0.050138, 3.904795,2.25001e-124,0.071787,0.938865
EI & field31 = G & field33 = T & field38 = G,244, 0.050109, 2.899460,8.80620e-84,0.109718,0.697143
EI & field33 = T & field36 = G & field35 = A & field34 = A,206, 0.049050, 4.159061,1.70090e-138,0.064577,1.000000
EI & field33 = T & field36 = G & field35 = A & field38 = G,209, 0.048935, 3.951108,1.31757e-123,0.068966,0.950000
EI & field31 = G & field33 = T & field36 = G & field37 = T,208, 0.048923, 4.005022,1.18361e-126,0.067712,0.962963
EI & field31 = G & field36 = G & field34 = A,219, 0.046869, 3.151676,5.27703e-86,0.090596,0.757785
EI & field36 = G & field35 = A & field34 = A,208, 0.046361, 3.460339,9.18982e-96,0.078370,0.832000
EI & field31 = G & field36 = G & field37 = T,210, 0.046234, 3.359242,7.74863e-92,0.081505,0.807692
EI & field34 = A,378, 0.044479, 1.600942,1.58700e-35,0.307837,0.384929
EI & field30 = A & field31 = G & field33 = T & field34 = A,195, 0.044396, 3.653229,1.94877e-98,0.069592,0.878378
EI & field30 = A & field31 = G & field33 = T & field36 = G & field35 = A,191, 0.044197, 3.819138,1.09099e-104,0.065204,0.918269
EI & field31 = G & field33 = T & field35 = A & field34 = A,177, 0.042070, 4.135695,1.47364e-115,0.055799,0.994382
EI & field30 = A & field31 = G & field36 = G & field35 = A,193, 0.041508, 3.185313,2.94239e-76,0.078997,0.765873
EI & field33 = T & field37 = T & field34 = G,186, 0.041047, 3.378102,2.87736e-81,0.071787,0.812227
EI & field33 = T & field36 = G & field37 = T & field34 = G,173, 0.040514, 3.953393,4.78188e-101,0.057053,0.950549
EI & field31 = G & field33 = T & field35 = A & field38 = G,173, 0.039459, 3.671008,2.39922e-87,0.061442,0.882653
EI & field30 = A & field33 = T & field36 = G & field34 = A,165, 0.038534, 3.921401,1.82853e-94,0.054859,0.942857
EI & field31 = G & field35 = A & field34 = A,179, 0.037647, 3.038661,1.22057e-64,0.076803,0.730612
EI & field31 = G & field33 = T & field36 = G & field35 = A & field38 = G,160, 0.037645, 4.008733,6.39211e-96,0.052038,0.963855

45 itemsets failed test for self sufficiency
EI & field33 = T & field36 = G,652, 0.144694, 3.423873,0.00000,0.248276,0.823232
EI & field33 = T,759, 0.130299, 2.210593,8.64831e-315,0.447649,0.531513
EI & field31 = G & field33 = T,619, 0.122138, 2.698594,5.76776e-261,0.299060,0.648847
EI & field33 = T & field35 = A,550, 0.120105, 3.296086,5.78437e-292,0.217555,0.792507
EI & field32 = G,765, 0.119819, 1.998544,5.48124e-280,0.499060,0.480528
EI & field31 = G & field33 = T & field36 = G,515, 0.117801, 3.699338,1.11102e-318,0.181505,0.889465
EI & field36 = G,657, 0.115434, 2.275190,3.47971e-222,0.376489,0.547044
EI & field33 = T & field36 = G & field35 = A,489, 0.113570, 3.859167,1.40735e-319,0.165204,0.927894
EI & field36 = G & field35 = A,492, 0.105315, 3.152940,6.71417e-232,0.203448,0.758089
EI & field31 = G & field36 = G,519, 0.103905, 2.767375,2.22564e-203,0.244514,0.665385
EI & field31 = G & field33 = T & field35 = A,422, 0.094979, 3.545705,2.60638e-228,0.155172,0.852525
EI & field35 = A,553, 0.088861, 2.051705,5.49267e-130,0.351411,0.493310
EI & field33 = T & field34 = A,375, 0.082507, 3.354081,2.10994e-179,0.145768,0.806452
EI & field31 = G & field36 = G & field35 = A,366, 0.081343, 3.436154,2.63770e-181,0.138871,0.826185
EI & field31 = G & field35 = A,425, 0.080694, 2.536013,7.35247e-131,0.218495,0.609756
EI & field30 = A & field33 = T,445, 0.079200, 2.313478,2.55969e-117,0.250784,0.556250
EI & field33 = T & field37 = T,344, 0.068643, 2.751379,7.56510e-115,0.163009,0.661538
EI & field30 = A & field36 = G,360, 0.067478, 2.487146,5.38197e-101,0.188715,0.598007
EI & field36 = G & field34 = G,329, 0.066654, 2.827130,4.85358e-114,0.151724,0.679752
EI & field36 = G & field37 = T,311, 0.065233, 3.022122,1.11079e-119,0.134169,0.726636
EI & field33 = T & field34 = G,353, 0.065133, 2.430710,3.54791e-94,0.189342,0.584437
EI & field33 = T & field34 = G & field35 = A,284, 0.062196, 3.317903,2.78517e-126,0.111599,0.797753
EI & field36 = G & field34 = A,300, 0.060578, 2.810177,7.45891e-101,0.139185,0.675676
EI & field36 = G & field34 = G & field35 = A,270, 0.060068, 3.444621,3.91526e-127,0.102194,0.828221
EI & field30 = A & field31 = G & field36 = G,303, 0.058956, 2.636392,7.83648e-91,0.149843,0.633891
EI & field31 = G,625, 0.058596, 1.426681,2.71367e-59,0.571160,0.343030
EI & field34 = G & field35 = A,285, 0.054670, 2.576810,8.41087e-81,0.144201,0.619565
EI & field36 = G & field38 = G,268, 0.053185, 2.725253,1.95198e-83,0.128213,0.655257
EI & field37 = T & field35 = A,257, 0.052752, 2.896690,9.04742e-89,0.115674,0.696477
EI & field30 = A & field36 = G & field35 = A,242, 0.052044, 3.185104,5.65585e-98,0.099060,0.765823
EI & field33 = T & field35 = A & field38 = G,223, 0.050083, 3.526504,6.41665e-107,0.082445,0.847909
EI & field30 = A & field35 = A,293, 0.049565, 2.172201,8.20456e-59,0.175862,0.522282
EI & field31 = G & field34 = A,296, 0.049225, 2.129900,5.73102e-57,0.181191,0.512111
EI & field35 = A & field34 = A,252, 0.049149, 2.646675,1.55231e-73,0.124138,0.636364
EI & field31 = G & field36 = G & field34 = G & field35 = A,216, 0.048868, 3.593429,8.99433e-107,0.078370,0.864000
EI & field31 = G & field34 = G,297, 0.048483, 2.086556,1.50517e-54,0.185580,0.501689
EI & field31 = G & field34 = G & field35 = A,230, 0.047755, 2.961560,2.21191e-81,0.101254,0.712074
EI & field31 = G & field36 = G & field38 = G,216, 0.047210, 3.302784,5.94188e-92,0.085266,0.794118
EI & field36 = G & field35 = A & field38 = G,210, 0.047138, 3.521786,7.51556e-100,0.077743,0.846774
EI & field35 = A & field38 = G,224, 0.043538, 2.631722,1.42301e-63,0.110972,0.632768
EI & field30 = A & field31 = G & field35 = A,242, 0.042623, 2.282297,3.97654e-52,0.138245,0.548753
EI & field34 = G,356, 0.039919, 1.556915,1.85744e-29,0.298119,0.374343
EI & field36 = G & field37 = T & field34 = G,174, 0.039320, 3.582557,4.87794e-84,0.063323,0.861386
EI & field37 = T,347, 0.038605, 1.550155,5.87721e-28,0.291850,0.372717
EI & field31 = G & field37 = T,246, 0.038224, 1.982808,2.43441e-38,0.161755,0.476744

3 seconds (1 input, 0 search, 1 filter, 0 output) for 100 itemsets

