OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s IE
  splice.data.csv
  splice.data

File/input/splice.data.csv: 289 items, 3190 transactions
Found 100 non-redundant productive itemsets in 1 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
IE & field30 = A & field31 = G,764, 0.142896, 2.479208,0.00000,0.401254,0.596875
IE & field29 = C & field31 = G,606, 0.116460, 2.584301,1.89389e-234,0.305329,0.622177
IE & field30 = A & field31 = G & field22 = T,348, 0.076337, 3.330573,7.39953e-162,0.136050,0.801843
IE & field30 = A & field31 = G & field26 = C,355, 0.075512, 3.110853,7.91923e-148,0.148589,0.748945
IE & field30 = A & field31 = G & field20 = T,339, 0.073440, 3.236979,2.03574e-149,0.136364,0.779310
IE & field30 = A & field31 = G & field23 = T,331, 0.071385, 3.204794,1.00708e-142,0.134483,0.771562
IE & field31 = G & field21 = T,354, 0.067651, 2.561656,1.54359e-104,0.179937,0.616725
IE & field30 = A & field27 = T,350, 0.066624, 2.546018,7.55232e-102,0.178997,0.612960
IE & field30 = A & field23 = T,332, 0.066566, 2.774669,1.36641e-111,0.155799,0.668008
IE & field25 = C & field30 = A,345, 0.066566, 2.600740,4.61865e-104,0.172727,0.626134
IE & field30 = A & field19 = T,337, 0.066549, 2.702276,2.13705e-108,0.162382,0.650579
IE & field30 = A & field31 = G & field18 = T,320, 0.066502, 2.966890,4.95262e-120,0.140439,0.714286
IE & field30 = A & field21 = T,353, 0.066432, 2.502111,1.26490e-99,0.183699,0.602389
IE & field30 = A & field31 = G & field24 = T,313, 0.065440, 3.002520,2.55906e-119,0.135737,0.722864
IE & field29 = C & field30 = A & field26 = C,306, 0.065057, 3.107618,3.01818e-123,0.128213,0.748166
IE & field30 = A & field26 = T,330, 0.064581, 2.661559,1.03949e-102,0.161442,0.640777
IE & field31 = G & field27 = T,350, 0.063454, 2.371576,1.01333e-88,0.192163,0.570962
IE & field31 = G & field19 = T,337, 0.063077, 2.481877,1.93623e-92,0.176803,0.597518
IE & field30 = A & field31 = G & field27 = C,306, 0.063019, 2.915173,2.76309e-110,0.136677,0.701835
IE & field29 = C & field30 = A & field21 = T,285, 0.062776, 3.363037,6.92023e-130,0.110345,0.809659
IE & field25 = C & field31 = G,346, 0.061446, 2.306840,1.27916e-82,0.195298,0.555377
IE & field29 = C & field30 = A & field24 = C,284, 0.061104, 3.188204,5.55904e-118,0.115987,0.767568
IE & field25 = C & field29 = C & field30 = A,276, 0.060936, 3.381729,2.25227e-126,0.106270,0.814159
IE & field30 = A & field24 = C,322, 0.060865, 2.518783,8.06496e-90,0.166458,0.606403
IE & field30 = A & field31 = G & field15 = C,289, 0.059502, 2.913601,6.31853e-103,0.129154,0.701456
IE & field31 = G & field26 = T,329, 0.059286, 2.352064,1.34896e-80,0.182132,0.566265
IE & field30 = A & field17 = T,300, 0.056384, 2.497182,5.90334e-81,0.156426,0.601202
IE & field29 = C & field30 = A & field22 = T,253, 0.056292, 3.445483,3.04244e-118,0.095611,0.829508
IE & field29 = C & field30 = A & field20 = T,255, 0.056164, 3.362475,2.52706e-114,0.098746,0.809524
IE & field30 = A & field25 = T,302, 0.055728, 2.431010,2.06670e-77,0.161755,0.585271
IE & field31 = G & field24 = C,324, 0.055304, 2.195402,2.48903e-68,0.192163,0.528548
IE & field31 = G & field25 = T,302, 0.054898, 2.380268,3.39662e-74,0.165204,0.573055
IE & field29 = C & field30 = A & field15 = C,250, 0.053993, 3.214896,2.18757e-103,0.101254,0.773994
IE & field29 = C & field30 = A & field16 = C,253, 0.053952, 3.127596,6.92109e-100,0.105329,0.752976
IE & field29 = C & field30 = A & field23 = T,246, 0.053645, 3.285521,1.96544e-105,0.097492,0.790997
