OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -k 100
  -s NE
  splice.data.csv
  splice.data

File/input/splice.data.csv: 289 items, 3190 transactions
Found 100 non-redundant productive itemsets in 8 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
NE & field31 = C,418, 0.059149, 1.822832,2.87845e-99,0.138558,0.945701
NE & field31 = A,412, 0.052064, 1.675373,5.49660e-68,0.148589,0.869198
NE & field31 = T,394, 0.050162, 1.683885,4.41272e-66,0.141379,0.873614
NE & field32 = T,413, 0.050101, 1.631259,9.88439e-61,0.152978,0.846311
NE & field30 = T,417, 0.046638, 1.554670,1.80557e-49,0.162069,0.806576
NE & field29 = G,442, 0.044880, 1.479083,1.29730e-41,0.180564,0.767361
NE & field30 = G,409, 0.043155, 1.507351,8.44515e-42,0.163950,0.782027
NE & field32 = C,403, 0.042737, 1.511244,1.27030e-41,0.161129,0.784047
NE & field33 = C,411, 0.034674, 1.368220,4.79946e-25,0.181505,0.709845
NE & field33 = A,424, 0.034358, 1.348609,8.99564e-24,0.189969,0.699670
NE & field33 = G,400, 0.031714, 1.338537,3.03073e-21,0.180564,0.694444
NE & field26 = G,463, 0.030645, 1.267655,2.76630e-17,0.220690,0.657670
NE & field21 = A,447, 0.027419, 1.243274,2.69208e-14,0.217241,0.645022
NE & field36 = A,399, 0.025220, 1.252556,2.27399e-13,0.192476,0.649837
NE & field36 = T,425, 0.025076, 1.231856,1.50941e-12,0.208464,0.639098
NE & field18 = A,427, 0.024890, 1.228417,2.51885e-12,0.210031,0.637313
NE & field27 = G,420, 0.024322, 1.226586,5.88498e-12,0.206897,0.636364
NE & field17 = G,432, 0.024180, 1.217364,1.44031e-11,0.214420,0.631579
NE & field35 = T,392, 0.024164, 1.244773,1.68843e-12,0.190282,0.645799
NE & field24 = A,420, 0.023996, 1.222880,1.16967e-11,0.207524,0.634441
NE & field25 = A,407, 0.023824, 1.229607,8.53816e-12,0.200000,0.637931
NE & field22 = A,408, 0.023813, 1.228776,9.24097e-12,0.200627,0.637500
NE & field27 = A,419, 0.022870, 1.210824,1.10294e-10,0.209091,0.628186
NE & field36 = C,437, 0.021844, 1.189709,1.56500e-09,0.221944,0.617232
NE & field23 = G,441, 0.021797, 1.187185,1.96057e-09,0.224451,0.615922
