Index,ItemName
0,field2 = CONVEX
1,field3 = SMOOTH
2,field4 = WHITE
3,field5 = BRUISES
4,field6 = ALMOND
5,field7 = FREE
6,field8 = CROWDED
7,field9 = NARROW
8,field10 = WHITE
9,field11 = TAPERING
10,field12 = BULBOUS
11,field13 = SMOOTH
12,field14 = SMOOTH
13,field15 = WHITE
14,field16 = WHITE
15,field17 = PARTIAL
16,field18 = WHITE
17,field19 = ONE
18,field20 = PENDANT
19,field21 = PURPLE
20,field22 = SEVERAL
21,field23 = WOODS
22,field21 = BROWN
23,field10 = PINK
24,field10 = BROWN
25,field6 = ANISE
26,field4 = YELLOW
27,field3 = FIBROUS
28,field2 = FLAT
29,field2 = BELL
30,field8 = CLOSE
31,field9 = BROAD
32,field11 = ENLARGING
33,field12 = CLUB
34,field21 = BLACK
35,field22 = SCATTERED
36,field23 = MEADOWS
37,field23 = GRASSES
38,field22 = NUMEROUS
39,field10 = GRAY
40,field10 = BLACK
41,field3 = SCALY
42,field12 = ROOTED
43,field14 = SCALY
44,field22 = SOLITARY
45,field23 = PATHS
46,field4 = BROWN
47,field4 = GRAY
48,field5 = NO
49,field6 = NONE
50,field12 = EQUAL
51,field23 = URBAN
52,field2 = SUNKEN
53,field1 = POISONOUS
54,field6 = PUNGENT
55,field20 = EVANESCENT
56,field22 = ABUNDANT
57,field14 = FIBROUS
58,field13 = FIBROUS
59,field10 = CHOCOLATE
60,field16 = PINK
61,field16 = GRAY
62,field15 = PINK
63,field15 = GRAY
64,field10 = PURPLE
65,field4 = RED
66,field6 = CREOSOTE
67,field4 = PINK
68,field6 = FOUL
69,field13 = SILKY
70,field14 = SILKY
71,field15 = BUFF
72,field16 = BUFF
73,field20 = LARGE
74,field21 = CHOCOLATE
75,field16 = BROWN
76,field15 = BROWN
77,field12 = ?
78,field20 = FLARING
79,field4 = PURPLE
80,field4 = GREEN
81,field4 = BUFF
82,field19 = TWO
83,field21 = GREEN
84,field10 = GREEN
85,field21 = WHITE
86,field23 = LEAVES
87,field4 = CINNAMON
88,field2 = KNOBBED
89,field22 = CLUSTERED
90,field23 = WASTE
91,field16 = RED
92,field15 = RED
93,field10 = RED
94,field3 = GROOVES
95,field2 = CONICAL
96,field16 = YELLOW
97,field10 = BUFF
98,field6 = FISHY
99,field6 = SPICY
100,field6 = MUSTY
101,field15 = CINNAMON
102,field16 = CINNAMON
103,field19 = NONE
104,field20 = NONE
105,field10 = YELLOW
106,field7 = ATTACHED
107,field13 = SCALY
108,field15 = YELLOW
109,field18 = YELLOW
110,field15 = ORANGE
111,field16 = ORANGE
112,field18 = ORANGE
113,field21 = YELLOW
114,field21 = ORANGE
115,field21 = BUFF
116,field18 = BROWN
117,field10 = ORANGE
