Index, Item Name
0, 0_CONVEX, 8416.0
1, 1_SMOOTH, 8416.0
2, 2_WHITE, 8416.0
3, 3_BRUISES, 8416.0
4, 4_ALMOND, 8416.0
5, 5_FREE, 8416.0
6, 6_CROWDED, 8416.0
7, 7_NARROW, 8416.0
8, 8_WHITE, 8416.0
9, 9_TAPERING, 8416.0
10, 10_BULBOUS, 8416.0
11, 11_SMOOTH, 8416.0
12, 12_SMOOTH, 8416.0
13, 13_WHITE, 8416.0
14, 14_WHITE, 8416.0
15, 15_PARTIAL, 8416.0
17, 17_ONE, 8416.0
18, 18_PENDANT, 8416.0
19, 19_PURPLE, 8416.0
20, 20_SEVERAL, 8416.0
21, 21_WOODS, 8416.0
143, 4_PURPLE, 526.0
144, 4_GREEN, 526.0
192, 13_SCALY, 526.0
193, 15_BROWN, 526.0
73, 2_SUNKEN, 263.0
156, 4_CINNAMON, 263.0
44, 21_PURPLE, 179.06383
141, 20_FLARING, 175.33333
142, 21_CHOCOLATE, 175.33333
165, 4_BUFF, 175.33333
199, 21_YELLOW, 175.33333
200, 21_ORANGE, 175.33333
201, 21_BUFF, 175.33333
158, 4_PINK, 150.2857
195, 10_YELLOW, 131.5
203, 10_ORANGE, 131.5
137, 16_BROWN, 95.63637
72, 23_URBAN, 87.666664
162, 16_RED, 87.666664
163, 15_RED, 87.666664
164, 10_RED, 87.666664
198, 18_ORANGE, 87.666664
202, 18_BROWN, 87.666664
66, 23_PATHS, 61.88235
127, 14_SILKY, 58.444447
191, 13_SILKY, 58.444447
63, 12_ROOTED, 43.833332
161, 23_WASTE, 43.833332
194, 7_ATTACHED, 43.833332
196, 15_ORANGE, 43.833332
197, 16_ORANGE, 43.833332
64, 14_SCALY, 40.461536
157, 2_KNOBBED, 35.66102
60, 10_GRAY, 33.935482
57, 23_MEADOWS, 32.875
155, 23_LEAVES, 31.878788
108, 10_CHOCOLATE, 31.402987
160, 22_CLUSTERED, 29.222223
29, 9_NARROW, 27.061092
26, 6_ALMOND, 21.092731
46, 6_ANISE, 21.04
47, 4_YELLOW, 21.04
59, 22_NUMEROUS, 21.04
50, 2_BELL, 20.831682
61, 10_BLACK, 20.62745
113, 10_PURPLE, 18.954956
54, 12_CLUB, 16.4375
105, 22_ABUNDANT, 16.4375
159, 19_TWO, 15.939394
107, 13_FIBROUS, 15.357665
109, 16_PINK, 14.611112
110, 16_GRAY, 14.611112
111, 15_PINK, 14.611112
112, 15_GRAY, 14.611112
106, 14_FIBROUS, 14.120805
154, 21_WHITE, 14.026668
114, 4_RED, 13.487179
24, 4_WHITE, 11.705147
140, 12_?, 11.6888895
43, 10_PINK, 9.187773
30, 10_WHITE, 8.596527
45, 10_BROWN, 8.416
56, 22_SCATTERED, 8.349207
65, 22_SOLITARY, 7.909774
71, 12_EQUAL, 7.514286
41, 22_SEVERAL, 6.9267488
23, 3_SMOOTH, 6.6215577
67, 4_BROWN, 6.5341616
68, 4_GRAY, 6.5341616
104, 20_EVANESCENT, 6.5341616
28, 8_CROWDED, 5.690331
62, 3_SCALY, 5.551451
53, 11_ENLARGING, 5.131707
58, 23_GRASSES, 5.057692
48, 3_FIBROUS, 4.950588
49, 2_FLAT, 4.8591223
69, 5_NO, 4.847926
55, 21_BLACK, 4.738739
40, 21_BROWN, 4.4957266
42, 23_WOODS, 4.478978
32, 12_BULBOUS, 4.331446
22, 2_CONVEX, 4.0403266
25, 5_BRUISES, 3.059251
31, 11_TAPERING, 2.956094
16, 16_WHITE, 2.8432431
51, 8_CLOSE, 2.7978723
35, 15_WHITE, 2.7766414
39, 20_PENDANT, 2.6708982
34, 14_SMOOTH, 2.3780727
70, 6_NONE, 2.2819955
33, 13_SMOOTH, 2.227044
38, 19_ONE, 2.1257894
52, 9_BROAD, 2.0153255
27, 7_FREE, 1.9594877
37, 18_WHITE, 1.9594877
36, 17_PARTIAL, 1.8756407
