OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -k 100
  -s EI
  splice.data.csv
  splice.data

File/input/splice.data.csv: 289 items, 3190 transactions
Found 100 non-redundant productive itemsets in 395 seconds

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
EI & field51 = N,3, 0.000714, 4.159061,0.0138587,0.000940,1.000000
EI & field30 = A & field31 = G & field33 = T & field36 = G & field37 = T & field34 = G,54, 0.012858, 4.159061,8.71722e-35,0.016928,1.000000
EI & field31 = G & field36 = G & field37 = T & field35 = A & field34 = A & field38 = G,17, 0.004048, 4.159061,2.61856e-11,0.005329,1.000000
EI & field30 = A & field33 = T & field36 = G & field37 = T & field34 = G & field42 = G,30, 0.007143, 4.159061,1.73787e-19,0.009404,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field35 = A & field42 = G,58, 0.013810, 4.159061,2.31421e-37,0.018182,1.000000
EI & field30 = A & field36 = G & field37 = T & field34 = A & field38 = G & field42 = G,7, 0.001667, 4.159061,4.54956e-05,0.002194,1.000000
EI & field30 = A & field36 = G & field37 = T & field35 = A & field34 = A & field38 = G,9, 0.002143, 4.159061,2.59112e-06,0.002821,1.000000
EI & field30 = A & field31 = G & field36 = G & field37 = T & field38 = G & field42 = G,21, 0.005000, 4.159061,8.12398e-14,0.006583,1.000000
EI & field30 = A & field31 = G & field36 = G & field34 = G & field41 = G & field38 = G,21, 0.005000, 4.159061,8.12398e-14,0.006583,1.000000
EI & field30 = A & field31 = G & field36 = G & field34 = G & field7 = G & field38 = G,22, 0.005238, 4.159061,1.91243e-14,0.006897,1.000000
EI & field31 = G & field33 = T & field36 = G & field37 = T & field34 = G & field38 = G,70, 0.016667, 4.159061,3.89772e-45,0.021944,1.000000
EI & field31 = G & field36 = G & field37 = T & field34 = G & field7 = G & field38 = G,22, 0.005238, 4.159061,1.91243e-14,0.006897,1.000000
EI & field36 = G & field7 = G & field41 = G & field34 = A & field38 = G & field42 = G,16, 0.003810, 4.159061,1.10670e-10,0.005016,1.000000
EI & field31 = G & field33 = T & field37 = T & field34 = G & field35 = A & field38 = G,57, 0.013572, 4.159061,1.02119e-36,0.017868,1.000000
EI & field31 = G & field36 = G & field34 = G & field7 = G & field41 = G & field38 = G,23, 0.005476, 4.159061,4.49735e-15,0.007210,1.000000
EI & field30 = A & field31 = G & field37 = T & field34 = G & field35 = A & field38 = G,19, 0.004524, 4.159061,1.46151e-12,0.005956,1.000000
EI & field30 = A & field31 = G & field36 = G & field37 = T & field34 = G & field41 = G,20, 0.004762, 4.159061,3.44752e-13,0.006270,1.000000
EI & field31 = G & field36 = G & field37 = T & field34 = A & field38 = G & field42 = G,12, 0.002857, 4.159061,3.49537e-08,0.003762,1.000000
EI & field31 = G & field36 = G & field34 = G & field35 = A & field41 = G & field38 = G,42, 0.010000, 4.159061,4.20116e-27,0.013166,1.000000
EI & field31 = G & field36 = G & field37 = T & field7 = G & field38 = G & field42 = G,13, 0.003095, 4.159061,8.30398e-09,0.004075,1.000000
EI & field36 = G & field37 = T & field34 = G & field35 = A & field7 = G & field38 = G,19, 0.004524, 4.159061,1.46151e-12,0.005956,1.000000
EI & field31 = G & field34 = G & field35 = A & field41 = G & field38 = G & field42 = G,21, 0.005000, 4.159061,8.12398e-14,0.006583,1.000000
EI & field31 = G & field36 = G & field35 = A & field41 = G & field34 = A & field38 = G,15, 0.003572, 4.159061,4.67256e-10,0.004702,1.000000
EI & field31 = G & field36 = G & field7 = G & field41 = G & field38 = G & field42 = G,14, 0.003333, 4.159061,1.97079e-09,0.004389,1.000000
EI & field31 = G & field33 = T & field36 = G & field35 = A & field41 = G & field42 = G,68, 0.016191, 4.159061,7.78404e-44,0.021317,1.000000
EI & field30 = A & field34 = G & field35 = A & field7 = G & field38 = G & field42 = G,7, 0.001667, 4.159061,4.54956e-05,0.002194,1.000000
EI & field30 = A & field36 = G & field34 = G & field35 = A & field41 = G & field42 = G,18, 0.004286, 4.159061,6.18947e-12,0.005643,1.000000
