Index, Item Name, Upper bound value
4, field5 = Never-married, 0.06392829
29, field9 = Female, 0.04344213
45, field7 = Own-child, 0.03542345
6, field7 = Not-in-family, 0.035131693
44, field1 = Age17-23, 0.034370676
18, field3 = HS-grad, 0.02621974
19, field4 = EduNum9, 0.02621974
26, field1 = Age24-31, 0.023817897
36, field6 = Other-service, 0.02016116
61, field7 = Unmarried, 0.01879026
20, field5 = Divorced, 0.018639378
46, field10 = Hour21-35, 0.017342202
16, field10 = Hour1-20, 0.015665688
17, field2 = Private, 0.015429914
5, field6 = Adm-clerical, 0.012310803
39, field3 = Some-college, 0.011324674
40, field4 = EduNum10, 0.011324674
25, field8 = Black, 0.011218607
70, field6 = ?, 0.0077642538
69, field2 = ?, 0.007712491
21, field6 = Handlers-cleaners, 0.007490836
60, field6 = Machine-op-inspct, 0.007128183
23, field3 = 11th, 0.006847186
24, field4 = EduNum7, 0.006847186
83, field7 = Other-relative, 0.0061187968
65, field5 = Separated, 0.0055535715
85, field3 = 10th, 0.0049960185
86, field4 = EduNum6, 0.0049960185
91, field5 = Widowed, 0.0047333892
59, field6 = Farming-fishing, 0.0038194377
58, field11 = Mexico, 0.0037419153
54, field3 = 7th-8th, 0.0035491232
55, field4 = EduNum4, 0.0035491232
33, field3 = 9th, 0.0029721484
34, field4 = EduNum5, 0.0029721484
108, field3 = 12th, 0.0021888306
109, field4 = EduNum8, 0.0021888306
35, field5 = Married-spouse-absent, 0.0020471849
80, field3 = 5th-6th, 0.001971364
81, field4 = EduNum3, 0.001971364
75, field8 = Other, 0.0012364294
57, field8 = Amer-Indian-Eskimo, 0.0011944282
114, field6 = Priv-house-serv, 0.0010712396
93, field3 = 1st-4th, 0.0010581985
94, field4 = EduNum2, 0.0010581985
110, field11 = Dominican-Republic, 4.5627204E-4
98, field3 = Preschool, 3.7717784E-4
99, field4 = EduNum1, 3.7717784E-4
